wavelength_nm,S11a,S12a,S21a,S22a,S11m,S12m,S21m,S22m
1600.0,-2.262086513558643,1.5558258499854762,1.5553474648745453,-2.7361503204644375,0.004027766584464737,0.9946007398671256,0.991486582461559,0.005379063433872084
1597.3244147157188,-2.2549370663653794,1.5990435650653307,1.598574294182651,-2.73179008745966,0.003934839388599811,0.9947284010552384,0.9916748231997534,0.005245887066868489
1594.6577629382305,-2.247670436330153,1.6422657000141376,1.641805217606568,-2.7273215869007394,0.0038436692108132823,0.99485402219757,0.9918601419504114,0.005115031416460553
1592.0,-2.2402654213296405,1.6854920061554783,1.6850399825321465,-2.722731544160685,0.003754204593024499,0.9949776873886609,0.9920426470083779,0.004986416322504832
1589.351081530782,-2.232700681224846,1.7287222377092069,1.7282783408701463,-2.7180071428479207,0.003666389707632221,0.9950994722408918,0.9922224390486354,0.004859960355499013
1586.7109634551496,-2.224954932363146,1.7719561517626325,1.7715200490625513,-2.7131361463402106,0.0035801651721503263,0.9952194444203876,0.9923996114830811,0.004735581778214853
1584.07960199005,-2.2170071350875906,1.815193508273686,1.8147648681079362,-2.708107006460965,0.003495468911366476,0.9953376641879143,0.9925742508217943,0.004613199497594991
1581.4569536423842,-2.2088366701656144,1.8584340701058226,1.8580125636057605,-2.702908957113709,0.0034122370509042164,0.9954541849408458,0.9927464370358254,0.004492733990889618
1578.8429752066115,-2.2004235003299195,1.9016776030937497,1.901262905818862,-2.6975320909788763,0.0033304048258087355,0.9955690537521372,0.9929162439184026,0.004374108191016333
1576.2376237623762,-2.19174831347934,1.9449238761389027,1.944515669753295,-2.69196741766707,0.003249907487921446,0.9956823119026175,0.9930837394417913,0.004257248317372507
1573.6408566721582,-2.182792644569514,1.9881726613329944,1.9877706352541238,-2.686206902039951,0.0031706811963697623,0.9957939954029228,0.9932489861070098,0.004142084639921815
1571.0526315789473,-2.1735389737040722,2.0314237341080763,2.0310275871159282,-2.680243481677402,0.0030926638764031534,0.9959041355017071,0.9934120412839296,0.004028552166039198
1568.472906403941,-2.1639707985105363,2.0746768734106555,2.0742863152059434,-2.6740710627540043,0.0030157960330312026,0.9960127591769505,0.9935729575393899,0.003916591241484827
1565.9016393442623,-2.154072679406412,2.1179318618977017,2.1175466145980812,-2.6676844937887867,0.002940021507414287,0.9961198896075039,0.9937317829513047,0.003806148058770171
1563.3387888707036,-2.143830256909162,2.161188486151972,2.1608082857157225,-2.661079516924596,0.002865288165652685,0.9962255466223011,0.9938885614069508,0.003697175068135645
1560.7843137254902,-2.1332302406141856,2.204446536913565,2.2040711344806976,-2.6542526964960915,0.0027915485114377602,0.9963297471249675,0.9940433328839262,0.00358963128824563
1558.2381729200652,-2.1222603699207094,2.2477058093251667,2.2473349724664677,-2.647201324720994,0.002718760215954487,0.9964325054919219,0.9941961337125889,0.0034834825155768932
1555.700325732899,-2.1109093469303257,2.2909661031876434,2.290599617052749,-2.639923304327844,0.0026468865603413846,0.9965338339423833,0.9943469968190655,0.0033787014331867135
1553.170731707317,-2.0991667422455684,2.3342272232229377,2.3338648915791693,-2.6324170078713593,0.0025758967878974164,0.9966337428790858,0.9944959519482838,0.003275267621162405
1550.6493506493507,-2.0870228746122574,2.3774889793412632,2.3771306254956337,-2.6246811133507824,0.002505766365027267,0.9967322411988216,0.9946430258667435,0.0031731674724984798
1548.1361426256078,-2.0744686654946225,2.420751186909234,2.4203966545067397,-2.616714415542499,0.00243647715161487,0.9968293365722947,0.9947882425450817,0.003072394019462945
1545.6310679611652,-2.06149546975183,2.464013667016049,2.463662820708136,-2.6085156121980018,0.0023680174830208647,0.9969250356931271,0.9949316233207818,0.0029729466766150936
1543.13408723748,-2.048094883635459,2.5072762467346514,2.5069289727125197,-2.6000830639388854,0.0023003821672922162,0.9970193444961721,0.9950731870416567,0.0028748309076449172
1540.6451612903224,-2.0342585313007997,2.550538759374905,2.5501949657631626,-2.59141452627985,0.0022335724023508914,0.9971122683456026,0.9952129501909891,0.00277805782399597
1538.1642512077294,-2.019977831049526,2.5938010447262836,2.593460661833319,-2.582506851784364,0.0021675956189369573,0.9972038121935605,0.9953509269954715,0.002682643723946557
1535.6913183279742,-2.005243742493004,2.6370629492872135,2.6367259297095695,-2.573355659831536,0.002102465255912383,0.9972939807104121,0.9954871295172963,0.002588609581368615
1533.2263242375602,-1.9900464958657638,2.6803243264789844,2.679990645057927,-2.563954970891522,0.002038200475212867,0.997382778387887,0.995621567731908,0.0024959804938627164
1530.769230769231,-1.9743753048305774,2.723585036841921,2.7232546904713724,-2.554296801562092,0.001974825824219365,0.9974702096166553,0.9957542495931466,0.002404785100351004
1528.32,-1.9582180642881772,2.7668449482120416,2.766517955498006,-2.5443707158551536,0.0019123708537180277,0.9975562787400366,0.9958851810875614,0.00231505497854416
1525.8785942492013,-1.9415610350505024,2.810103935876444,2.8097803366490686,-2.5341633273880357,0.0018508696998179553,0.9976409900856978,0.9960143662797982,0.0022268240329826336
1523.4449760765551,-1.9243885177267384,2.853361882706188,2.8530417373865853,-2.5236577461518266,0.0017903606383609918,0.9977243479774033,0.9961418073510419,0.002140127884671982
1521.0191082802546,-1.9066825188863215,2.8966186792654143,2.896302068090403,-2.5128329624065433,0.0017308856203359087,0.9978063567288841,0.9962675046324659,0.0020550032735972184
1518.6009538950716,-1.8884224135541958,2.9398742238959708,2.93956124600489,-2.501663158957073,0.0016724897967472171,0.9978870206220192,0.9963914566356571,0.001971487485774982
