wavelength_nm,S11a,S12a,S21a,S22a,S11m,S12m,S21m,S22m
1600.0,-2.25910101327634,-0.01990805254416295,-0.020665316561448908,-2.7315511968090234,0.004062329308776594,0.990987224589586,0.9879013676022342,0.005402640465927793
1597.3244147157188,-2.250877976002494,0.03783297919141906,0.03708761504756413,-2.726593900131877,0.003967515682865298,0.991255321313529,0.9882272136880135,0.005266087275335709
1594.6577629382305,-2.2425612254512983,0.09557117412409896,0.09483790852242667,-2.721588017912173,0.0038740053909631375,0.9915200580536503,0.9885493087325208,0.005131591339519999
1592.0,-2.2341459291902583,0.15330639829063758,0.15258542414598208,-2.7165307722326193,0.0037817886210391345,0.9917813399566261,0.98886755035502,0.004999132804340986
1589.351081530782,-2.2256269919521454,0.21103853179907991,0.2103300352718458,-2.7114191461883776,0.0036908566725917355,0.9920390735381537,0.9891818368589552,0.00486869269384188
1586.7109634551496,-2.216999009738066,0.2687674683165837,0.26807162781647026,-2.706249847535477,0.00360120192864274,0.9922931671064329,0.9894920677237312,0.0047402528411029975
1584.07960199005,-2.2082562201798135,0.3264931145632207,0.32581009976293146,-2.701019269883621,0.003512817817261705,0.9925435311707996,0.989798144085731,0.004613795813595468
1581.4569536423842,-2.19939244921365,0.3842153898132683,0.3835453606781575,-2.695723451383764,0.0034256987637102014,0.9927900788337951,0.9900999692061483,0.004489304834429612
1578.8429752066115,-2.1904010541272125,0.44193422540490873,0.44127733124468027,-2.690358030838458,0.0033398401344318517,0.9930327261647937,0.9903974489230196,0.00436676370094686
1576.2376237623762,-2.1812748630261813,0.4996495642592896,0.49900594280793886,-2.6849182011179775,0.0032552381742281078,0.9932713925535229,0.9906904920850418,0.004246156702106431
1573.6408566721582,-2.1720061107906012,0.5573613604092811,0.5567311369394539,-2.679398659739725,0.0031718899380726844,0.9935060010418029,0.9909790109647219,0.0041274685361749035
1571.0526315789473,-2.1625863715559683,0.615069578538614,0.6144528650164764,-2.6737935563957107,0.00308979321910785,0.9937364786319886,0.9912629216485958,0.004010684230176686
1568.472906403941,-2.1530064877779345,0.6727741935310985,0.672171087817649,-2.668096437175035,0.0030089464744094286,0.9939627565707274,0.9915421444023663,0.0038957890625791317
1565.9016393442623,-2.1432564959018188,0.7304751900301081,0.7298857751346269,-2.6623001851323616,0.0029293487501757596,0.9941847706067991,0.9918166040089952,0.0037827684906107657
1563.3387888707036,-2.133325548667207,0.7881725620080693,0.787596905399094,-2.6563969567837686,0.0028509996080012937,0.9944024612219993,0.9920862300780188,0.0036716080835819797
1560.7843137254902,-2.1232018340433583,0.8458663123451466,0.8453044653239986,-2.6503781139942197,0.0027738990538989446,0.9946157738342122,0.9923509573245539,0.003562293463469203
1558.2381729200652,-2.112872490800048,0.903556452417024,0.9030084495584848,-2.644234150616147,0.0026980474717240386,0.9948246589720429,0.9926107258167567,0.0034548102539827654
1555.700325732899,-2.102323520682335,0.9612430016907101,0.9607088603549688,-2.637954613083591,0.0026234455626157225,0.9950290724206189,0.992865481190774,0.003349144039215261
1553.170731707317,-2.0915396971566564,1.0189259873276133,1.0184057072470918,-2.6315280140109385,0.0025500942920120263,0.9952289753383488,0.9931151748324594,0.0032452803328738146
1550.6493506493507,-2.0805044706852494,1.0766054437932588,1.0760990067373664,-2.624941737652434,0.002477994845721478,0.9954243343447474,0.9933597640255251,0.0031432045589984666
1548.1361426256078,-2.0691998704844314,1.1342814124723548,1.1337887819926429,-2.6181819358540688,0.0024071485964650987,0.9956151215795942,0.9935992120660038,0.003042902044976943
1545.6310679611652,-2.0576064027266967,1.1919539412886098,1.191475062546204,-2.6112334128693453,0.0023375570821742133,0.9958013147339672,0.993833488343254,0.0029443580275391986
1543.13408723748,-2.04570294518407,1.2496230843282878,1.2491578840048567,-2.6040794971135246,0.0022692219972340563,0.9959828970539198,0.9940625683880255,0.002847557672358951
1540.6451612903224,-2.033466638332787,1.307288901466485,1.3068372877594039,-2.5967018975588703,0.0022021451977371114,0.9961598573177778,0.9942864338883795,0.0027524861077761844
1538.1642512077294,-2.0208727730459217,1.364951457995686,1.364513320697444,-2.5890805420835097,0.0021363287216600814,0.9963321897882261,0.994505072674539,0.002659128473139115
1535.6913183279742,-2.0078946750929405,1.4226108242554671,1.4221860349167763,-2.5811933945794454,0.0020717748247369213,0.9964998941405854,0.9947184786740033,0.002567469982182426
1533.2263242375602,-1.9945035868381975,1.4802670752630505,1.4798554874385443,-2.573016247060769,0.002008486032651908,0.9966629753687899,0.9949266518384706,0.0024774960018985473
1530.769230769231,-1.9806685467824645,1.5379202903440825,1.537521739918951,-2.564522482348967,0.001946465209989489,0.9968214436707843,0.9951295980443593,0.0023891921473689045
1528.32,-1.9663562678927498,1.595570552763341,1.5951848583587347,-2.555682802107782,0.001885715646223626,0.9969753143151343,0.995327328968859,0.002302544393128681
1525.8785942492013,-1.9515310161248554,1.653217949355094,1.6528449128096638,-2.5464649140841717,0.0018262411588040597,0.9971246074907951,0.9955198619436264,0.0022175392017596916
1523.4449760765551,-1.9361544911093518,1.7108625701532323,1.7105019770777337,-2.5368331713007892,0.0017680462132243016,0.997269348142015,0.9957072197883468,0.0021341636706577395
1521.0191082802546,-1.9201857117230012,1.7685045080210935,1.7681561284226095,-2.526748154654988,0.0017111360596892256,0.9974095657904349,0.9958894306264677,0.002052405698185434
1518.6009538950716,-1.90358091024873,1.8261438582814076,1.825807447253397,-2.516166188860234,0.0016555168857473976,0.9975452943464705,0.9960665276854994,0.0019722541708552714
