["o0","LEFT"]
["o1","LEFT"]
("o0","mode 1",1,"o0",1,"transmission")
(200, 3)
2.1153697308626466e+14 7.8025425092828594e-04 -3.0591725307210965e-01
2.1185082616206031e+14 7.9431849493467736e-04 -2.7821986084964856e-01
2.1216467923785594e+14 8.0861293107141658e-04 -2.5195482091007104e-01
2.1247853231365159e+14 8.2304968406605008e-04 -2.2708154681321124e-01
2.1279238538944725e+14 8.3754698052230852e-04 -2.0355998316441551e-01
2.1310623846524288e+14 8.5202934736821364e-04 -1.8135169942567192e-01
2.1342009154103853e+14 8.6642778844369663e-04 -1.6042067399683668e-01
2.1373394461683419e+14 8.8067994507664128e-04 -1.4073381338833035e-01
2.1404779769262981e+14 8.9473024336412979e-04 -1.2226124889542397e-01
2.1436165076842547e+14 9.0853002830375144e-04 -1.0497644893909289e-01
2.1467550384422112e+14 9.2203768291913022e-04 -8.8856180318592631e-02
2.1498935692001675e+14 9.3521872888699441e-04 -7.3880346529257540e-02
2.1530320999581241e+14 9.4804590401094120e-04 -6.0031726488496882e-02
2.1561706307160806e+14 9.6049921098288792e-04 -4.7295632829524370e-02
2.1593091614740369e+14 9.7256593127039088e-04 -3.5659505359987874e-02
2.1624476922319934e+14 9.8424059755282574e-04 -2.5112452533033184e-02
2.1655862229899497e+14 9.9552491798472233e-04 -1.5644751743266676e-02
2.1687247537479062e+14 1.0064276455437370e-03 -7.2473179744936738e-03
2.1718632845058628e+14 1.0169643859739724e-03 8.8850300724526584e-05
2.1750018152638191e+14 1.0271573382650396e-03 6.3732390642404360e-03
2.1781403460217756e+14 1.0370349623433372e-03 1.1616391125219387e-02
2.1812788767797322e+14 1.0466315696111487e-03 1.5830472574929064e-02
2.1844174075376884e+14 1.0559868333318485e-03 1.9029821719345981e-02
2.1875559382956450e+14 1.0651452174947279e-03 2.1231467532116608e-02
2.1906944690536012e+14 1.0741553248517341e-03 2.2455603319622108e-02
2.1938329998115578e+14 1.0830691671906228e-03 2.2726000138899700e-02
2.1969715305695144e+14 1.0919413636537006e-03 2.2070343916787319e-02
2.2001100613274706e+14 1.1008282758786106e-03 2.0520480137941194e-02
2.2032485920854272e+14 1.1097870918384237e-03 1.8112550899505152e-02
2.2063871228433838e+14 1.1188748734690427e-03 1.4887010989095201e-02
2.2095256536013400e+14 1.1281475860714322e-03 1.0888512653216196e-02
2.2126641843592966e+14 1.1376591301271613e-03 6.1656528468629311e-03
2.2158027151172531e+14 1.1474603981353414e-03 7.7058184676862603e-04
2.2189412458752094e+14 1.1575983803488045e-03 -5.2415220385933371e-03
2.2220797766331659e+14 1.1681153435014224e-03 -1.1813100664596057e-02
2.2252183073911225e+14 1.1790481058045973e-03 -1.8884969995586413e-02
2.2283568381490788e+14 1.1904274295637695e-03 -2.6397156933730456e-02
2.2314953689070353e+14 1.2022775496981566e-03 -3.4289791593264791e-02
2.2346338996649919e+14 1.2146158525163425e-03 -4.2504024346819977e-02
2.2377724304229481e+14 1.2274527143452479e-03 -5.0982935550276921e-02
2.2409109611809047e+14 1.2407915044984194e-03 -5.9672406274421066e-02
2.2440494919388609e+14 1.2546287517313408e-03 -6.8521920628492355e-02
2.2471880226968175e+14 1.2689544682320197e-03 -7.7485274125110970e-02
2.2503265534547741e+14 1.2837526205184430e-03 -8.6521167677886798e-02
2.2534650842127303e+14 1.2990017326715746e-03 -9.5593672704761226e-02
2.2566036149706869e+14 1.3146756042075507e-03 -1.0467255904654227e-01
2.2597421457286431e+14 1.3307441227365399e-03 -1.1373348341495483e-01
2.2628806764865997e+14 1.3471741503245168e-03 -1.2275804156205927e-01
2.2660192072445562e+14 1.3639304621013194e-03 -1.3173369189658402e-01
2.2691577380025125e+14 1.3809767160237970e-03 -1.4065356181805341e-01
2.2722962687604691e+14 1.3982764336925087e-03 -1.4951615038760457e-01
2.2754347995184256e+14 1.4157939734371690e-03 -1.5832494228756225e-01
2.2785733302763819e+14 1.4334954785852070e-03 -1.6708794837818119e-01
2.2817118610343384e+14 1.4513497854888853e-03 -1.7581718770739282e-01
2.2848503917922950e+14 1.4693292776324874e-03 -1.8452812489412629e-01
2.2879889225502512e+14 1.4874106737430243e-03 -1.9323907543289631e-01
2.2911274533082078e+14 1.5055757392415708e-03 -2.0197058997608350e-01
2.2942659840661644e+14 1.5238119116557452e-03 -2.1074482717504514e-01
2.2974045148241206e+14 1.5421128316649131e-03 -2.1958492331319016e-01
2.3005430455820772e+14 1.5604787723737109e-03 -2.2851436587298313e-01
2.3036815763400338e+14 1.5789169602058492e-03 -2.3755637741604699e-01
2.3068201070979900e+14 1.5974417816154746e-03 -2.4673331569672249e-01
2.3099586378559466e+14 1.6160748705655165e-03 -2.5606609584608453e-01
2.3130971686139031e+14 1.6348450726619583e-03 -2.6557364064934808e-01
2.3162356993718594e+14 1.6537882829013675e-03 -2.7527236539843020e-01
2.3193742301298159e+14 1.6729471553268401e-03 -2.8517570438411599e-01
2.3225127608877722e+14 1.6923706845391817e-03 -2.9529368675488088e-01
2.3256512916457288e+14 1.7121136609609500e-03 -3.0563257007678063e-01
2.3287898224036850e+14 1.7322360041314053e-03 -3.1619454027273824e-01
2.3319283531616416e+14 1.7528019809599095e-03 -3.2697748675750909e-01
2.3350668839195981e+14 1.7738793187978205e-03 -3.3797486112514769e-01
2.3382054146775544e+14 1.7955382263920190e-03 -3.4917562688628773e-01
2.3413439454355109e+14 1.8178503389294483e-03 -3.6056430616177781e-01
2.3444824761934675e+14 1.8408876065130826e-03 -3.7212112708065115e-01
2.3476210069514238e+14 1.8647211481969475e-03 -3.8382227285382975e-01
2.3507595377093803e+14 1.8894200960696524e-03 -3.9564023023105471e-01
2.3538980684673369e+14 1.9150504554428891e-03 -4.0754423142482521e-01
2.3570365992252931e+14 1.9416740080402740e-03 -4.1950077991396945e-01
2.3601751299832497e+14 1.9693472848679020e-03 -4.3147424690973685e-01
2.3633136607412062e+14 1.9981206341669251e-03 -4.4342752215522102e-01
2.3664521914991625e+14 2.0280374076157345e-03 -4.5532270017633275e-01
2.3695907222571191e+14 2.0591332846278971e-03 -4.6712178150979938e-01
2.3727292530150756e+14 2.0914357505708346e-03 -4.7878736778922781e-01
2.3758677837730319e+14 2.1249637400238088e-03 -4.9028333007282648e-01
2.3790063145309884e+14 2.1597274511864000e-03 -5.0157543127036175e-01
2.3821448452889450e+14 2.1957283324415592e-03 -5.1263188599899523e-01
2.3852833760469012e+14 2.2329592371740088e-03 -5.2342384433135847e-01
2.3884219068048578e+14 2.2714047384539654e-03 -5.3392578957569536e-01
2.3915604375628144e+14 2.3110415913398289e-03 -5.4411584406710012e-01
2.3946989683207706e+14 2.3518393274382298e-03 -5.5397598079465049e-01
2.3978374990787272e+14 2.3937609640610857e-03 -5.6349214219898514e-01
2.4009760298366834e+14 2.4367638088331118e-03 -5.7265427058511742e-01
2.4041145605946400e+14 2.4808003399524139e-03 -5.8145625706999016e-01
2.4072530913525962e+14 2.5258191422190069e-03 -5.8989581783309508e-01
2.4103916221105528e+14 2.5717658796086795e-03 -5.9797430763519066e-01
2.4135301528685094e+14 2.6185842860781327e-03 -6.0569648114865604e-01
2.4166686836264656e+14 2.6662171576851928e-03 -6.1307021268044914e-01
2.4198072143844222e+14 2.7146073305701472e-03 -6.2010618447735444e-01
2.4229457451423788e+14 2.7636986309302258e-03 -6.2681755309260856e-01
2.4260842759003350e+14 2.8134367847544358e-03 -6.3321960231963370e-01
2.4292228066582916e+14 2.8637702765403760e-03 -6.3932939016211088e-01
2.4323613374162481e+14 2.9146511476971222e-03 -6.4516539617874913e-01
2.4354998681742044e+14 2.9660357265345839e-03 -6.5074717446521668e-01
2.4386383989321609e+14 3.0178852829976983e-03 -6.5609501655054581e-01
2.4417769296901175e+14 3.0701666021961337e-03 -6.6122962756482118e-01
2.4449154604480738e+14 3.1228524717777659e-03 -6.6617181832093064e-01
