["port 1","LEFT"]
["port 2","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(200, 3)
2.2848503917922950e+14 1.4507964776499563e-03 -1.7166487981023396e-01
2.2879889225502512e+14 1.4665126866507806e-03 -1.8230525229616620e-01
2.2911274533082078e+14 1.4826815804874507e-03 -1.9312256581157439e-01
2.2942659840661644e+14 1.4993276013192183e-03 -2.0409871530322873e-01
2.2974045148241206e+14 1.5164743795132518e-03 -2.1521524299214581e-01
2.3005430455820772e+14 1.5341446018109172e-03 -2.2645344848822077e-01
2.3036815763400338e+14 1.5523598927379286e-03 -2.3779450656805365e-01
2.3068201070979900e+14 1.5711407113911796e-03 -2.4921959006521222e-01
2.3099586378559466e+14 1.5905062653724026e-03 -2.6070999523692634e-01
2.3130971686139031e+14 1.6104744433086515e-03 -2.7224726690331713e-01
2.3162356993718594e+14 1.6310617669863512e-03 -2.8381332072089988e-01
2.3193742301298159e+14 1.6522833636918200e-03 -2.9539056005590525e-01
2.3225127608877722e+14 1.6741529589275360e-03 -3.0696198512346962e-01
2.3256512916457288e+14 1.6966828892105929e-03 -3.1851129234261233e-01
2.3287898224036850e+14 1.7198841342591794e-03 -3.3002296212551679e-01
2.3319283531616416e+14 1.7437663674805975e-03 -3.4148233374026421e-01
2.3350668839195981e+14 1.7683380232664467e-03 -3.5287566619615779e-01
2.3382054146775544e+14 1.7936063793660636e-03 -3.6419018455750851e-01
2.3413439454355109e+14 1.8195776522796400e-03 -3.7541411143401077e-01
2.3444824761934675e+14 1.8462571034463496e-03 -3.8653668378599854e-01
2.3476210069514238e+14 1.8736491538387837e-03 -3.9754815551825345e-01
2.3507595377093803e+14 1.9017575045218030e-03 -4.0843978664802266e-01
2.3538980684673369e+14 1.9305852606605741e-03 -4.1920382006236173e-01
2.3570365992252931e+14 1.9601350565239149e-03 -4.2983344713894417e-01
2.3601751299832497e+14 1.9904091791127466e-03 -4.4032276360471490e-01
2.3633136607412062e+14 2.0214096881183241e-03 -4.5066671717381057e-01
2.3664521914991625e+14 2.0531385301449040e-03 -4.6086104851844634e-01
2.3695907222571191e+14 2.0855976452575685e-03 -4.7090222718128105e-01
2.3727292530150756e+14 2.1187890641902606e-03 -4.8078738398350135e-01
2.3758677837730319e+14 2.1527149947576825e-03 -4.9051424146033845e-01
2.3790063145309884e+14 2.1873778962793809e-03 -5.0008104373356044e-01
2.3821448452889450e+14 2.2227805411024018e-03 -5.0948648715540423e-01
2.3852833760469012e+14 2.2589260625541117e-03 -5.1872965290356554e-01
2.3884219068048578e+14 2.2958179889511583e-03 -5.2780994259180714e-01
2.3915604375628144e+14 2.3334602635384336e-03 -5.3672701778984788e-01
2.3946989683207706e+14 2.3718572504962780e-03 -5.4548074421940285e-01
2.3978374990787272e+14 2.4110137274064203e-03 -5.5407114121127832e-01
2.4009760298366834e+14 2.4509348647674925e-03 -5.6249833688718476e-01
2.4041145605946400e+14 2.4916261934261191e-03 -5.7076252936447547e-01
2.4072530913525962e+14 2.5330935608924320e-03 -5.7886395414744896e-01
2.4103916221105528e+14 2.5753430777825403e-03 -5.8680285774238217e-01
2.4135301528685094e+14 2.6183810556811931e-03 -5.9457947741064143e-01
2.4166686836264656e+14 2.6622139379093614e-03 -6.0219402686210743e-01
2.4198072143844222e+14 2.7068482247450815e-03 -6.0964668759176421e-01
2.4229457451423788e+14 2.7522903946917252e-03 -6.1693760549149657e-01
2.4260842759003350e+14 2.7985468234811611e-03 -6.2406689226971568e-01
2.4292228066582916e+14 2.8456237024396505e-03 -6.3103463118029823e-01
2.4323613374162481e+14 2.8935269578894396e-03 -6.3784088649998694e-01
2.4354998681742044e+14 2.9422621731324803e-03 -6.4448571616012973e-01
2.4386383989321609e+14 2.9918345145955871e-03 -6.5096918693804706e-01
2.4417769296901175e+14 3.0422486635021651e-03 -6.5729139157202843e-01
2.4449154604480738e+14 3.0935087543941201e-03 -6.6345246721403006e-01
2.4480539912060303e+14 3.1456183216620891e-03 -6.6945261460332584e-01
2.4511925219639869e+14 3.1985802550761060e-03 -6.7529211740698247e-01
2.4543310527219431e+14 3.2523967651494927e-03 -6.8097136119363211e-01
2.4574695834798997e+14 3.3070693589809463e-03 -6.8649085154373690e-01
2.4606081142378562e+14 3.3625988270303280e-03 -6.9185123086560685e-01
2.4637466449958125e+14 3.4189852411061535e-03 -6.9705329352161849e-01
2.4668851757537691e+14 3.4762279636100998e-03 -7.0209799894836733e-01
2.4700237065117253e+14 3.5343256679514958e-03 -7.0698648249175544e-01
2.4731622372696819e+14 3.5932763698069002e-03 -7.1172006375749008e-01
2.4763007680276381e+14 3.6530774687697676e-03 -7.1630025233266681e-01
2.4794392987855947e+14 3.7137257997192003e-03 -7.2072875077900445e-01
2.4825778295435512e+14 3.7752176931630907e-03 -7.2500745488725671e-01
2.4857163603015075e+14 3.8375490435937519e-03 -7.2913845119370146e-01
2.4888548910594641e+14 3.9007153848268747e-03 -7.3312401184691578e-01
2.4919934218174206e+14 3.9647119712099841e-03 -7.3696658692762296e-01
2.4951319525753769e+14 4.0295338634311218e-03 -7.4066879438876987e-01
