s11a,s11m,wavelengths
2.429998507954886,0.012893236677835415,1.5
1.6804873340508415,0.014951810105921653,1.5020408163265306
0.8710517708865088,0.017537075655187705,1.5040816326530613
0.09047045571293043,0.01987520443773009,1.506122448979592
-0.6521311257913621,0.020828800250593277,1.5081632653061225
-1.333263838679532,0.019208147016440174,1.510204081632653
-1.8842774379596254,0.016053698740089762,1.5122448979591836
-2.3111129334218683,0.014000311997750797,1.5142857142857142
-2.7794911193097014,0.013942682901051296,1.5163265306122449
-3.417365346234237,0.014865426478435577,1.5183673469387755
-4.20539640050856,0.016167669773846986,1.5204081632653061
-5.060501855230423,0.017782602384824125,1.5224489795918368
-5.889579853970428,0.019004307252684333,1.5244897959183674
-6.627175185486648,0.018832636279888824,1.5265306122448983
-7.231337779893048,0.017156066774727162,1.5285714285714287
-7.676990142694538,0.015394642531062055,1.530612244897959
-8.053980932516298,0.015315535504987886,1.5326530612244897
-8.533200065063875,0.016671239783990727,1.5346938775510204
-9.183270167164544,0.017962065830004825,1.536734693877551
-9.975957681901885,0.018189014330404756,1.5387755102040817
-10.834806820639344,0.017691477737934697,1.5408163265306123
-11.664002695510566,0.01706667186464835,1.542857142857143
-12.375350035271616,0.016295912114113558,1.5448979591836736
-12.9303718737752,0.015536845211275366,1.546938775510204
-13.351134801363239,0.015423846325576912,1.5489795918367348
-13.731904095963223,0.01694768336652147,1.5510204081632653
-14.224631503235814,0.01968524373208185,1.5530612244897959
-14.857291216780578,0.021435270708102003,1.5551020408163265
-15.586526981765711,0.02104039399137746,1.5571428571428572
-16.372594054436917,0.0190684180560848,1.5591836734693876
-17.171792186586863,0.016932452101812313,1.5612244897959184
-17.92337420247247,0.015280661625346371,1.563265306122449
-18.520893683396665,0.01392081378597031,1.5653061224489797
-18.90576212070582,0.014234334085186129,1.5673469387755101
-19.29292501262809,0.017608296556360183,1.569387755102041
-19.821030619906722,0.021968141168871743,1.5714285714285714
-20.445456595281133,0.024793231229794998,1.573469387755102
-21.12085736117527,0.024800536182550795,1.5755102040816327
-21.821667272409965,0.022332066817009145,1.577551020408163
-22.538070884747494,0.018668925485650696,1.579591836734694
-23.234512955750738,0.01513705970357211,1.5816326530612246
-23.827081835701595,0.013014628601970746,1.5836734693877552
-24.28970469107615,0.013484416345743705,1.5857142857142859
-24.75886460772853,0.016928511084361282,1.5877551020408165
-25.32383152630897,0.021808493903455448,1.5897959183673471
-25.949655416919658,0.025766889662130463,1.5918367346938775
-26.598714512317418,0.027169347681962892,1.593877551020408
-27.24961084644151,0.025396895843058438,1.5959183673469388
-27.87325710265109,0.02120973235846687,1.5979591836734695
-28.438048559937428,0.016530570031506143,1.6
