s13a,s13m,s23a,s23m,s33a,s33m,wavelengths,s11a,s11m,s21a,s21m,s31a,s31m,s12a,s12m,s22a,s22m,s32a,s32m
0.5862956712353885,0.7087090979963974,-0.19937752321298666,0.16620868541771652,1.0179710843513443,0.16836978368302075,1.52,-1.2440545044833509,0.0015187229773327242,0.5667165425871671,0.7035192567546329,0.5667233694060977,0.7035320063628632,0.5863214047259638,0.7086941963296,1.0180816533723214,0.16837058792971768,-0.19935750431828148,0.1662067808444996
0.2602210742220892,0.7087057969474931,-0.5797087544535836,0.16822042099507134,0.6390956234066099,0.1638465434621846,1.5212244897959184,-1.1275131402205347,0.001964833707736616,0.24070541926666886,0.703401264067439,0.2407129473082994,0.7034132429435205,0.260242793534406,0.70869976178247,0.6392021414479614,0.16384521866477722,-0.5796937225517282,0.16821918593433752
-0.06533288145552756,0.7087350727746019,-0.9538600935147553,0.16934752955620305,0.25077976281542025,0.15870460779175294,1.5224489795918368,-1.2160665433600346,0.002598619165887662,-0.08475767807486541,0.7032900785503975,-0.08474928873387154,0.7033013039759165,-0.06531170217235296,0.708723139348823,0.25090076551807855,0.15870266293950824,-0.953835605320801,0.16934614456630273
-0.390432780082878,0.7088043667775081,-1.3241806585704112,0.16935758300293424,-0.14871477892794419,0.1536638479069864,1.5236734693877552,-1.427369505864184,0.0032012408835466314,-0.40969908187984055,0.7031664378465223,-0.40968972532013864,0.7031770384142942,-0.3904121352908749,0.7087790813693824,-0.1485938941841906,0.1536572697884015,-1.324159346100974,0.16935429094910961
-0.7150190705652387,0.708865495804123,-1.6931440528073487,0.16814512658015707,-0.5591950637286588,0.14947497809602772,1.5248979591836735,-1.7080002301665278,0.0036451322148236625,-0.734095400423852,0.7030420489294549,-0.734084875999495,0.7030522027521776,-0.715001865233195,0.7088508619098695,-0.559061248630708,0.14946418470701472,-1.6931257692373258,0.16814241928169985
-1.0391287824163251,0.7089114910209173,-2.063659693907301,0.16575554454413555,-0.9781583540251122,0.14679256969534843,1.526122448979592,-2.0389390126370928,0.0038562557648248244,-1.0579454363310166,0.7029150872292627,-1.0579337495123446,0.7029248271551107,-1.0391112576451058,0.7089117301321394,-0.9780418877243539,0.14677480700287276,-2.063649685824833,0.16574974037145368
-1.3627413611885393,0.7090842841635037,-2.4385689475979646,0.16237231368786387,-1.4007364599315866,0.14605009761942017,1.5273469387755103,-2.4190110769113096,0.0038096290763007822,-1.381262334486266,0.7027794755867203,-1.381249386367532,0.7027889330146934,-1.3627283734281623,0.7090496103718319,-1.4006087851100373,0.1460321628549785,-2.4385496394109127,0.16237088345623957
-1.6859535617279933,0.7092052349388646,-2.820617122201524,0.15834161856445997,-1.8207759260859424,0.14731243546288578,1.5285714285714287,-2.864435835052802,0.0035310664153962766,-1.704059189705399,0.702635904691893,-1.7040449321154811,0.7026451803640666,-1.685918541113524,0.7091832420113912,-1.8206696466361365,0.1472923234505623,-2.820586457894243,0.15833875334526412
-2.0086268311261892,0.7093961593171144,-3.2120274301198553,0.15414443294861432,-2.2326242566120595,0.1502916568152383,1.5297959183673473,-3.4103392551906597,0.003136370657632935,-2.0263204524339686,0.7024920650562627,-2.0263048876115084,0.702501292151716,-2.0086098947337994,0.7093793064360939,-2.2325328045446757,0.15026954999755085,-3.2119999327453295,0.15414356485360403
-2.330849171203591,0.7096140329012024,-3.6140817363105646,0.15037337664736222,-2.632653682608985,0.154371742159547,1.5310204081632655,-4.093821636857105,0.0028692648501698094,-2.348033028499299,0.7023446696043609,-2.3480161284575325,0.7023539853518526,-2.3308294286377977,0.7096074463472635,-2.6325926416020513,0.15434642410919117,-3.6140722043076243,0.1503740359199703
