s11a,s11m,s12a,s12m,s21a,s21m,s22a,s22m,wavelengths,freqs
-2.8792786758516833,0.030168921617051526,-2.7996463366740394,1.2967487432543792,-2.7997916030913723,1.2967488061119476,-2.762916579175202,0.03373436458374752,1.5,0.6666666666666666
-2.8758444561068512,0.03069392302913653,-2.834176459959888,1.2956049564740038,-2.8343152017267985,1.2955898882002057,-2.7697378888038435,0.03452635384683435,1.5020408163265306,0.6657608695652174
-2.8739567556478622,0.031221830334101978,-2.8686059802603423,1.2944672622444549,-2.868737387684246,1.2944378503952905,-2.7780410041895243,0.0352972892208484,1.5040816326530613,0.6648575305291723
-2.8735327517755325,0.03174923683399711,-2.902935334578487,1.2933357509669976,-2.903058648537678,1.293292849118351,-2.7876887871115708,0.03604421731202158,1.506122448979592,0.6639566395663956
-2.874488150012737,0.03227298031391726,-2.937164964561223,1.292210511193701,-2.937279479618436,1.2921550332999183,-2.7985563975073364,0.036764490920865256,1.5081632653061225,0.6630581867388362
-2.8767387634300094,0.03279013455509857,-2.9712953163220246,1.2910916291133785,-2.971400383518481,1.2910245436992207,-2.81053032087292,0.037455736909170326,1.510204081632653,0.6621621621621622
-2.8802016976968727,0.0332979989535184,-3.0053268402568327,1.2899791880526368,-3.0054218695819284,1.2899015122646265,-2.823507365513486,0.03811582833055506,1.5122448979591836,0.6612685560053981
-2.8847962084743948,0.033794087119739066,-3.039259990848616,1.2888732679864943,-3.0393444533808784,1.288786061529928,-2.837393675601,0.038742860408973206,1.5142857142857142,0.6603773584905661
-2.890444292743631,0.034276115111788394,-3.0730952264550053,1.2877739450569765,-3.073168656170643,1.2876783040450202,-2.8521037883605866,0.039335129935552486,1.5163265306122449,0.6594885598923285
-2.897071068593674,0.03474198976739997,-3.1068330090735428,1.2866812911021432,-3.106895004319745,1.2865783418436731,-2.8675597514960964,0.03989111766543218,1.5183673469387755,0.6586021505376344
-2.904604990180825,0.03518979745296748,-3.140473804080928,1.2855953732009433,-3.1405240287119165,1.2854862659540478,-2.8836903086693098,0.04040947332123685,1.5204081632653061,0.6577181208053691
-2.9129779368580606,0.035617793429952756,-3.1740180799449593,1.284516253241086,-3.1740562641197636,1.2844021559592016,-2.9004301553501306,0.0408890028416265,1.5224489795918368,0.6568364611260054
-2.9221252083388864,0.0360243919509205,-3.2074663079104533,1.2834439875167105,-3.207492248552402,1.28332607961478,-2.917719263808561,0.04132865754778239,1.5244897959183674,0.6559571619812583
-2.931985451442317,0.03640815713207648,-3.2408189616624483,1.2823786263612,-3.2408325225815204,1.2822580925293123,-2.9355022738319305,0.04172752493516685,1.526530612244898,0.6550802139037433
-2.9425005385506764,0.036767794602730657,-3.2740765169710038,1.2813202138179682,-3.2740776286514706,1.2811982379102425,-2.95372794448755,0.0420848208314776,1.5285714285714287,0.6542056074766355
-2.9536154133846457,0.037102143900818375,-3.3072394513218386,1.2802687873495031,-3.3072281103790817,1.280146546376143,-2.972348661610811,0.042399882693419086,1.530612244897959,0.6533333333333333
-2.9652779159889633,0.03741017156375603,-3.3403082435359104,1.279224377583263,-3.340284511847925,1.2791030358336826,-2.9913199954759544,0.042672163844486695,1.5326530612244897,0.6524633821571239
-2.977438595837541,0.03769096485283178,-3.3732833733798038,1.278187008092224,-3.3732473769007374,1.2780677114168817,-3.010600303145081,0.04290122848323789,1.5346938775510204,0.6515957446808511
-2.9900505195947114,0.037943726044382696,-3.4061653211671152,1.2771566952080688,-3.4061172484319515,1.277040565486432,-3.030150370195589,0.04308674731608913,1.536734693877551,0.650730411686587
-3.0030690782121474,0.03816776722039787,-3.43895456734993,1.2761334478678137,-3.4388946676816974,1.2760215776880406,-3.0499330868183847,0.04322849369102387,1.5387755102040817,0.649867374005305
-3.0164517965963316,0.03836250549355156,-3.47165159210033,1.2751172674939915,-3.471580173532538,1.2750107150702181,-3.0699131536138893,0.043326340128173664,1.5408163265306123,0.6490066225165563
