s11a,s11m,s13a,s13m,s14a,s14m,s12a,s12m,s31a,s31m,s33a,s33m,s34a,s34m,s32a,s32m,s41a,s41m,s43a,s43m,s44a,s44m,s42a,s42m,s21a,s21m,s23a,s23m,s24a,s24m,s22a,s22m,wavelengths,freqs
-0.5768229132561724,0.07415915880170404,-2.0023616927164354,0.5010854892122008,3.1005513013934007,0.04030598084208967,3.100551301428025,0.04030598083920634,-2.005243240403164,0.50138655468968,-1.338335319696532,0.061370788511247734,3.0642864976403366,0.04090158628088142,3.0642864976402198,0.04090158628097946,3.10013849203161,0.04023275223473985,3.0627908470347442,0.04097106616945283,-1.3399897511317453,0.06129622205792699,-1.9984882874720675,0.5018162497918134,3.1001384920434356,0.04023275222523444,3.062790847039839,0.0409710661599099,-1.99848828747377,0.5018162497960034,-1.3399897511304169,0.06129622205789632,1.5,0.6666666666666666
-1.050958432714447,0.0907632312281707,-2.161366003985141,0.4965082934886819,2.872018775227483,0.039838800813177144,2.8720187752694706,0.03983880081038369,-2.1635423018039113,0.4967754127926852,-1.6587508651339935,0.08076562477017579,2.8348301873678206,0.04024401741324008,2.8348301873678157,0.04024401741324021,2.872384454069667,0.03975826690977953,2.833328150022212,0.04030845571554986,-1.6597948188294387,0.08069134477376698,-2.1575998240656564,0.49797792006991765,2.8723844541055557,0.03975826690054207,2.8333281500509844,0.040308455706259454,-2.157599824066375,0.4979779200715842,-1.6597948188288234,0.08069134477371508,1.5020408163265306,0.6657608695652174
-1.4383057484363773,0.11068370142764705,-2.3194866775207923,0.492369904008489,2.645812009451552,0.03897388090848382,2.645812009500169,0.038973880905827374,-2.3209705904147753,0.4927319498535474,-1.9332756678177774,0.09979782510173191,2.608513595739828,0.03921799123864096,2.6085135957397276,0.0392179912385667,2.646992286308412,0.038896694022235515,2.6070675859053427,0.03927576826091605,-1.9338939034813605,0.09972338507737753,-2.316250507271984,0.49451635865463733,2.6469922863670443,0.03889669401336898,2.6070675859567602,0.039275768251984415,-2.3162505072713975,0.49451635865411153,-1.9338939034780014,0.09972338507742683,1.5040816326530613,0.6648575305291723
-1.7701102065957963,0.13163538332300134,-2.476959786213961,0.48841378613699515,2.42707548468689,0.03772433408252895,2.427075484743397,0.03772433408028054,-2.4778513165156175,0.48898768173591245,-2.184301908594917,0.11776028061309998,2.389882526875326,0.03785258483444717,2.3898825268755965,0.03785258483453314,2.4290543077313944,0.03766095810696677,2.3885845863833204,0.03790363401274112,-2.184626127918381,0.11769028741729573,-2.474603245601199,0.4911433069518632,2.4290543078116857,0.037660958098580756,2.388584586456373,0.03790363400427914,-2.4746032456032308,0.4911433069560375,-2.1846261279178156,0.11769028741725433,1.506122448979592,0.6639566395663956
-2.0683386247901985,0.15224784006162445,-2.6335447993685266,0.484395657236942,2.2216250983672032,0.03623424079486388,2.2216250984310006,0.036234240792878236,-2.634017964524915,0.48527454205624687,-2.422502613824021,0.13420207524066907,2.1838852624874603,0.036288093956538564,2.1838852624879075,0.036288093956619256,2.2242885831531183,0.03619387169855677,2.1828032644155573,0.03633453793952289,-2.4226214420244006,0.1341390123391539,-2.632383862371875,0.4875960500092433,2.224288583255957,0.03619387169074345,2.1828032645110174,0.03633453793161905,-2.6323838623743314,0.48759605001349615,-2.422621442025639,0.1341390123390993,1.5081632653061225,0.6630581867388362
-2.346552667839754,0.17165102739772334,-2.7886116141010597,0.48025984115913534,2.033747696161216,0.0347708928170959,2.033747696231127,0.03477089281532498,-2.788898803665243,0.4815053700001661,-2.653882183312791,0.14879024617394504,1.9940043926624293,0.03476219296043503,1.9940043926624267,0.03476219296043517,2.0368894269978015,0.03475881446561984,1.99315885836986,0.03480631909691615,-2.6538145138885665,0.1487378360873151,-2.78896136826445,0.48379077448609953,2.0368894271243083,0.034758814458481516,1.9931588584887208,0.03480631908966315,-2.7889613682656234,0.48379077448784336,-2.653814513889524,0.14873783608727573,1.510204081632653,0.6621621621621622
-2.6133036076010288,0.1892519387844612,-2.9415189559176986,0.4762494827853672,1.8635218793034811,0.03365766372482077,1.8635218793783082,0.03365766372333598,-2.9418963272864906,0.47788632734627107,-2.8822448506578633,0.16126742600927368,1.8201588447538288,0.03354925468787262,1.820158844753361,0.03354925468783093,1.866899752980233,0.03367606572742674,1.8195564157682793,0.03359291378864906,-2.8820057123437373,0.1612401309547313,-2.9436936486119016,0.47991493300186977,1.8668997531286744,0.033676065721073956,1.8195564159090425,0.033592913782145704,-2.9436936486122995,0.4799149330022245,-2.8820057123444376,0.16124013095469336,1.5122448979591836,0.6612685560053981
-2.8745045646769554,0.20461476036662593,-3.0921344891576976,0.47283491448021986,1.7050317795936283,0.033173299097359714,1.7050317796727,0.03317329909631531,-3.0929033419088374,0.4748444912709831,-3.110378931078698,0.1714543243036748,1.657460921766925,0.03287932371327206,1.6574609217675254,0.03287932371331851,1.7083596776410566,0.03322341286429944,1.657097571949839,0.03292458955254397,-3.110058638151957,0.17147043857141936,-3.0963548267133114,0.47635038009787384,1.7083596778052148,0.0332234128587882,1.6570975721071617,0.03292458954684186,-3.096354826715551,0.4763503801011192,-3.1100586381524056,0.17147043857137226,1.5142857142857142,0.6603773584905661
-3.134630810879673,0.21733639854796102,-3.2410945677226004,0.47045276200177116,1.5471515221642376,0.03345515183271403,1.5471515222415957,0.03345515183190983,-3.242546015605516,0.4727665418647477,-3.3407444416547887,0.17922119069278128,1.496867901692497,0.03286787061992642,1.4968679016924917,0.03286787061992667,1.5501002855593786,0.033536526832664844,1.4967216434693449,0.032916775001447685,-3.34047481190496,0.1792876089998961,-3.2473037653202415,0.473465792705166,1.550100285729458,0.03353652682793763,1.4967216436346122,0.032916774996501384,-3.24730376532159,0.4734657927068959,-3.340474811905178,0.17928760899983182,1.5163265306122449,0.6594885598923285
-3.396909595749688,0.2269728036932159,-3.3895123377761567,0.46926192068997447,1.377547138667424,0.03444171575352267,1.3775471387410212,0.034441715752927336,-3.391872858565199,0.47176206790665765,-3.5755706504132085,0.18443054293145697,1.3280405185157842,0.03347665094637661,1.3280405185157769,0.03347665094637673,1.3798174295695504,0.03455094513845318,1.3280761628824103,0.03353105101459955,-3.575460332673157,0.18454216574425472,-3.3972801917015074,0.47144902421285195,1.3798174297364743,0.034550945134318695,1.3280761630472444,0.03353105101024562,-3.3972801917024076,0.4714490242143933,-3.575460332672287,0.18454216574425086,1.5183673469387755,0.6586021505376344
-3.6632131248567377,0.23313027390152644,-3.5384479803181885,0.46912866593976343,1.1876791879767505,0.03588540750257769,1.1876791880453363,0.03588540750208916,-3.541828480908693,0.4716633228883741,-3.8165504072502694,0.1869461381198556,1.1430848698144527,0.03452081536054872,1.1430848698144356,0.034520815360548476,1.1890643702164236,0.03601500906299337,1.1432500365992895,0.034581741004465254,-3.816686120121956,0.18709089779747232,-3.5470809064980684,0.47028649255978394,1.1890643703732804,0.03601500905923068,1.1432500367566072,0.034581741000512145,-3.547080906499301,0.4702864925613943,-3.816686120121513,0.18709089779742885,1.5204081632653061,0.6577181208053691
-3.9343247572991995,0.23566109498862256,-3.6886721376607245,0.46975810702720155,0.9753604836245435,0.03743366430524999,0.9753604836882898,0.03743366430478089,-3.6930470563601308,0.4721671880816027,-4.064674637048885,0.1867366099429986,0.9389452333439547,0.03572302132425126,0.9389452333439764,0.0357230213242536,0.9758057267799081,0.037571633139886505,0.939204391686166,0.03578993878255909,-4.065118235907304,0.18689362760056447,-3.6973916989272064,0.46982306503470045,0.9758057269247105,0.037571633136262696,0.9392043918332911,0.03578993877879396,-3.697391698928577,0.46982306503636845,-4.065118235906841,0.18689362760052072,1.5224489795918368,0.6568364611260054
-4.210515909453856,0.23479457206068463,-3.8406883796408393,0.4707563477880995,0.7440351408433293,0.03874424999898495,0.7440351409025874,0.0387442499984315,-3.845908347351669,0.47289697411814025,-4.320423601221954,0.18398880572352,0.7174742080231306,0.03679951231489743,0.7174742080228221,0.03679951231487365,0.743649979972285,0.038877209300071505,0.7178230523201168,0.03687181839767635,-4.321169315521046,0.18413326978086977,-3.848741979599702,0.46979139801999553,0.7436499801052232,0.03887720929642064,0.7178230524565005,0.036871818393939625,-3.848741979600515,0.4697913980209471,-4.321169315520578,0.18413326978082628,1.5244897959183674,0.6559571619812583
-4.492043718375221,0.23113624225584276,-3.994648496746004,0.4716294930306383,0.5002248606200194,0.0395949630328906,0.5002248606767198,0.03959496303230469,-4.000473828420155,0.4733947984741491,-4.584102022851946,0.17915405919334637,0.4836768023831211,0.0375529340068849,0.48367680238341776,0.03755293400690916,0.49920254300169764,0.03971176467653422,0.48408333951835153,0.03763053050322312,-4.585081125332511,0.1792708569141045,-4.001398602908986,0.46981630061720636,0.4992025431236429,0.039711764672767005,0.48408333964429523,0.03763053049942054,-4.001398602911285,0.4698163006195321,-4.58508112533212,0.17927085691389552,1.526530612244898,0.6550802139037433
