s11a,s11m,s31a,s31m,s41a,s41m,s21a,s21m,s22m,s22a,s33m,s33a,s44m,s44a,s12m,s12a,s34m,s34a,s43m,s43a,s13m,s13a,s24m,s24a,s42m,s42a,s14m,s14a,s23m,s23a,s32m,s32a,wavelengths,freqs
1.1048955367609163,0.03671836618569452,-1.5367513843261555,0.3899464875201848,-2.602118922250382,0.024869048470012492,-2.6021663560070016,0.03223867213375018,0.03671836618569452,1.1048955367609163,0.03671836618569452,1.1048955367609163,0.03671836618569452,1.1048955367609163,0.03223867213375018,-2.6021663560070016,0.03223867213375018,-2.6021663560070016,0.03223867213375018,-2.6021663560070016,0.3899464875201848,-1.5367513843261555,0.3899464875201848,-1.5367513843261555,0.3899464875201848,-1.5367513843261555,0.024869048470012492,-2.602118922250382,0.024869048470012492,-2.602118922250382,0.024869048470012492,-2.602118922250382,1.5,0.6666666666666666
0.365661221932315,0.030611450043243463,-1.7002576401949898,0.3849828714795531,-2.818077771665546,0.024963773967261894,-2.818133317678649,0.0323325392555803,0.030611450043243463,0.365661221932315,0.030611450043243463,0.365661221932315,0.030611450043243463,0.365661221932315,0.0323325392555803,-2.818133317678649,0.0323325392555803,-2.818133317678649,0.0323325392555803,-2.818133317678649,0.3849828714795531,-1.7002576401949898,0.3849828714795531,-1.7002576401949898,0.3849828714795531,-1.7002576401949898,0.024963773967261894,-2.818077771665546,0.024963773967261894,-2.818077771665546,0.024963773967261894,-2.818077771665546,1.5020408163265306,0.6657608695652174
-0.4307353174605086,0.03529125248863065,-1.860807681494533,0.3804785646539425,-3.03763050335792,0.025028962539291943,-3.0376952756168265,0.032388261925599036,0.03529125248863065,-0.4307353174605086,0.03529125248863065,-0.4307353174605086,0.03529125248863065,-0.4307353174605086,0.032388261925599036,-3.0376952756168265,0.032388261925599036,-3.0376952756168265,0.032388261925599036,-3.0376952756168265,0.3804785646539425,-1.860807681494533,0.3804785646539425,-1.860807681494533,0.3804785646539425,-1.860807681494533,0.025028962539291943,-3.03763050335792,0.025028962539291943,-3.03763050335792,0.025028962539291943,-3.03763050335792,1.5040816326530613,0.6648575305291723
-1.0064785598178394,0.048423384795233324,-2.019271542203747,0.37657275214603936,-3.260867854360106,0.02496006894977003,-3.2609454473798256,0.03227074255572845,0.048423384795233324,-1.0064785598178394,0.048423384795233324,-1.0064785598178394,0.048423384795233324,-1.0064785598178394,0.03227074255572845,-3.2609454473798256,0.03227074255572845,-3.2609454473798256,0.03227074255572845,-3.2609454473798256,0.37657275214603936,-2.019271542203747,0.37657275214603936,-2.019271542203747,0.37657275214603936,-2.019271542203747,0.02496006894977003,-3.260867854360106,0.02496006894977003,-3.260867854360106,0.02496006894977003,-3.260867854360106,1.506122448979592,0.6639566395663956
-1.4107022117930776,0.0649498525004011,-2.1765486980290003,0.37321274328036125,-3.4849390784628587,0.024657595305697833,-3.485034217070934,0.031851844037053885,0.0649498525004011,-1.4107022117930776,0.0649498525004011,-1.4107022117930776,0.0649498525004011,-1.4107022117930776,0.031851844037053885,-3.485034217070934,0.031851844037053885,-3.485034217070934,0.031851844037053885,-3.485034217070934,0.37321274328036125,-2.1765486980290003,0.37321274328036125,-2.1765486980290003,0.37321274328036125,-2.1765486980290003,0.024657595305697833,-3.4849390784628587,0.024657595305697833,-3.4849390784628587,0.024657595305697833,-3.4849390784628587,1.5081632653061225,0.6630581867388362
-1.7306694064189059,0.08229157663232765,-2.3332171266459647,0.37016365864710477,-3.7040957313901046,0.024081324805057414,-3.70421340168274,0.03108035159137762,0.08229157663232765,-1.7306694064189059,0.08229157663232765,-1.7306694064189059,0.08229157663232765,-1.7306694064189059,0.03108035159137762,-3.70421340168274,0.03108035159137762,-3.70421340168274,0.03108035159137762,-3.70421340168274,0.37016365864710477,-2.3332171266459647,0.37016365864710477,-2.3332171266459647,0.37016365864710477,-2.3332171266459647,0.024081324805057414,-3.7040957313901046,0.024081324805057414,-3.7040957313901046,0.024081324805057414,-3.7040957313901046,1.510204081632653,0.6621621621621622
-2.0088948920205585,0.09926347809224777,-2.4892037221152323,0.36712911970216383,-3.9110550964105224,0.023298054256012328,-3.9111978016939806,0.03004320893787612,0.09926347809224777,-2.0088948920205585,0.09926347809224777,-2.0088948920205585,0.09926347809224777,-2.0088948920205585,0.03004320893787612,-3.9111978016939806,0.03004320893787612,-3.9111978016939806,0.03004320893787612,-3.9111978016939806,0.36712911970216383,-2.4892037221152323,0.36712911970216383,-2.4892037221152323,0.36712911970216383,-2.4892037221152323,0.023298054256012328,-3.9110550964105224,0.023298054256012328,-3.9110550964105224,0.023298054256012328,-3.9110550964105224,1.5122448979591836,0.6612685560053981
-2.2653270568753623,0.11520744837783131,-2.643721086648618,0.3639619088136269,-4.099893217110603,0.02249125308645168,-4.100058268031445,0.028977451003885542,0.11520744837783131,-2.2653270568753623,0.11520744837783131,-2.2653270568753623,0.11520744837783131,-2.2653270568753623,0.028977451003885542,-4.100058268031445,0.028977451003885542,-4.100058268031445,0.028977451003885542,-4.100058268031445,0.3639619088136269,-2.643721086648618,0.3639619088136269,-2.643721086648618,0.3639619088136269,-2.643721086648618,0.02249125308645168,-4.099893217110603,0.02249125308645168,-4.099893217110603,0.02249125308645168,-4.099893217110603,1.5142857142857142,0.6603773584905661
-2.510742988124298,0.12971262940172779,-2.795811208716306,0.360879410664785,-4.269939465589404,0.02191056443933171,-4.270117681732933,0.02820457078777317,0.12971262940172779,-2.510742988124298,0.12971262940172779,-2.510742988124298,0.12971262940172779,-2.510742988124298,0.02820457078777317,-4.270117681732933,0.02820457078777317,-4.270117681732933,0.02820457078777317,-4.270117681732933,0.360879410664785,-2.795811208716306,0.360879410664785,-2.795811208716306,0.360879410664785,-2.795811208716306,0.02191056443933171,-4.269939465589404,0.02191056443933171,-4.269939465589404,0.02191056443933171,-4.269939465589404,1.5163265306122449,0.6594885598923285
-2.752498447541041,0.1424201386164068,-2.9454150505631342,0.35836666907870696,-4.428317100890596,0.02177465823442903,-4.428494280271546,0.028005241066965485,0.1424201386164068,-2.752498447541041,0.1424201386164068,-2.752498447541041,0.1424201386164068,-2.752498447541041,0.028005241066965485,-4.428494280271546,0.028005241066965485,-4.428494280271546,0.028005241066965485,-4.428494280271546,0.35836666907870696,-2.9454150505631342,0.35836666907870696,-2.9454150505631342,0.35836666907870696,-2.9454150505631342,0.02177465823442903,-4.428317100890596,0.02177465823442903,-4.428317100890596,0.02177465823442903,-4.428317100890596,1.5183673469387755,0.6586021505376344
