s11a,s11m,s21a,s21m,s12a,s12m,s22a,s22m,wavelengths,freqs
-3.140720346020032,0.014989412583751537,-0.20970188834911088,0.9999924241541837,-0.20970185348182252,0.999992446746992,-3.1410341713651726,0.014994119869604602,1.5,0.6666666666666666
-3.140565068626251,0.01495059151928283,-0.26629145019667866,0.9999902477154664,-0.2662914081966314,0.9999902787160171,-3.140913289900745,0.014954701003791418,1.5020408163265306,0.6657608695652174
-3.1404077426320067,0.014912058473652864,-0.32272504667912405,0.9999881811220445,-0.3227249987130407,0.9999882212375057,-3.140785433678451,0.01491551940835256,1.5040816326530613,0.6648575305291723
-3.1402491517978763,0.014873812679303239,-0.3790033334904909,0.9999862198519726,-0.3790032807819338,0.9999862696405208,-3.140651029789613,0.014876583933513488,1.506122448979592,0.6639566395663956
-3.1400900864248253,0.014835852105634607,-0.4351269621028626,0.9999843583123877,-0.43512690591377506,0.9999844181817125,-3.1405105896234904,0.014837902535202943,1.5081632653061225,0.6630581867388362
-3.1399313320301308,0.014798173473200898,-0.4910965798010873,0.9999825902389284,-0.49109652141476146,0.999982660446695,-3.140364699748676,0.014799482142128114,1.510204081632653,0.6621621621621622
-3.139773657347236,0.014760772291236054,-0.5469128297499223,0.9999809090685996,-0.5469127704552849,0.9999809897240056,-3.1402140109342924,0.014761328548494778,1.5122448979591836,0.6612685560053981
-3.1396178023418537,0.01472364292341155,-0.6025763510851007,0.9999793082695638,-0.6025762921617827,0.9999793993354316,-3.1400592260620703,0.014723446339195145,1.5142857142857142,0.6603773584905661
-3.139464467025026,0.014686778680575847,-0.6580877790170285,0.9999777816186607,-0.658087721720532,0.999977882914033,-3.139901087775883,0.0146858388476774,1.5163265306122449,0.6594885598923285
-3.139314301701147,0.014650171934887874,-0.713447744936018,0.9999763234247832,-0.7134476904824588,0.9999764346284319,-3.1397403665672408,0.014648508142049281,1.5183673469387755,0.6586021505376344
-3.139167899005141,0.014613814245628779,-0.7686568765113788,0.999974928701813,-0.7686568260616955,0.9999750493574089,-3.139577849702464,0.014611455030701902,1.5204081632653061,0.6577181208053691
-3.1390257877218666,0.014577696487082098,-0.8237157977807636,0.999973593297637,-0.8237157524247926,0.9999737228212899,-3.1394143310308387,0.014574679078874215,1.5224489795918368,0.6568364611260054
-3.138888428108858,0.01454180897235106,-0.8786251292311081,0.9999723139858695,-0.8786250899723609,0.9999724516764825,-3.139250601444345,0.014538178631157646,1.5244897959183674,0.6559571619812583
-3.1387562082801552,0.014506141569223271,-0.9333854878744271,0.9999710885247124,-0.9333854556165943,0.9999712335770845,-3.1390874396097073,0.014501950837287815,1.526530612244898,0.6550802139037433
-3.1386294412449436,0.014470683809488445,-0.9879974873227814,0.9999699156845835,-0.9879974628588888,0.9999700672046843,-3.1389256026514825,0.014465991683833541,1.5285714285714287,0.6542056074766355
-3.1385083623507426,0.01443542499635498,-1.0424617378650463,0.999968795243989,-1.0424617218698102,0.9999689522654147,-3.1387658166450256,0.014430296037489689,1.530612244897959,0.6533333333333333
-3.138393127125157,0.014400354313436264,-1.0967788465447237,0.9999677279518625,-1.096778839570129,0.9999678894523774,-3.1386087670433267,0.014394857704155715,1.5326530612244897,0.6524633821571239
-3.138283809730013,0.014365460940616968,-1.150949417236369,0.9999667154560969,-1.150949419709983,0.9999668803732936,-3.1384550893929286,0.014359669509429263,1.5346938775510204,0.6515957446808511
-3.138180403853265,0.014330731834305515,-1.2049740506698683,0.9999657601785991,-1.2049740628950583,0.9999659274241117,-3.1383053623275083,0.01432472105786299,1.536734693877551,0.650730411686587
-3.138082817641443,0.01429616121033657,-1.2588533446670072,0.9999648652685336,-1.2588533668241668,0.9999650337408993,-3.1381600944388324,0.014290008208727724,1.5387755102040817,0.649867374005305
-3.137990884701325,0.014261736658435489,-1.312587893916424,0.9999640343259301,-1.3125879260644908,0.9999642029222362,-3.1380197275211574,0.014255519196441831,1.5408163265306123,0.6490066225165563
-3.137904362298219,0.014227448588385445,-1.3661782901725834,0.9999632713222608,-1.36617833225058,0.9999634389495315,-3.137884626912903,0.014221244094851902,1.542857142857143,0.6481481481481481
-3.137822938136375,0.01419328800821027,-1.4196251222187288,0.9999625804154499,-1.4196251740475025,0.9999627460023048,-3.1377550807879007,0.014187172624833924,1.5448979591836736,0.6472919418758256
