wavelengths,s11a,s12a,s13a,s21a,s22a,s23a,s31a,s32a,s33a,s11m,s12m,s13m,s21m,s22m,s23m,s31m,s32m,s33m
1.476695437731196,36.735141923615316,33.885209478467615,33.88516261103703,33.88510927115049,42.61131082719171,39.46646311370598,33.885080284167486,39.466461897857485,42.610663381835124,0.004259826867295775,0.7570219423494814,0.7570679991222434,0.7568569155835007,0.1356969936872599,0.13227126391353403,0.7568935851103936,0.13226925034110093,0.13576201336646343
1.4757855822550832,36.979877118236445,34.16172965086107,34.16168726152676,34.161661878019366,42.947410009033796,39.800402023089056,34.16163553797521,39.800405929578254,42.94669324884973,0.004268220630598463,0.7566946337407285,0.7567373139824813,0.7565124739471667,0.13612213260015343,0.1320990470242562,0.7565420620618181,0.13209724290539174,0.1362115271531428
1.4748768472906406,37.21750549887328,34.43824894157454,34.438209638699384,34.43820194986775,43.28301159492074,40.13427674071157,34.43817555900374,40.13428435326643,43.28224317972789,0.004234753390931253,0.7563598780379923,0.7563983882852748,0.7561520067526943,0.13659232842201544,0.13192479423366718,0.7561742866843164,0.1319234433625078,0.1366993189306044
1.473969230769231,37.450517809071805,34.714767969201816,34.71473008368351,34.71472728734868,43.61800375361542,40.46812247322553,34.71469815018246,40.46813199648934,43.61721165231922,0.004165095547940019,0.7560137916419084,0.7560476418848222,0.7557751696910706,0.1370868932754764,0.1317538360701968,0.7557904629426321,0.1317531181641096,0.13720431257525365
1.4730627306273065,37.68217345042802,34.991285155955055,34.9912468568897,34.99123533761436,43.95231788009101,40.8019700665453,34.991200951932754,40.801979550144594,43.951538905991285,0.004066538494269481,0.7556522310368096,0.7556812897693906,0.755381806332142,0.1375806126360789,0.13159147678701608,0.7553909623680816,0.13159148652056457,0.13770144789618088
1.472157344806392,37.916701137788635,35.267796705757675,35.26775613607482,35.2677232074,44.28593608803013,41.13584409920437,35.267681441719446,41.13585167270894,44.2852135366006,0.00394685595396806,0.755271423220164,0.7552959475676274,0.7549720569107525,0.13804584379903936,0.13144272507720225,0.754976395823406,0.13144346193705447,0.13816373367328383
1.4712530712530711,38.1594105414486,35.54429688092381,35.54425230389375,35.544187738701126,44.61889393328716,41.469761755587776,35.544136983985254,41.46976584560447,44.61827459420039,0.0038136341800721384,0.7548685474472963,0.7548891839197379,0.7545464668860891,0.13845488041922704,0.1313120023038015,0.7545476891880666,0.13131337239041585,0.13856453265852567
1.4703499079189688,38.416648924285866,35.82077852147906,35.82072846696615,35.82062564218779,44.951278415376756,41.80373253190633,35.820564927440756,41.80373203526891,44.95080924700414,0.003674610152550528,0.7544421941531392,0.7544599474118499,0.7541060732354736,0.13878235013704396,0.13120284679654282,0.7541061431610271,0.13120467633924063,0.1388798551626197
1.4694478527607364,38.695500526006036,36.09723372475917,36.09717712261335,36.09703367005392,45.283221740741496,42.1377587411763,36.09696273392687,42.13775313440575,45.28294646816464,0.0035394359000631456,0.7539926529046124,0.7540088224397418,0.7536524515584451,0.13900742530936772,0.13111763810454394,0.7536534620409595,0.13111969708880167,0.1390904507070446
1.4685469037400367,39.00298332571886,36.373654593732375,36.37359088123995,36.37340880223097,45.61489158647928,42.471836706911695,36.37332811581454,42.471826080969265,45.61484743447284,0.003422830102760688,0.7535220098163713,0.7535380975302087,0.7531877164265495,0.13911565902686093,0.13105736789302677,0.7531917451325173,0.131059400962076,0.1391835181956008
1.4676470588235297,39.34425265034574,36.650033968089645,36.64996315939034,36.64974841974291,45.946478702918014,42.805958474024166,36.649659159065514,42.80594349352729,45.94669342535041,0.0033480815220441416,0.7530340603029269,0.7530516553717874,0.7527144779959545,0.139100301137966,0.13102148345709833,0.7527234443585857,0.1310232442929882,0.13915389615248897
1.4667483159828538,39.7194319256054,36.92636606734492,36.92628877543778,36.926050445911734,46.27818270230612,43.14011382291542,36.925954416098975,43.14009561884371,46.278672035228844,0.003348181264714645,0.7525340617715736,0.7525547123292808,0.7522357664652543,0.13896299485552507,0.13100782533503055,0.7522512995390932,0.13100911018614148,0.13900463935234655
1.4658506731946146,40.120295278316306,37.202646994158094,37.202564400516046,37.202313447476904,46.61019687174811,43.47429235093558,37.202212963821154,43.47427236389533,46.61096252639284,0.0034605395885477105,0.752028361977609,0.7520534455330666,0.751754940064629,0.13871379973865255,0.13101267275406914,0.7517782662296624,0.13101334876064025,0.13874693301304888
1.4649541284403667,40.5307480310299,37.47887506420468,37.478788836660556,37.478536699505895,46.9426928780643,43.80848538518797,37.47843443362742,43.808465181381045,46.94372119959442,0.0037141191275092455,0.751523943641913,0.7515545491595449,0.7512755909912648,0.1383705306591738,0.13103090078926033,0.7513074491296788,0.13103092531031832,0.13839933988737285
1.4640586797066013,40.933439715961484,37.75505094402369,37.754963109689555,37.75472022634328,47.27580632482796,44.14268751205953,37.75461902799647,44.14266859569418,47.27706776175523,0.004116270569617795,0.7510279271535,0.7510647610236868,0.7508014579160637,0.137957446249705,0.13105624265786273,0.7508420477659685,0.13105567088810144,0.1379864202645935
1.4631643249847281,41.31727271111255,38.03117759080169,38.03109037633646,38.03086483310282,47.60962426044736,44.47689755058286,38.03076753983086,44.47688119473715,47.61107380033971,0.004649562538251469,0.7505470731969986,0.750590398849742,0.7503363456804151,0.13750336636251656,0.13108164098288852,0.7503853127706083,0.13108062064978435,0.13753681161931017
1.4622710622710622,41.67926498323936,38.30726000021945,38.307175655766585,38.30697213782469,47.94417586148887,44.81111885605313,38.30688138547747,44.8111059697226,47.94575457050806,0.0052787786377261935,0.7500873271721047,0.7501369441421519,0.7498840455600145,0.13703934701559833,0.13109966426800307,0.749940503605447,0.13109841792570073,0.1370809034937351
1.461378889566809,42.02170017030587,38.58330478272784,38.583225407544006,38.58304460509172,48.27942753537226,45.14535891266417,38.58296265213472,45.14534995599055,48.28106527515936,0.005960047962521013,0.749653446787612,0.7497087102444209,0.7494482456779785,0.136596090917401,0.13110295981958223,0.7495108347404567,0.1311017569655726,0.1366482912027663
1.4604878048780487,42.349016974709414,38.859319521998586,38.859246908001346,38.859084721079576,48.615293572312375,45.47962950016314,38.859013299595546,45.47962446892444,48.61691285230934,0.006647111761850769,0.7492485059695941,0.7493083830325258,0.7490396184684971,0.13619937160925819,0.1310829897073527,0.7491065922703344,0.13108211289390978,0.1362632915018861
