wavelengths,s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m
1.5999999999999999,0.5419526094854806,0.581262228247252,0.581261068635186,0.474866435162507,3.163765142391863e-05,0.9999864164058734,0.9999953973952532,3.1204572402441385e-05
1.5989319092122831,0.29857355276288383,0.6200399711098336,0.6200388866136893,0.23365152560041513,3.50825637715954e-05,0.9999869238359154,0.9999958131810445,3.5161682990491865e-05
1.5978652434956637,0.1138970345464449,0.6588146613681595,0.6588136480931258,0.05617487825275149,4.055786122455673e-05,0.9999874632061734,0.9999962491261739,4.106596469706852e-05
1.5968000000000002,-0.016374518489483413,0.6975862898816044,0.6975853432319858,-0.06645959761945518,4.738279295071284e-05,0.9999880324084766,0.9999967034902387,4.8221450842981225e-05
1.5957361758827449,-0.10556984585311215,0.7363548475266797,0.7363539622330051,-0.14924376396774164,5.5056634905852525e-05,0.9999886291446118,0.9999971744025915,5.614734522569276e-05
1.5946737683089214,-0.16572338619496907,0.7751203251803888,0.7751194953311672,-0.2043889904788001,6.32557524284807e-05,0.9999892509431163,0.9999976598766355,6.454213465477068e-05
1.593612774451098,-0.20549821475818536,0.8138827137049317,0.8138819327828274,-0.24031773688197652,7.177409232993773e-05,0.9999898951772995,0.9999981578249597,7.321597318819982e-05
1.5925531914893618,-0.2307539723979182,0.8526420039343054,0.8526412648564741,-0.262610525303158,8.04758716755309e-05,0.9999905590843032,0.9999986660751577,8.2043785751139e-05
1.591495016611296,-0.24542484348255372,0.8913981866623857,0.8913974818246851,-0.2749752837410248,8.9266739614745e-05,0.9999912397850542,0.9999991823861866,9.09381492416495e-05
1.5904382470119522,-0.2521865742183112,0.9301512526330972,0.9301505739578566,-0.2799206591577582,9.80772918112951e-05,0.9999919343049788,0.9999997044651812,9.98341741282836e-05
1.589382879893829,-0.2528957328658912,0.9689011925322017,0.9689005315192094,-0.2791829385914196,0.00010685366850282001,0.9999926395952843,1.0000002299845494,0.00010868099258676396
1.5883289124668436,-0.24886863264561773,1.0076479969811727,1.0076473447615204,-0.2739919521473562,0.0001155520878753448,0.9999933525546623,1.0000007565992406,0.00011743684322864509
1.5872763419483102,-0.24105830621611649,1.0463916565329634,1.0463910039253683,-0.26523799785696667,0.00012413558386668318,0.99999407005129,1.0000012819640722,0.00012606614905386705
1.5862251655629138,-0.2301682687506632,1.0851321616695444,1.0851314992387449,-0.2535784945920797,0.00013257200722929872,0.9999947889448483,1.0000018037509162,0.00013453773110212966
1.5851753805426867,-0.2167269996772167,1.1238695028015928,1.1238688209184147,-0.2395075673295075,0.0001408327707029415,0.9999955061085078,1.0000023196656773,0.0001428236891038519
1.5841269841269838,-0.20113768736239973,1.1626036702699212,1.1626029591725866,-0.2234024334011495,0.000148892044973948,0.9999962184506892,1.00000282746494,0.00015089868564894528
1.5830799735624588,-0.18371211635821846,1.2013346543489258,1.2013339042051803,-0.20555497224730696,0.0001567262351219103,0.9999969229363618,1.0000033249720766,0.00015873948130582828
1.5820343461030382,-0.16469419254052295,1.2400624452516247,1.2400616462212466,-0.18619363415444987,0.00016431363602994174,0.9999976166078348,1.000003810092804,0.0001663246298705931
1.5809900990099008,-0.14427656575974335,1.2787870331367113,1.278786175433976,-0.16549892106004283,0.00017163420458312715,0.9999982966048026,1.0000042808299963,0.0001736342781286502
1.5799472295514514,-0.1226125678539054,1.3175084081170538,1.3175074820727166,-0.14361450692263894,0.00017866940959733305,0.9999989601835299,1.0000047352976642,0.00018065003519663752
1.5789057350032958,-0.09982491457918528,1.3562265602700359,1.356225556392414,-0.12065534608213592,0.00018540213449398288,0.9999996047350563,1.0000051717340286,0.00018735488908499896
1.5778656126482213,-0.07601213447720097,1.3949414796490702,1.3949403886838065,-0.09671366529342501,0.00019181661627766156,1.0000002278022617,1.0000055885135637,0.00019373315575613767
1.5768268597761685,-0.051253375833833555,1.4336531562968253,1.4336519692849305,-0.0718634448251875,0.00019789840984574,1.0000008270956466,1.000005984157895,0.00019977045084900713
1.5757894736842104,-0.025612038774027464,1.472361580259446,1.4723602885932319,-0.04616380417187691,0.0002036343702059679,1.0000014005078144,1.0000063573455693,0.00020545367740478065
1.5747534516765287,0.0008614552647081365,1.5110667416020593,1.5110653370785911,-0.019661582649449803,0.00020901264743062122,1.0000019461264342,1.000006706920529,0.00021077102497025924
1.573718791064389,0.028127536332789048,1.5497686304252876,1.549767105297009,0.007606680288191039,0.00021402269077142608,1.0000024622456904,1.0000070318992873,0.00021571197686429835
1.5726854891661195,0.05615584281621547,1.5884672368824284,1.5884655839046267,0.03561321790421988,0.00021865525940218224,1.00000294737609,1.0000073314767504,0.0002202673233402012
1.5716535433070866,0.08492394780216035,1.6271625511976011,1.6271607636724137,0.06433785574885571,0.0002229024379629744,1.0000034002525864,1.0000076050306381,0.00022442917902189242
1.570622950819672,0.11441637092023671,1.6658545636841922,1.665852635500882,0.0937670998623675,0.00022675765562917252,1.0000038198409698,1.0000078521244908,0.00022819100347374528
1.5695937090432504,0.14462381317596912,1.7045432647639471,1.7045411904351961,0.12389343559480863,0.00023021570781560927,1.0000042053424831,1.0000080725092388,0.00023154762413473597
1.568565815324165,0.17554256797981893,1.7432286449860148,1.7432264196800238,0.15471479366572308,0.00023327277981187802,1.0000045561966466,1.000008266123339,0.00023449526100247515
1.567539267015707,0.2071740730939606,1.7819106950463461,1.7819083146145602,0.18623415085236958,0.00023592647195298588,1.0000048720822743,1.0000084330914727,0.00023703155274843935
