s11a,s11m,s31a,s31m,s41a,s41m,s21a,s21m,s22m,s22a,s33m,s33a,s44m,s44a,s12m,s12a,s34m,s34a,s43m,s43a,s13m,s13a,s24m,s24a,s42m,s42a,s14m,s14a,s23m,s23a,s32m,s32a,wavelengths,freqs
1.1048931507766158,0.036718032231545905,-1.5367513031831443,0.3899465230508341,-2.6021358528608514,0.024869414197835202,-2.6021840008211456,0.032239114034135645,0.036718032231545905,1.1048931507766158,0.036718032231545905,1.1048931507766158,0.036718032231545905,1.1048931507766158,0.032239114034135645,-2.6021840008211456,0.032239114034135645,-2.6021840008211456,0.032239114034135645,-2.6021840008211456,0.3899465230508341,-1.5367513031831443,0.3899465230508341,-1.5367513031831443,0.3899465230508341,-1.5367513031831443,0.024869414197835202,-2.6021358528608514,0.024869414197835202,-2.6021358528608514,0.024869414197835202,-2.6021358528608514,1.5,0.6666666666666666
0.36565695299354556,0.030611128961224723,-1.7002576957392321,0.3849828653524284,-2.8180947953338853,0.02496402739895441,-2.81815094703114,0.032332835487624174,0.030611128961224723,0.36565695299354556,0.030611128961224723,0.36565695299354556,0.030611128961224723,0.36565695299354556,0.032332835487624174,-2.81815094703114,0.032332835487624174,-2.81815094703114,0.032332835487624174,-2.81815094703114,0.3849828653524284,-1.7002576957392321,0.3849828653524284,-1.7002576957392321,0.3849828653524284,-1.7002576957392321,0.02496402739895441,-2.8180947953338853,0.02496402739895441,-2.8180947953338853,0.02496402739895441,-2.8180947953338853,1.5020408163265306,0.6657608695652174
-0.4307405569203523,0.03529097249597273,-1.8608077499526288,0.3804784926731623,-3.037646925625506,0.025029124228357694,-3.037712196901195,0.03238843974495232,0.03529097249597273,-0.4307405569203523,0.03529097249597273,-0.4307405569203523,0.03529097249597273,-0.4307405569203523,0.03238843974495232,-3.037712196901195,0.03238843974495232,-3.037712196901195,0.03238843974495232,-3.037712196901195,0.3804784926731623,-1.8608077499526288,0.3804784926731623,-1.8608077499526288,0.3804784926731623,-1.8608077499526288,0.025029124228357694,-3.037646925625506,0.025029124228357694,-3.037646925625506,0.025029124228357694,-3.037646925625506,1.5040816326530613,0.6648575305291723
-1.0064820752340071,0.04842312124201671,-2.0192714984408084,0.37657263049261663,-3.2608833748400703,0.024960156757494054,-3.2609613651135674,0.03227082597320672,0.04842312124201671,-1.0064820752340071,0.04842312124201671,-1.0064820752340071,0.04842312124201671,-1.0064820752340071,0.03227082597320672,-3.2609613651135674,0.03227082597320672,-3.2609613651135674,0.03227082597320672,-3.2609613651135674,0.37657263049261663,-2.0192714984408084,0.37657263049261663,-2.0192714984408084,0.37657263049261663,-2.0192714984408084,0.024960156757494054,-3.2608833748400703,0.024960156757494054,-3.2608833748400703,0.024960156757494054,-3.2608833748400703,1.506122448979592,0.6639566395663956
-1.410703938839546,0.06494959214031934,-2.1765484844705942,0.37321261184646304,-3.484953634177793,0.024657623166176444,-3.485049078417712,0.03185185180179686,0.06494959214031934,-1.410703938839546,0.06494959214031934,-1.410703938839546,0.06494959214031934,-1.410703938839546,0.03185185180179686,-3.485049078417712,0.03185185180179686,-3.485049078417712,0.03185185180179686,-3.485049078417712,0.37321261184646304,-2.1765484844705942,0.37321261184646304,-2.1765484844705942,0.37321261184646304,-2.1765484844705942,0.024657623166176444,-3.484953634177793,0.024657623166176444,-3.484953634177793,0.024657623166176444,-3.484953634177793,1.5081632653061225,0.6630581867388362
-1.7306699215480932,0.08229133328736477,-2.3332167659459233,0.3701635557951141,-3.704109367950359,0.024081302616670963,-3.7042272576037534,0.031080297185116495,0.08229133328736477,-1.7306699215480932,0.08229133328736477,-1.7306699215480932,0.08229133328736477,-1.7306699215480932,0.031080297185116495,-3.7042272576037534,0.031080297185116495,-3.7042272576037534,0.031080297185116495,-3.7042272576037534,0.3701635557951141,-2.3332167659459233,0.3701635557951141,-2.3332167659459233,0.3701635557951141,-2.3332167659459233,0.024081302616670963,-3.704109367950359,0.024081302616670963,-3.704109367950359,0.024081302616670963,-3.704109367950359,1.510204081632653,0.6621621621621622
-2.0088947188907453,0.09926327258056541,-2.489203285000222,0.36712906691983327,-3.9110678531986762,0.023297988006177845,-3.9112107034142554,0.030043100669977448,0.09926327258056541,-2.0088947188907453,0.09926327258056541,-2.0088947188907453,0.09926327258056541,-2.0088947188907453,0.030043100669977448,-3.9112107034142554,0.030043100669977448,-3.9112107034142554,0.030043100669977448,-3.9112107034142554,0.36712906691983327,-2.489203285000222,0.36712906691983327,-2.489203285000222,0.36712906691983327,-2.489203285000222,0.023297988006177845,-3.9110678531986762,0.023297988006177845,-3.9110678531986762,0.023297988006177845,-3.9110678531986762,1.5122448979591836,0.6612685560053981
-2.265326601110471,0.11520729381810094,-2.6437206567283242,0.3639619085104683,-4.0999050087698095,0.02249114501481968,-4.1000701415643785,0.028977291866146993,0.11520729381810094,-2.265326601110471,0.11520729381810094,-2.265326601110471,0.11520729381810094,-2.265326601110471,0.028977291866146993,-4.1000701415643785,0.028977291866146993,-4.1000701415643785,0.028977291866146993,-4.1000701415643785,0.3639619085104683,-2.6437206567283242,0.3639619085104683,-2.6437206567283242,0.3639619085104683,-2.6437206567283242,0.02249114501481968,-4.0999050087698095,0.02249114501481968,-4.0999050087698095,0.02249114501481968,-4.0999050087698095,1.5142857142857142,0.6603773584905661
-2.510742522730351,0.12971252288559848,-2.7958108561134347,0.3608794475108778,-4.269949949571146,0.021910414363585654,-4.270128193895911,0.028204360533074326,0.12971252288559848,-2.510742522730351,0.12971252288559848,-2.510742522730351,0.12971252288559848,-2.510742522730351,0.028204360533074326,-4.270128193895911,0.028204360533074326,-4.270128193895911,0.028204360533074326,-4.270128193895911,0.3608794475108778,-2.7958108561134347,0.3608794475108778,-2.7958108561134347,0.3608794475108778,-2.7958108561134347,0.021910414363585654,-4.269949949571146,0.021910414363585654,-4.269949949571146,0.021910414363585654,-4.269949949571146,1.5163265306122449,0.6594885598923285
-2.75249808555787,0.14242006395260573,-2.945414802860603,0.35836671704132866,-4.428325661203577,0.021774467601725946,-4.428502830760003,0.028004981336108136,0.14242006395260573,-2.75249808555787,0.14242006395260573,-2.75249808555787,0.14242006395260573,-2.75249808555787,0.028004981336108136,-4.428502830760003,0.028004981336108136,-4.428502830760003,0.028004981336108136,-4.428502830760003,0.35836671704132866,-2.945414802860603,0.35836671704132866,-2.945414802860603,0.35836671704132866,-2.945414802860603,0.021774467601725946,-4.428325661203577,0.021774467601725946,-4.428325661203577,0.021774467601725946,-4.428325661203577,1.5183673469387755,0.6586021505376344
