s11a,s11m,s21a,s21m,wavelengths,s12a,s12m,s22a,s22m
0.8870553445493753,0.001999607568922946,1.0773193441638613,0.9989344038063931,1.5,1.0784676135384557,0.9857485392014369,2.3874583770099242,0.004547710732431153
0.7977571103865456,0.0020023299270774697,1.032090095140059,0.9989340715963639,1.5020408163265306,1.0325820980043927,0.9862628484886541,2.405535703606255,0.004218682507335049
0.7089460181314869,0.002005233702605895,0.9869843009466819,0.9989340952940037,1.5040816326530613,0.9868718612705575,0.9868412459552344,2.4262518254468537,0.003870573290749409
0.619335149059289,0.0020065716087793186,0.9419940719281981,0.9989342206479869,1.506122448979592,0.9413368005611945,0.9874773704531731,2.450489878524077,0.0035039678605561907
0.5305955331935412,0.00200878985875718,0.8971269666714741,0.9989339817629105,1.5081632653061225,0.8959982241872251,0.9881595162320717,2.4770627709583333,0.0031269286451282873
0.442658867073576,0.0020111951565156957,0.8523785404683787,0.9989337869121128,1.510204081632653,0.8508555416174847,0.9888810300171037,2.5090037575775916,0.0027433234592689655
0.3535338790181973,0.00201340008420277,0.8077509867324031,0.9989335519242696,1.5122448979591836,0.8059177854561267,0.9896292284835598,2.5476706615013707,0.002349209574911979
0.26595004900610264,0.0020148578609386334,0.7632384324223299,0.9989338412134524,1.5142857142857142,0.7611704951063385,0.9903976634653289,2.593929334995677,0.0019601128751279492
0.1777420251535624,0.0020162231884199183,0.7188465629180412,0.9989354316175773,1.5163265306122449,0.7166400033942909,0.9911669325501922,2.6572057760691536,0.001577566200888286
0.08989888475923827,0.002016955227793223,0.674572332505158,0.9989350915857163,1.5183673469387755,0.6723020632106862,0.991930725711855,2.749495415115122,0.0012074494768431767
0.0026219332315284977,0.002018297702120918,0.6304161587864999,0.9989363163650599,1.5204081632653061,0.6281684358259987,0.9926680542301468,2.9017589189926762,0.0008603273767523192
-0.08430667336668447,0.0020191146661860575,0.5863763996422066,0.9989363225298795,1.5224489795918368,0.5842223865035431,0.9933815664132988,3.2034283380669124,0.0005609533938530967
-0.17167760595415457,0.00202022341581608,0.5424506606807749,0.998936825481436,1.5244897959183674,0.5404509153105916,0.9940537744324044,3.8638963662762182,0.0003859729757963991
-0.25909563161653787,0.0020202937986533377,0.49864127692906357,0.9989382423885993,1.5265306122448983,0.4968672306526733,0.9946820845912271,4.641317959520849,0.0004634909885572046
-0.34584229203732375,0.002021291144899223,0.45495038137222793,0.9989389021186266,1.5285714285714287,0.45343826538710746,0.9952626854106169,5.029897616305295,0.0006760769190035388
-0.4325140373310813,0.002021209576446336,0.4113709837393141,0.9989397199883875,1.530612244897959,0.4101649021831676,0.9957888574068539,5.211954968572533,0.000920454271148901
-0.519274349415975,0.0020216783483645207,0.36790950069187534,0.9989409985224666,1.5326530612244897,0.3670403847373605,0.9962537787741736,5.312503568647093,0.0011555481619219717
-0.6059800957048711,0.0020221104149842854,0.32455812164495274,0.9989420771593722,1.5346938775510204,0.32405203338405986,0.9966708424369406,5.376509163645496,0.0013721903892094669
-0.6927653747166839,0.0020227067558149636,0.28132533230340334,0.998943584641371,1.536734693877551,0.28119154874466434,0.9970317149243453,5.418843478652924,0.0015699217233760862
