s22a,s22m,s21a,s21m,s23a,s23m,s24a,s24m,s12a,s12m,s11a,s11m,s13a,s13m,s14a,s14m,s32a,s32m,s31a,s31m,s33a,s33m,s34a,s34m,s42a,s42m,s41a,s41m,s43a,s43m,s44a,s44m,wavelengths,freqs
-2.0878908193924874,0.029103136949087248,-2.3420615416182593,0.004492892624148816,0.5197746033176119,0.9561283757109967,-3.0953169616662897,0.22354627977542513,-2.363590375773596,0.005857354286028759,-3.125507794920889,0.03465180200942936,-3.116477320941594,0.22323710224329713,2.6900033546045727,0.9742477516306038,0.519789309331563,0.9558197294074151,-3.0957231498129523,0.17177526312586847,-2.2925444919063387,0.023861332269458888,-2.4250446565050523,0.004122731622720739,-3.1160887825255763,0.29038500721716964,2.6900061109855864,0.9742589125976964,-2.4483640680865575,0.005351720680486072,-3.126943721055875,0.034743778754751674,1.5,0.6666666666666666
-2.5593427123714245,0.04076112189581905,-3.045688414537334,0.004923991959147309,0.08157458807544585,0.956066582596854,-3.462095642930456,0.22477298488751804,-3.0642306167744726,0.006400808258152492,-3.1374307427659693,0.034823377894759616,-3.483091430840053,0.22459170960466923,2.3946933038693197,0.9739046692229659,0.081585101711498,0.9558647226649654,-3.4624155405667034,0.17287510420911,-2.6275956137188867,0.03347831920210502,-3.0780919448919923,0.004597201991780258,-3.482786234696551,0.2919106672983754,2.3946942290278175,0.9739123885562461,-3.1001476757603297,0.005969636780783818,-3.1376822308308854,0.03491027947115705,1.5020408163265306,0.6657608695652174
-3.010494669163862,0.04575454589277774,-3.7423779608028065,0.005317796477218424,-0.3554675416326489,0.9561845066312475,-3.827949232671866,0.22603797306997836,-3.7607396524901175,0.006890354317500037,-3.153329925641367,0.03470376412220742,-3.849303922087983,0.22595393312974052,2.1002705670224997,0.973573964455096,-0.3555589927464819,0.9560590261219548,-3.828265886799535,0.17400314970996092,-2.98658112792024,0.03793464629142555,-3.7318520744612567,0.0050457065052898755,-3.8490938084197843,0.2934405900769961,2.1002725009379017,0.9735761945820457,-3.7534926159768536,0.006553689227467004,-3.153582352693074,0.034849173327307977,1.5040816326530613,0.6648575305291723
-3.4730936729282225,0.04278274337312815,-4.432790815011441,0.005644633550160066,-0.7915113329023363,0.956447985808579,-4.1930217619998995,0.22733359342354456,-4.453230645600317,0.007291431417008209,-3.1673035648713053,0.03423551150703829,-4.214994515078573,0.2272336988825184,1.8067158025598133,0.9732767035931309,-0.7917354258053358,0.956308418338,-4.193354910419677,0.17514361635913311,-3.3627214209605087,0.036036354802786004,-4.384721222947685,0.005444047034940103,-4.214889762485395,0.2948559746376803,1.8067227436442175,0.9732742631117667,-4.406683594238956,0.007067389668173653,-3.1701125015140543,0.034439583175708416,1.506122448979592,0.6639566395663956
-3.9878663979657922,0.03217662992012009,-5.119239307997493,0.005876365506404951,-1.2266831909765161,0.9566797439297446,-4.557426554444576,0.22861866557624314,-5.142802456855629,0.007572709745829801,-3.1728546663535138,0.033509914979112425,-4.57981134227893,0.22837479106610403,1.5139984437434433,0.9730204139237025,-1.2269823315619697,0.9564542297772457,-4.55771319589985,0.17626871929772087,-3.7623463675762343,0.02764844685441126,-5.037197857413656,0.005767555913665012,-4.579816197365517,0.2960827729527378,1.514012967498006,0.9730171728519758,-5.0596732055734694,0.007476183255529564,-3.1804223165251098,0.03368635315710546,1.5081632653061225,0.6630581867388362
-4.752138931598404,0.016684838909762634,-5.80477361587472,0.005993250555754042,-1.660936608266071,0.9566199422145015,-4.92110752882385,0.22983083616397423,-5.83116538276283,0.007714211263157637,-3.165681855911074,0.03275797936304808,-4.9433227638412305,0.2293844993497616,1.222088187746496,0.9727942929695409,-1.6612214656815159,0.9563177560394277,-4.921260000256546,0.1773457715960642,-4.246058874505161,0.013842910507653771,-5.690777908292543,0.005995442813037664,-4.9434342303861545,0.29713058609786336,1.2221093191100814,0.9727954375970103,-5.713370992094988,0.007754971379238086,-3.177689766759336,0.03276542035898765,1.510204081632653,0.6621621621621622
-6.716526807305552,0.012884677463919527,-6.492381019348436,0.005988955887281111,-2.0940098581984063,0.9560922739193998,-5.283793349497644,0.2309256003454617,-6.520281261243872,0.007711459383820705,-3.1467430767739493,0.032267300262066416,-5.305223320016317,0.23033326214989636,0.9309676246556465,0.9725732254911517,-2.0942470682246674,0.9557934520652939,-5.283789879358259,0.17835369350287364,-6.917773324198383,0.0049370928169066635,-6.347055373686314,0.006115193769147781,-5.305432780538947,0.29809141709598125,0.9309905376476438,0.9725823593542056,-6.369093413151451,0.007892784155396033,-3.1589441587396423,0.031996340851677074,1.5122448979591836,0.6612685560053981
-7.7106200105621205,0.030283226259690762,-7.184430322149842,0.005872042681142866,-2.5255461268470416,0.9551590541375068,-5.645114997609374,0.231914749771699,-7.212020005661696,0.007574574676763068,-3.1233647169948537,0.032239086218433154,-5.6654860944230165,0.23132109756820515,0.6406391757987542,0.9723294761726184,-2.525799615171266,0.9549369649502151,-5.645041273022404,0.17929958522251951,-7.797209631604142,0.022533721088356516,-7.007132198684288,0.006125296901202144,-5.665780677291966,0.2990951060629704,0.6406571860523869,0.9723461794133166,-7.028107634042288,0.007893129455582577,-3.128978138928037,0.031711332024649506,1.5142857142857142,0.6603773584905661
-8.242984983062511,0.04679059419790126,-7.8823214923171685,0.005662503533115623,-2.955313742375529,0.9541358679747487,-6.004824647037577,0.23287171704014772,-7.907824608039973,0.007322936857689938,-3.1059057311300995,0.03266541914704399,-6.024371219197361,0.23242739683077196,0.3511220108314597,0.9720462354900083,-2.9557021250611046,0.9539782485412576,-6.004826529988482,0.18022261698805048,-8.222916936130673,0.03879351409613874,-7.6712961118927705,0.006034540970675978,-6.024732635422568,0.3002440999197447,0.3511299145978755,0.972065619696913,-7.69120561571344,0.007770022455005035,-3.100022507357864,0.032060928859497656,1.5163265306122449,0.6594885598923285
-8.683586541657405,0.05733527914138858,-8.586293900506993,0.005383778481015459,-3.38337546208533,0.9534344968245575,-6.362961928063451,0.2338951645207946,-8.608451167093877,0.006977375378218362,-3.1017137428381125,0.033325865915555676,-6.3822791235034515,0.2336725432909754,0.062440119694789256,0.9717255919130063,-3.383978569560845,0.9532272404685505,-6.363147393358469,0.18117854021906765,-8.603400588380355,0.05055722813996375,-8.338900241916845,0.0058573308099231745,-6.382680654052888,0.30156475470471733,0.06243704136582714,0.9717402412680004,-8.358324223668347,0.007541015040050303,-3.0848552205177024,0.032899847863288215,1.5183673469387755,0.6586021505376344
