s11a,s11m,s21a,s21m,s22m,s22a,s12m,s12a,wavelengths,freqs
-3.005200091331946,0.03025673762155512,-2.704879661920438,1.000203942106799,0.03025673762155512,-3.005200091331946,1.000203942106799,-2.704879661920438,1.5,0.6666666666666666
-2.999019007821069,0.030489712920101945,-2.7395707570023484,1.0001933595139219,0.030489712920101945,-2.999019007821069,1.0001933595139219,-2.7395707570023484,1.5020408163265306,0.6657608695652174
-2.9937238090086242,0.030735460871046318,-2.7741614045003873,1.0001823687152112,0.030735460871046318,-2.9937238090086242,1.0001823687152112,-2.7741614045003873,1.5040816326530613,0.6648575305291723
-2.98932065043567,0.03099180201084052,-2.808652025824224,1.000171033408006,0.03099180201084052,-2.98932065043567,1.000171033408006,-2.808652025824224,1.506122448979592,0.6639566395663956
-2.9858085157226575,0.03125658363785714,-2.8430430443730597,1.0001594182609594,0.03125658363785714,-2.9858085157226575,1.0001594182609594,-2.8430430443730597,1.5081632653061225,0.6630581867388362
-2.983180039965261,0.03152769325145906,-2.8773348857228167,1.0001475877423462,0.03152769325145906,-2.983180039965261,1.0001475877423462,-2.8773348857228167,1.510204081632653,0.6621621621621622
-2.9814223229553596,0.0318030698710546,-2.9115279773757288,1.000135606692702,0.0318030698710546,-2.9814223229553596,1.000135606692702,-2.9115279773757288,1.5122448979591836,0.6612685560053981
-2.980517711022012,0.03208071341061794,-2.945622748792175,1.0001235396231354,0.03208071341061794,-2.980517711022012,1.0001235396231354,-2.945622748792175,1.5142857142857142,0.6603773584905661
-2.9804445319660955,0.032358692303990313,-2.9796196312943755,1.0001114505509898,0.032358692303990313,-2.9804445319660955,1.0001114505509898,-2.9796196312943755,1.5163265306122449,0.6594885598923285
-2.9811777726053195,0.03263514958668225,-3.013519057992613,1.0000994027594896,0.03263514958668225,-2.9811777726053195,1.0000994027594896,-3.013519057992613,1.5183673469387755,0.6586021505376344
-2.982689692799289,0.032908307642092204,-3.047321463716597,1.0000874585565431,0.032908307642092204,-2.982689692799289,1.0000874585565431,-3.047321463716597,1.5204081632653061,0.6577181208053691
-2.984950373447831,0.03317647181426494,-3.0810272849479197,1.0000756790215304,0.03317647181426494,-2.984950373447831,1.0000756790215304,-3.0810272849479197,1.5224489795918368,0.6568364611260054
-2.9879281988676007,0.0334380330759125,-3.1146369597438364,1.0000641237342882,0.0334380330759125,-2.9879281988676007,1.0000641237342882,-3.1146369597438364,1.5244897959183674,0.6559571619812583
-2.991590276125972,0.03369146992031326,-3.1481509276402613,1.0000528504861963,0.03369146992031326,-2.991590276125972,1.0000528504861963,-3.1481509276402613,1.526530612244898,0.6550802139037433
-2.995902795437274,0.033935349620623584,-3.18156962952326,1.000041914980176,0.033935349620623584,-2.995902795437274,1.000041914980176,-3.18156962952326,1.5285714285714287,0.6542056074766355
-3.0008313366122428,0.034168328972923746,-3.214893507462399,1.0000313705314428,0.034168328972923746,-3.0008313366122428,1.0000313705314428,-3.214893507462399,1.530612244897959,0.6533333333333333
-3.0063411269345983,0.034389154612700396,-3.248123004505554,1.0000212677827602,0.034389154612700396,-3.0063411269345983,1.0000212677827602,-3.248123004505554,1.5326530612244897,0.6524633821571239
-3.012397255819739,0.03459666297130598,-3.2812585644411394,1.0000116544467337,0.03459666297130598,-3.012397255819739,1.0000116544467337,-3.2812585644411394,1.5346938775510204,0.6515957446808511
-3.018964851316069,0.03478977992067426,-3.314300631538012,1.0000025750833619,0.03478977992067426,-3.018964851316069,1.0000025750833619,-3.314300631538012,1.536734693877551,0.650730411686587
-3.0260092230749396,0.03496752014235932,-3.3472496502752596,0.9999940709153726,0.03496752014235932,-3.0260092230749396,0.9999940709153726,-3.3472496502752596,1.5387755102040817,0.649867374005305
-3.033495975925399,0.03512898624968282,-3.3801060650727934,0.9999861796781403,0.03512898624968282,-3.033495975925399,0.9999861796781403,-3.3801060650727934,1.5408163265306123,0.6490066225165563
-3.0413910977308998,0.035273367688705246,-3.4128703200293686,0.9999789354969403,0.035273367688705246,-3.0413910977308998,0.9999789354969403,-3.4128703200293686,1.542857142857143,0.6481481481481481
-3.0496610247980778,0.0353999394427308,-3.4455428586699837,0.9999723687828943,0.0353999394427308,-3.0496610247980778,0.9999723687828943,-3.4455428586699837,1.5448979591836736,0.6472919418758256
-3.0582726877697035,0.03550806056413095,-3.4781241236988536,0.999966506140696,0.03550806056413095,-3.0582726877697035,0.999966506140696,-3.4781241236988536,1.5469387755102042,0.646437994722955
-3.0671935406426236,0.03559717255783192,-3.5106145567518485,0.9999613702842902,0.03559717255783192,-3.0671935406426236,0.9999613702842902,-3.5106145567518485,1.5489795918367348,0.6455862977602107
-3.076391575280819,0.03566679763542836,-3.5430145981402075,0.9999569799632322,0.03566679763542836,-3.076391575280819,0.9999569799632322,-3.5430145981402075,1.5510204081632653,0.6447368421052632
-3.085835323528528,0.035716536859463466,-3.5753246865807466,0.999953349905226,0.035716536859463466,-3.085835323528528,0.999953349905226,-3.5753246865807466,1.5530612244897959,0.6438896189224704
-3.0954938487472776,0.035746068192697905,-3.6075452589114687,0.9999504907838965,0.035746068192697905,-3.0954938487472776,0.9999504907838965,-3.6075452589114687,1.5551020408163265,0.6430446194225722
-3.1053367283023654,0.03575514446300965,-3.639676749796218,0.9999484092219821,0.03575514446300965,-3.1053367283023654,0.9999484092219821,-3.639676749796218,1.5571428571428572,0.6422018348623854
-3.115334028238831,0.03574359125698285,-3.671719591427686,0.9999471078357498,0.03574359125698285,-3.115334028238831,0.9999471078357498,-3.671719591427686,1.5591836734693878,0.6413612565445026
-3.125456271113913,0.03571130475447866,-3.70367421324064,0.9999465853225177,0.03571130475447866,-3.125456271113913,0.9999465853225177,-3.70367421324064,1.5612244897959184,0.6405228758169934
-3.1356743977260892,0.03565824951727881,-3.7355410416464707,0.9999468365885508,0.03565824951727881,-3.1356743977260892,0.9999468365885508,-3.7355410416464707,1.563265306122449,0.639686684073107
-3.145959723328802,0.03558445625237004,-3.7673204997992125,0.999947852907293,0.03558445625237004,-3.145959723328802,0.999947852907293,-3.7673204997992125,1.5653061224489797,0.6388526727509778
-3.1562838888207527,0.03549001957022114,-3.7990130073967863,0.9999496220966835,0.03549001957022114,-3.1562838888207527,0.9999496220966835,-3.7990130073967863,1.5673469387755103,0.6380208333333333
-3.1666188073927595,0.035375095764594834,-3.8306189805164577,0.9999521287024847,0.035375095764594834,-3.1666188073927595,0.9999521287024847,-3.8306189805164577,1.569387755102041,0.6371911573472041
-3.176936607126573,0.03523990063752503,-3.862138831477577,0.9999553541779639,0.03523990063752503,-3.176936607126573,0.9999553541779639,-3.862138831477577,1.5714285714285714,0.6363636363636364
-3.1872095701168863,0.035084707396645216,-3.8935729687216756,0.9999592770538799,0.035084707396645216,-3.1872095701168863,0.9999592770538799,-3.8935729687216756,1.573469387755102,0.6355382619974059
-3.197410068732958,0.03490984464558182,-3.9249217966990924,0.9999638730992201,0.03490984464558182,-3.197410068732958,0.9999638730992201,-3.9249217966990924,1.5755102040816327,0.6347150259067358
-3.207510499692235,0.034715694485759126,-3.9561857157536586,0.9999691154779128,0.034715694485759126,-3.207510499692235,0.9999691154779128,-3.9561857157536586,1.5775510204081633,0.6338939197930142
-3.217483216632425,0.03450269074266077,-3.987365122001394,0.9999749749102772,0.03450269074266077,-3.217483216632425,0.9999749749102772,-3.987365122001394,1.579591836734694,0.6330749354005167
-3.2273004618664842,0.03427131732537642,-4.01846040720497,0.9999814198485624,0.03427131732537642,-3.2273004618664842,0.9999814198485624,-4.01846040720497,1.5816326530612246,0.632258064516129
-3.2369342979873634,0.03402210672504887,-4.049471958650899,0.9999884166736148,0.03402210672504887,-3.2369342979873634,0.9999884166736148,-4.049471958650899,1.5836734693877552,0.6314432989690721
-3.2463565399818672,0.03375563865557979,-4.080400159039712,0.9999959299150964,0.03375563865557979,-3.2463565399818672,0.9999959299150964,-4.080400159039712,1.5857142857142859,0.6306306306306306
-3.255538688550027,0.033472538841268905,-4.111245386400363,1.000003922491274,0.033472538841268905,-3.255538688550027,1.000003922491274,-4.111245386400363,1.5877551020408165,0.6298200514138816
-3.264451865393634,0.03317347795306538,-4.142008014036929,1.000012355959823,0.03317347795306538,-3.264451865393634,1.000012355959823,-4.142008014036929,1.5897959183673471,0.6290115532734274
-3.273066751414236,0.0328591706998699,-4.172688410511566,1.0000211907661516,0.0328591706998699,-3.273066751414236,1.0000211907661516,-4.172688410511566,1.5918367346938775,0.6282051282051282
-3.2813535289791607,0.032530375077735284,-4.203286939660344,1.0000303864759919,0.032530375077735284,-3.2813535289791607,1.0000303864759919,-4.203286939660344,1.5938775510204082,0.6274007682458387
-3.2892818297153243,0.03218789177958509,-4.233803960633148,1.0000399019810289,0.03218789177958509,-3.2892818297153243,1.0000399019810289,-4.233803960633148,1.5959183673469388,0.6265984654731458
-3.296820689643822,0.03183256376412993,-4.264239827944224,1.0000496956718328,0.03183256376412993,-3.296820689643822,1.0000496956718328,-4.264239827944224,1.5979591836734695,0.6257982120051085
-3.3039385138431308,0.03146527597665937,-4.2945948915186385,1.0000597255796249,0.03146527597665937,-3.3039385138431308,1.0000597255796249,-4.2945948915186385,1.6,0.625
