s11a,s11m,s21a,s21m,s31a,s31m,wavelengths,s12a,s12m,s22a,s22m,s32a,s32m,s13a,s13m,s23a,s23m,s33a,s33m
-0.8225250760652532,0.010168949762290241,-2.3587796290886063,0.689921207887938,-2.3587747956471774,0.6899188011710754,1.4,-2.2905200553951564,0.6661608674522781,-1.046577930864478,0.15635949891498957,-1.9172169560083328,0.15312015794155484,-2.290487675342913,0.6661541101239864,-1.9171136417266499,0.15310079609027144,-1.0464251825010706,0.15634797329714503
-2.9521408788290717,0.008616377946935757,-4.277455619999842,0.6920236159239186,-4.277440441183902,0.6920160490401434,1.4061224489795918,-4.216104306215228,0.6683691138187146,-3.4171819697449797,0.1693293863212189,-4.2036868706531525,0.15821447838447003,-4.216055303136851,0.6683630909342592,-4.2036158531773475,0.15819569117509152,-3.417022028855934,0.1693119593137343
-5.712269942854315,0.007188975197747759,-6.180907855521121,0.6951333346816796,-6.18087826606363,0.6951266443483246,1.4122448979591835,-6.127737917823114,0.671902792119511,-5.624503951574258,0.1685072227411691,-6.517921724484173,0.15148814970239216,-6.127673306018606,0.6719016538462719,-6.51788742223831,0.1514749609384477,-5.624309609767476,0.16849133138151307
-7.910127216348317,0.007096114048833771,-8.069178958650408,0.6978497999223059,-8.069139472438476,0.6978503697125292,1.4183673469387754,-8.023857793280515,0.6753968134623901,-7.972074841581481,0.15715699545627976,-8.842044346444712,0.15786504097467313,-8.023795202865706,0.6754110722270203,-8.842026233787385,0.15786063019729674,-7.97184410021812,0.15713859529493987
-9.85816756180153,0.005044538391807664,-9.941512994280497,0.6997542535449044,-9.941471976397613,0.6997640000945329,1.4244897959183673,-9.903521822045667,0.6789580875321145,-10.221738237739501,0.17485812336148673,-11.06624154590116,0.15835722262835067,-9.90345864416936,0.6789805933557834,-11.06621641799647,0.15835875900180657,-10.221531255107683,0.17483667954134968
-12.047915143980202,0.004554134437242654,-11.797462222517874,0.7007673494346806,-11.7974266739276,0.7007846152911101,1.430612244897959,-11.76604473468834,0.6819652088397483,-12.365774336170555,0.16650216287076988,-13.364282678189436,0.15374839620436712,-11.765996006798117,0.6820006804429525,-13.364250735625404,0.1537479684228496,-12.36555916228457,0.16647815237260838
-14.248578493341977,0.003642345083912715,-13.636634057520025,0.700983640751995,-13.63660811227741,0.7010047167781068,1.436734693877551,-13.610145765743786,0.6842564866805178,-14.68334695410079,0.1610329621096202,-15.60090848203146,0.16596936401419551,-13.61010262372915,0.6842901513591474,-15.600889053474972,0.16596326698831562,-14.68315124802537,0.1610003074757277
-17.16826807483121,0.0026166639020768325,-15.45857192190194,0.7008653460848622,-15.458555664294096,0.7008857333687123,1.4428571428571428,-15.435495029732076,0.6862026849784224,-16.858713741701965,0.1775646847124158,-17.753248428374537,0.16240893583646562,-15.435461951991575,0.6862301295664721,-17.753245153871436,0.16239952292940232,-16.858536974956703,0.1775277606167941
-19.269113725973227,0.0037495825458693866,-17.263714922325335,0.7012796435038943,-17.26370477883536,0.7012960970488488,1.4489795918367345,-17.242545197110953,0.688467085842285,-18.982379250808382,0.1655945323013825,-20.012508895156728,0.1590910565360681,-17.24251715732462,0.6884890996016703,-20.012495196823146,0.15908484080657656,-18.98219256519455,0.16555794127125634
-20.79722716261042,0.0032081366495519217,-19.05365391459379,0.7024055923850827,-19.05364495027485,0.7024172819995921,1.4551020408163264,-19.033172555856524,0.6916143157840735,-21.239185031058575,0.16551194237175354,-22.16818760426949,0.17090993763819162,-19.033141292933642,0.6916282685590163,-22.16815291980328,0.17090592792523138,-21.239029845725803,0.16547510811025162
-23.00934774915554,0.001973093123186217,-20.8291072060938,0.7035735390766958,-20.82909514079878,0.7035815999933187,1.4612244897959183,-20.808920438432427,0.6949483793332774,-23.328381840926557,0.1786358341825773,-24.273786549673027,0.15943860381205965,-20.808881423762514,0.6949602545614592,-24.27374610257158,0.15943335194798416,-23.32824509715874,0.17860423822713423
-25.278399321852977,0.0021211723128890126,-22.58986822962019,0.7043553865945451,-22.58985043290019,0.7043619936413346,1.46734693877551,-22.56963447211332,0.6976965814714181,-25.40584287761276,0.16355646459422626,-26.514017470265284,0.158358197518701,-22.569590906737854,0.6977081455629248,-26.51399668397434,0.15835060808939166,-25.405696688364166,0.16352659096852554
-25.7880088854262,0.001432878082498605,-24.3357644674215,0.7048399201420513,-24.335740147402394,0.7048481411752123,1.473469387755102,-24.315123396287504,0.699943184041835,-27.606585931873283,0.1634488505739614,-28.59132966515148,0.17512122575983777,-24.315074401485315,0.6999650221118602,-28.59133784825619,0.17511493283954271,-27.606471682550957,0.16341757473417617
-26.572470668106757,0.0020146831036015693,-26.066931377210874,0.7050330488916208,-26.066903389493667,0.705046041308896,1.4795918367346939,-26.045950329409948,0.7016006610029657,-29.652539510711,0.17407827212228252,-30.645016237155094,0.16040882480076604,-26.04589556028971,0.7016250757552777,-30.645044127701716,0.16040663803216212,-29.65247054532362,0.17404831162284237
-26.522982968852897,0.0004946471438080177,-27.783416793538464,0.7049574920353683,-27.783390876811744,0.704975567424002,1.4857142857142855,-27.762067811041604,0.7024780512006376,-31.70398685313082,0.15931606595144918,-32.86846254134017,0.16035348002439026,-27.762008149173205,0.7025038723891457,-32.868495402923045,0.16035632840174455,-31.703971889174326,0.15928926522602632
-27.67553219152745,0.0005974092601645118,-29.485253842461137,0.704763135556507,-29.485232953885447,0.7047834835690717,1.4918367346938775,-29.46326958521087,0.70278694178812,-33.85875384327573,0.15968260988091365,-34.85270762311409,0.1779954282539293,-29.4632318793018,0.7028168900636622,-34.85272813278647,0.1780010631435217,-33.858789623550116,0.1596625176550856
-25.13441743555132,0.0030704235270472427,-31.17280691312593,0.7045620528124372,-31.17279005055328,0.7045827561890916,1.4979591836734694,-31.14973580081499,0.7027607759433472,-35.84743863078761,0.17039279945797853,-36.798203648828405,0.15381960860559943,-31.149694283076396,0.7027924944562292,-36.79821593119981,0.15382676604066442,-35.84747617398723,0.1703796434047062
-26.843368809459903,0.0037567124859455058,-32.8463079264353,0.7043769473492602,-32.846294810060336,0.704397716814372,1.504081632653061,-32.821575683122816,0.7025958976320467,-37.82232408043006,0.15940947739778638,-39.0314694095229,0.15246135589800325,-32.82153589298185,0.7026281462941405,-39.03144859435939,0.15246640352229046,-37.82235572249806,0.15939951674042005
-25.052558978046644,0.00034748530234228865,-34.50611068023308,0.7041563427611397,-34.506102180461134,0.7041757399345373,1.510204081632653,-34.479534397600844,0.7023636404677585,-39.89806388708064,0.15910676943769428,-40.961227003374425,0.1860551634252007,-34.479502757093286,0.7023941808443208,-40.961204567418676,0.18605689504435954,-39.89809505208323,0.15909605615623937
