wavelengths,s11a,s22a,s11m,s22m,s12a,s21a,s12m,s21m
1.2,0.9343765668584979,0.9343765668584979,0.0003642797785447738,0.0003642797785447738,-1.893832793269965,-1.893832793269965,2.8713196435217285e-18,2.8713196435217285e-18
1.2023529411764706,-1.2400774205050051,-1.2400774205050051,8.930813409848413e-05,8.930813409848413e-05,-2.5742055665902512,-2.5742055665902512,3.188855288131689e-18,3.188855288131689e-18
1.204705882352941,-1.8817613793798533,-1.8817613793798533,0.00016384646382469956,0.00016384646382469956,-3.2790581601648,-3.2790581601648,3.628327416750453e-18,3.628327416750453e-18
1.2070588235294117,-1.8840509839943615,-1.8840509839943615,0.00042088794990182365,0.00042088794990182365,-4.0097684764129085,-4.0097684764129085,4.1524822810190314e-18,4.1524822810190314e-18
1.2094117647058824,-1.4803112289625975,-1.4803112289625975,7.776559915193366e-05,7.776559915193366e-05,-4.761231691284081,-4.761231691284081,4.723508056646625e-18,4.723508056646625e-18
1.2117647058823529,-2.0944283559560435,-2.0944283559560435,0.0004044820085002201,0.0004044820085002201,-5.52604753689484,-5.52604753689484,5.306799922537204e-18,5.306799922537204e-18
1.2141176470588235,-3.1439522784390586,-3.1439522784390586,0.0006945058891070838,0.0006945058891070838,-6.295922127675868,-6.295922127675868,5.875804665329696e-18,5.875804665329696e-18
1.216470588235294,-3.084449575902945,-3.084449575902945,0.00048783838057537003,0.00048783838057537003,-7.065188313533067,-7.065188313533067,6.416255792754679e-18,6.416255792754679e-18
1.2188235294117646,-3.2523415564075533,-3.2523415564075533,0.0004766690129966348,0.0004766690129966348,-7.828625363936486,-7.828625363936486,6.93104984931588e-18,6.93104984931588e-18
1.2211764705882353,-3.0878629418098287,-3.0878629418098287,0.0001935121731509811,0.0001935121731509811,-8.583677078586362,-8.583677078586362,7.427073488153295e-18,7.427073488153295e-18
1.2235294117647058,-3.753631342837854,-3.753631342837854,0.00026538278098207457,0.00026538278098207457,-9.328996065755256,-9.328996065755256,7.93451323716016e-18,7.93451323716016e-18
1.2258823529411764,-4.492578653705056,-4.492578653705056,0.0004297530270223708,0.0004297530270223708,-10.065316000310697,-10.065316000310697,8.479935421298102e-18,8.479935421298102e-18
