s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m,wavelengths
1.6495383931478191,2.481245213735733,2.481245213735733,1.6495383931478191,0.132205518811975,0.036280440693457656,0.036280440693457656,0.132205518811975,1.4
0.9995029793683886,2.2295507496584492,2.2295507496584492,0.9995029793683886,0.12827541790584893,0.05296287972871526,0.05296287972871526,0.12827541790584893,1.402013422818792
0.35148121587228853,1.8523792770804333,1.8523792770804333,0.35148121587228853,0.1165024625050978,0.0652693799954845,0.0652693799954845,0.1165024625050978,1.4040268456375837
-0.27631467341019883,1.4649521763500424,1.4649521763500424,-0.27631467341019883,0.10018585428767236,0.07141253134153804,0.07141253134153804,0.10018585428767236,1.4060402684563758
-0.8570153835069615,1.1120497550949218,1.1120497550949218,-0.8570153835069615,0.08211656985100448,0.07225202498365274,0.07225202498365274,0.08211656985100448,1.4080536912751678
-1.3482176797285885,0.8188624007590539,0.8188624007590539,-1.3482176797285885,0.06482382701953196,0.07027373288705047,0.07027373288705047,0.06482382701953196,1.4100671140939596
-1.6943638692365164,0.590369676368285,0.590369676368285,-1.6943638692365164,0.05152773860950503,0.06883824502181257,0.06883824502181257,0.05152773860950503,1.4120805369127516
-1.8960391850895177,0.39791263060511006,0.39791263060511006,-1.8960391850895177,0.04630253286775485,0.0707087167500677,0.0707087167500677,0.04630253286775485,1.4140939597315436
-2.1037016483480095,0.19438207204379787,0.19438207204379787,-2.1037016483480095,0.05000951881979928,0.07637889147208655,0.07637889147208655,0.05000951881979928,1.4161073825503354
-2.427471816939195,-0.0450691178268139,-0.0450691178268139,-2.427471816939195,0.05792133730309036,0.08421378121435116,0.08421378121435116,0.05792133730309036,1.4181208053691274
-2.8421122701356762,-0.31527746545167695,-0.31527746545167695,-2.8421122701356762,0.06507384471546314,0.09216443305103358,0.09216443305103358,0.06507384471546314,1.4201342281879195
-3.303141887373436,-0.5998965606227236,-0.5998965606227236,-3.303141887373436,0.06888018399014119,0.09896299739308781,0.09896299739308781,0.06888018399014119,1.4221476510067113
-3.783554764589154,-0.8843289939975907,-0.8843289939975907,-3.783554764589154,0.06861173687873003,0.10435803118052181,0.10435803118052181,0.06861173687873003,1.4241610738255033
-4.268339440856051,-1.1599728436659653,-1.1599728436659653,-4.268339440856051,0.06474947755420232,0.10888313530864006,0.10888313530864006,0.06474947755420232,1.4261744966442953
-4.74789809211283,-1.4250498366017361,-1.4250498366017361,-4.74789809211283,0.05850797311324373,0.11344076649527227,0.11344076649527227,0.05850797311324373,1.428187919463087
-5.214675407335577,-1.6834655220879653,-1.6834655220879653,-5.214675407335577,0.051416019685405566,0.1188351313649815,0.1188351313649815,0.051416019685405566,1.4302013422818791
-5.6626066681138845,-1.941618134930757,-1.941618134930757,-5.6626066681138845,0.044943094035836635,0.12542600943980073,0.12542600943980073,0.044943094035836635,1.4322147651006711
-6.08957240195965,-2.2046267807059614,-2.2046267807059614,-6.08957240195965,0.040202909422494146,0.1330601528071626,0.1330601528071626,0.040202909422494146,1.434228187919463
-6.500963431896296,-2.474289992706116,-2.474289992706116,-6.500963431896296,0.037757682984793206,0.14126734525408308,0.14126734525408308,0.037757682984793206,1.436241610738255
-6.9079648207071624,-2.7494424130130777,-2.7494424130130777,-6.9079648207071624,0.03755378059326852,0.1495461119171776,0.1495461119171776,0.03755378059326852,1.438255033557047
-7.318935494995737,-3.0275093960276673,-3.0275093960276673,-7.318935494995737,0.039029405477681585,0.1575725243212086,0.1575725243212086,0.039029405477681585,1.4402684563758388
-7.7340466120840485,-3.3059887621952373,-3.3059887621952373,-7.7340466120840485,0.041353665011865715,0.1652701571458796,0.1652701571458796,0.041353665011865715,1.4422818791946308
-8.148033649502178,-3.5833236078250947,-3.5833236078250947,-8.148033649502178,0.043678476124269026,0.17276074354511248,0.17276074354511248,0.043678476124269026,1.4442953020134228
-8.55483910393189,-3.859123078502641,-3.859123078502641,-8.55483910393189,0.04533152990979557,0.18024900218903403,0.18024900218903403,0.04533152990979557,1.4463087248322146
-8.950034205564831,-4.13387568860888,-4.13387568860888,-8.950034205564831,0.04593305884044265,0.18790211312553523,0.18790211312553523,0.04593305884044265,1.4483221476510066
-9.33170262263912,-4.4083975671138695,-4.4083975671138695,-9.33170262263912,0.04542582516871896,0.19577377520488654,0.19577377520488654,0.04542582516871896,1.4503355704697987
-9.701121455572967,-4.683302155853461,-4.683302155853461,-9.701121455572967,0.044014674722450076,0.20379587139862584,0.20379587139862584,0.044014674722450076,1.4523489932885905
-10.06352781090981,-4.958707878974108,-4.958707878974108,-10.06352781090981,0.042036276434105325,0.2118274938499606,0.2118274938499606,0.042036276434105325,1.4543624161073825
-10.428290703168333,-5.234240555972158,-5.234240555972158,-10.428290703168333,0.03981242327372293,0.21972858809999404,0.21972858809999404,0.03981242327372293,1.4563758389261745
-10.80756721863118,-5.509242346973524,-5.509242346973524,-10.80756721863118,0.03756023209701225,0.22742248658718422,0.22742248658718422,0.03756023209701225,1.4583892617449663
-11.213353301484982,-5.783054857495009,-5.783054857495009,-11.213353301484982,0.03540608327169392,0.23492565130009782,0.23492565130009782,0.03540608327169392,1.4604026845637583
-11.653791513958359,-6.055249198680796,-6.055249198680796,-11.653791513958359,0.03347260816750077,0.2423384207805773,0.2423384207805773,0.03347260816750077,1.4624161073825503
-12.129460915408156,-6.325741171834325,-6.325741171834325,-12.129460915408156,0.031940034952651346,0.24980720568107165,0.24980720568107165,0.031940034952651346,1.4644295302013421
-12.63059491860649,-6.594772514268243,-6.594772514268243,-12.63059491860649,0.030994968278198663,0.25747572203807695,0.25747572203807695,0.030994968278198663,1.4664429530201342
-13.138190052805582,-6.862788353508868,-6.862788353508868,-13.138190052805582,0.030683942556447776,0.2654442796885944,0.2654442796885944,0.030683942556447776,1.4684563758389262
-13.630981415507552,-7.130272107423737,-7.130272107423737,-13.630981415507552,0.030812057915973513,0.27375031221234125,0.27375031221234125,0.030812057915973513,1.470469798657718
-14.093386861430936,-7.397604681235624,-7.397604681235624,-14.093386861430936,0.031007278011536354,0.28237329017982965,0.28237329017982965,0.031007278011536354,1.47248322147651
-14.517924672191056,-7.664992392307887,-7.664992392307887,-14.517924672191056,0.030897652361586654,0.29125743575540824,0.29125743575540824,0.030897652361586654,1.474496644295302
-14.90286767892498,-7.932471498800842,-7.932471498800842,-14.90286767892498,0.030260904910229865,0.30034035089146477,0.30034035089146477,0.030260904910229865,1.4765100671140938
-15.249590944444908,-8.199967300582728,-8.199967300582728,-15.249590944444908,0.029074959824811227,0.30957620651207346,0.30957620651207346,0.029074959824811227,1.4785234899328858
-15.561747340998519,-8.467367981080157,-8.467367981080157,-15.561747340998519,0.027476709864034957,0.31894642641674,0.31894642641674,0.027476709864034957,1.4805369127516779
-15.845825560992147,-8.73459251659455,-8.73459251659455,-15.845825560992147,0.025664690768398276,0.32845782619292124,0.32845782619292124,0.025664690768398276,1.4825503355704697
-16.111512692572195,-9.001620286180954,-9.001620286180954,-16.111512692572195,0.023792226907891283,0.33813099882062814,0.33813099882062814,0.023792226907891283,1.484563758389262
-16.37040877890262,-9.268491067819426,-9.268491067819426,-16.37040877890262,0.02190486636699954,0.34798608222991523,0.34798608222991523,0.02190486636699954,1.4865771812080537
-16.633308913520672,-9.535280704515827,-9.535280704515827,-16.633308913520672,0.019956993871201086,0.35803147297163257,0.35803147297163257,0.019956993871201086,1.4885906040268455
-16.90807262223611,-9.802068796782425,-9.802068796782425,-16.90807262223611,0.017890224193781744,0.3682591371754672,0.3682591371754672,0.017890224193781744,1.4906040268456375
-17.19967177883192,-10.06891305538351,-10.06891305538351,-17.19967177883192,0.015715955792331503,0.3786468868033716,0.3786468868033716,0.015715955792331503,1.4926174496644296
-17.51206570421649,-10.335838860188515,-10.335838860188515,-17.51206570421649,0.013555390071393177,0.38916520479141703,0.38916520479141703,0.013555390071393177,1.4946308724832214
-17.85020865939896,-10.60284508221335,-10.60284508221335,-17.85020865939896,0.011628874651993994,0.39978478421174024,0.39978478421174024,0.011628874651993994,1.4966442953020134
