s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m,wavelengths
2.707554105713538,0.9279579631249761,0.9279579631249761,2.707554105713538,0.06190349595606197,0.03691235407325177,0.03691235407325177,0.06190349595606197,1.4
2.4085365496000217,0.9205191582388355,0.9205191582388355,2.4085365496000217,0.06146757296442614,0.041647553384638686,0.041647553384638686,0.06146757296442614,1.402013422818792
1.9981330148923209,0.7349228455157089,0.7349228455157089,1.9981330148923209,0.06492927179657365,0.05276649243077302,0.05276649243077302,0.06492927179657365,1.4040268456375837
1.485224641076571,0.42636891436294194,0.42636891436294194,1.485224641076571,0.06750589761153579,0.0639301645602667,0.0639301645602667,0.06750589761153579,1.4060402684563758
0.903653425607904,0.07492605932005414,0.07492605932005414,0.903653425607904,0.0676338257746818,0.07225550594696119,0.07225550594696119,0.0676338257746818,1.4080536912751678
0.2817643469041993,-0.2761135227488709,-0.2761135227488709,0.2817643469041993,0.06561194502160855,0.0771519147334859,0.0771519147334859,0.06561194502160855,1.4100671140939596
-0.35354339605914126,-0.6036569937139677,-0.6036569937139677,-0.35354339605914126,0.062254717268400886,0.07942589429733354,0.07942589429733354,0.062254717268400886,1.4120805369127516
-0.9738227231085279,-0.8985352947733077,-0.8985352947733077,-0.9738227231085279,0.05811643750320935,0.0807444815812378,0.0807444815812378,0.05811643750320935,1.4140939597315436
-1.5522180225970703,-1.1663734032968716,-1.1663734032968716,-1.5522180225970703,0.053352714512602206,0.08290499641888224,0.08290499641888224,0.053352714512602206,1.4161073825503354
-2.0672688553017826,-1.424327601810316,-1.424327601810316,-2.0672688553017826,0.048083358261650375,0.08698680545723338,0.08698680545723338,0.048083358261650375,1.4181208053691274
-2.504615920305898,-1.689602530464559,-1.689602530464559,-2.504615920305898,0.04281808843501849,0.09295554505470958,0.09295554505470958,0.04281808843501849,1.4201342281879195
-2.862961051386454,-1.9698393155375202,-1.9698393155375202,-2.862961051386454,0.038529380889230136,0.10000109197634179,0.10000109197634179,0.038529380889230136,1.4221476510067113
-3.1685995841281502,-2.263186422501218,-2.263186422501218,-3.1685995841281502,0.03614455986834783,0.10717544969143764,0.10717544969143764,0.03614455986834783,1.4241610738255033
-3.4752451740135717,-2.5633849522654404,-2.5633849522654404,-3.4752451740135717,0.0356946413809975,0.11384107634084902,0.11384107634084902,0.0356946413809975,1.4261744966442953
