s13a,s13m,s23a,s23m,s33a,s33m,wavelengths,s11a,s11m,s21a,s21m,s31a,s31m,s12a,s12m,s22a,s22m,s32a,s32m
0.594514245945893,0.700075848929111,0.5714209537841114,0.016378133771165763,0.9665741201174536,0.1633866770131167,1.52,-1.2566459833750578,0.001460182968837922,0.5655020596872817,0.7037549867065371,0.565508990798445,0.7037677716359245,0.5944784129638071,0.7000580857096759,0.9668102814030838,0.16336511479912386,0.5733532362493761,0.01638042148473568
0.26868925592832654,0.6998003557102364,-1.8829130231562063,0.05050340766632332,0.5772797147894473,0.16054609988865404,1.5212244897959184,-1.1335159436087685,0.0019095595058090243,0.23948658851346014,0.7036491700821405,0.23949422594555508,0.7036611580725083,0.2686564396441043,0.6997905856775116,0.5775171450074809,0.16052183765439265,-1.8831357679960987,0.05046794667686266
-0.056598651976026385,0.6995386867873925,-2.1931209921309263,0.1122468993513637,0.18252638568394347,0.15757445781069493,1.5224489795918368,-1.2229571263172236,0.0025494990547351984,-0.08596856153719566,0.7035402855217373,-0.08596007792116458,0.7035515169658101,-0.05663800109239912,0.6995301353101064,0.18276329680221132,0.15754920929196806,-2.193223561970665,0.11220391964235642
-0.38142594138650315,0.6992712107974964,-2.418129610325987,0.17232013894473766,-0.21780632143807263,0.15487958195645413,1.5236734693877552,-1.436377312054174,0.0031629519167639493,-0.4109079552031691,0.7034248547377258,-0.41089850464303546,0.703435516710151,-0.3814592619242667,0.699269566324108,-0.21756202784808065,0.1548469191015035,-2.4181879222888334,0.17227114979147756
-0.7057031070207042,0.699011769888636,-2.6217709681151744,0.22816730333695512,-0.6225070033477577,0.15281868935622236,1.5248979591836735,-1.7192499373177523,0.0036196977424050297,-0.7352981582032518,0.7033036056421285,-0.735287533240589,0.7033137484578292,-0.7057469691051391,0.6990002075713277,-0.6222672609238665,0.152787772657759,-2.6217818125024,0.22811074234367446
-1.0294670493966305,0.6987322276279625,-2.8145749348771396,0.27760130171138203,-1.0295111113028255,0.15166481921251393,1.526122448979592,-2.051242805953171,0.0038496257903607323,-1.0591470039731568,0.7031743041232468,-1.0591351879901465,0.703184015322197,-1.0295224546251929,0.6987385658882591,-1.0292753799546002,0.15162636795242085,-2.814583277654978,0.2775413714954956
-1.3527658619117475,0.6984807929857996,-2.9994762765837715,0.318675689897775,-1.4361946971124633,0.1514715583178031,1.5273469387755103,-2.431194884076724,0.0038241628137149993,-1.38245509991368,0.7030462835373122,-1.382442028648855,0.7030557317160402,-1.352823910194365,0.698474883624103,-1.4359580004159143,0.15142921491125008,-2.999459928747624,0.3186113080451896
-1.6755942871518357,0.6981912178740498,-3.1769948683258464,0.3496659422893564,-1.83982226567041,0.15217360543516756,1.5285714285714287,-2.8741673532877665,0.00356788463232675,-1.7052465585780157,0.7029117442000247,-1.705232175749367,0.7029210374436332,-1.6756431140766068,0.6982031950928422,-1.8395887872208816,0.15213038931425477,-3.176953981130287,0.3496032774991156
-1.997892740884199,0.6979517136736355,-3.346506210897495,0.3691532426307242,-2.2383190377932256,0.15350904543138183,1.5297959183673473,-3.4122564887367637,0.0031873267200925206,-2.027503404626644,0.7027710927880554,-2.0274874277019848,0.7027804617173109,-1.9979620412363828,0.6979670364118825,-2.238075311146226,0.15346649463709214,-3.346433051985839,0.36909875983929147
-2.319728039464837,0.697749604906122,-3.506295253425197,0.37611485754219565,-2.63066506697336,0.15515515026917798,1.5310204081632655,-4.082745457649057,0.0029134270838433846,-2.3492217260623094,0.7026297545398843,-2.3492044042491025,0.7026392576324558,-2.3197915283956005,0.6977599928202353,-2.6303760411264707,0.1551064473270788,-3.50620761329278,0.37606130671666727
-2.6410569267506245,0.6975487122893804,-3.653218691956104,0.3699642597824529,-3.0167069136738665,0.1567290750302509,1.5322448979591836,-4.838837728275726,0.0030631125412752115,-2.6704114684026643,0.7024765718692456,-2.6703927956367943,0.7024861573270882,-2.6411325535820938,0.6975592032469237,-3.016409089223577,0.15667809505953625,-3.653113943702255,0.36992305708746054
-2.9619326606871987,0.6973840763188293,-3.781763651044931,0.35083090681523516,-3.3975364596924496,0.15791113571781246,1.533469387755102,-5.528346616437105,0.003748989931749853,-2.991067543203116,0.7023299377593634,-2.9910475202996136,0.7023397856678659,-2.962009113105245,0.697398771976138,-3.397217048185952,0.1578458090868943,-3.7816452342050524,0.35079406184112905
-3.2823106481211277,0.6972346281951209,-3.8819200168197034,0.3196953761897187,-3.774614446735996,0.1584480481725346,1.5346938775510204,-6.088094179171693,0.004777740536630427,-3.311210212195253,0.702175001346283,-3.3111888824200486,0.702185121775444,-3.2823986994774677,0.6972741652044934,-3.7742736305368885,0.15838328921695266,-3.881775274041987,0.3196782936051962
-3.60218834809089,0.69717436735493,-3.9350728903138292,0.2792001088254204,-4.1497480647454505,0.158240154699988,1.5359183673469388,-6.553416917215512,0.005907478356253209,-3.630806319031555,0.7020197090775179,-3.6307837437366426,0.7020303030600081,-3.60229389936442,0.6972228821983834,-4.14942060495704,0.15816415831898167,-3.9349215446819445,0.27919825217800126
-3.921671065084195,0.6971741606943763,-3.9062949673723475,0.23505338495938866,-4.5252116037540215,0.15726796579991253,1.5371428571428571,-6.96149111397445,0.006961991677186882,-3.94988546667645,0.7018591429030627,-3.94986162723427,0.7018702794699614,-3.9217696817960785,0.69721459869908,-4.524867738614033,0.15718626477275582,-3.9061394917346317,0.23507037530250677
-4.240627787493144,0.6972814888693893,-3.743250810129738,0.19955685288157446,-4.9026512488021305,0.15570347367555135,1.5383673469387755,-7.334832937894829,0.007821864678844943,-4.268436040416594,0.701699684496335,-4.268411015372025,0.7017113234921083,-4.240735458912301,0.6973096736652168,-4.902283544042591,0.15561516460507835,-3.7431785862942704,0.1995928564661677
-4.5591673981075544,0.697433813562149,-3.445131410409419,0.1938460329767778,-5.283396815027806,0.15376520049322953,1.539591836734694,-7.685187226609904,0.008408313455346265,-4.586452210621686,0.7015388334510835,-4.586426382164111,0.7015510394669137,-4.5592800575078964,0.6975058637361486,-5.283065356570302,0.15366279804045607,-3.4451688285961963,0.19387569875196542
-4.877234215758817,0.6978087263808119,-3.17125697530355,0.23224972651235049,-5.668287757743396,0.15179784717898318,1.5408163265306123,-8.018769414258283,0.008673592792470403,-4.903967940710322,0.7013769741324437,-4.903941045519938,0.7013899857038405,-4.877357048416738,0.6978643974470423,-5.667945131194958,0.15169036615159162,-3.171403074769647,0.2322642997520005
-5.1948682950378995,0.6983181853105683,-3.038302016149711,0.3055348271116158,-6.056875086120027,0.1501069453026711,1.5420408163265307,-8.338369267338585,0.008609043486425987,-5.2209483411184525,0.7012165064778504,-5.220920511546786,0.7012304030446931,-5.19502881586321,0.6983796523865164,-6.056599140468901,0.14999229643595824,-3.0384655456094816,0.3055212138710565
-5.512161170284228,0.6990439940701865,-3.0150771897874744,0.3985676724749207,-6.447935261111157,0.14901519214557762,1.5432653061224488,-8.644976712693305,0.008232008771475521,-5.537404087192954,0.7010574618872745,-5.537375425106474,0.7010722886858803,-5.512281407817167,0.6991314266548754,-6.447687007547732,0.14889644708848576,-3.015200448518079,0.398521156219479
-5.829074210004083,0.7000325289809103,-3.051205880424356,0.5022426004135371,-6.839143650923397,0.1486782730453759,1.5444897959183674,-8.937814638005435,0.007590556581501381,-5.853360054374901,0.7009015668376,-5.853330662169933,0.7009174861052585,-5.829219592370295,0.7001936744390878,-6.838953478406753,0.14853987639237498,-3.0513148776658765,0.5021680623976518
-6.14570178938617,0.7014259338039446,-3.1159901727995263,0.6120740279040554,-7.227725250591895,0.1490638798833036,1.5457142857142858,-9.214723365488137,0.0067561522150484665,-6.168781986235691,0.7007487240983475,-6.168752087443587,0.7007657277426524,-6.145850083104755,0.7015662307576173,-7.227568088774621,0.1489196645454295,-3.116061443159912,0.61196103444259
-6.461987248246267,0.7033589621255365,-3.19179215543011,0.7266614934301463,-7.6109066481722145,0.1500066100968813,1.546938775510204,-9.47227591411622,0.0058158845568857835,-6.483716157871893,0.7005957256617495,-6.4836858734788345,0.7006139228043721,-6.462167887824345,0.7035155708294398,-7.610749417500486,0.14985669229945855,-3.1918186471585352,0.7265114978844427
-6.778172271755114,0.7058987895244428,-3.2675418994172603,0.8475881815128476,-7.9865992764283105,0.15107577431037772,1.5481632653061224,-9.706371486207903,0.004866604348715903,-6.7981130061333,0.7004470014209034,-6.798082537766815,0.7004663416409839,-6.778373667780387,0.7060984788317425,-7.986438045913997,0.15091589068422331,-3.267540732797936,0.8474105178470451
-7.0942952453826305,0.7097025528214357,-3.335120099079557,0.9810411436029665,-8.353873104725018,0.15176831188653556,1.549387755102041,-9.915015150925166,0.004001371491379438,-7.112029406368173,0.7003042223608242,-7.1119988782276655,0.7003247286802595,-7.094528347124764,0.709821992434233,-8.353512330194615,0.15159400222050667,-3.335103904278125,0.9808389872228265
-7.410671044273499,0.7147756152066087,-3.388123644624625,1.141067603399433,-8.711986881456864,0.15132109338013794,1.5506122448979591,-10.105603405127832,0.0032931930470884627,-7.425420876031112,0.7001630346678108,-7.425390615805366,0.700184695814438,-7.410913897066015,0.7150135954982468,-8.711456317852356,0.15110102901414782,-3.388046526186759,1.140839911556297
-7.727786971451501,0.722676062006196,-3.4215465150405224,1.3587241822651792,-9.061538101240624,0.14886063394394375,1.5518367346938775,-10.304123073034647,0.002774105192907503,-7.738325212549201,0.7000246304948832,-7.738295222434419,0.7000473996297962,-7.72801592971239,0.7230649727362284,-9.060737177648864,0.14860467574976172,-3.421427423207576,1.3584785824841918
-8.046519720247801,0.7356635503148775,-3.4335506821988324,1.7054956064201297,-9.40220652778879,0.14295723379292616,1.5530612244897959,-10.556455601394987,0.0024306003144258146,-8.050736526902842,0.6998838113857812,-8.050707084818,0.6999076268953545,-8.046851875841819,0.7361569475358566,-9.400821293085976,0.1426282567630056,-3.4334095019921937,1.7052701948681996
-8.369925191583981,0.76029436942853,-3.4286093108506246,2.3782422755190042,-9.72961889938791,0.13020680277603014,1.5542857142857143,-10.9131458123347,0.0022471346329250162,-8.362642762399098,0.69974729861861,-8.36261394994637,0.6997720926697923,-8.370343152523285,0.7611598393977932,-9.726988694575468,0.12976054373463308,-3.4284611151548425,2.378008050678727
-8.70927757396824,0.8245011046182241,-3.4256346949952183,4.1708042199093835,-9.99995194193708,0.0984774183406279,1.5555102040816327,-11.389734469205317,0.0022645004256497464,-8.674059652153183,0.6996092709564392,-8.674031584118692,0.699634904490752,-8.710011008720688,0.8257169671207353,-9.992165365374271,0.09777795315966915,-3.4254308206564787,4.170627873642362
-9.229848374393065,1.3023407260370916,-3.597321688553422,18.34198450822582,-8.05112545897569,0.15845410676608523,1.556734693877551,-11.931409280974808,0.0025702397498361153,-8.98499947781205,0.6994702109830951,-8.984972138745832,0.6994966004126201,-9.231338345733164,1.307959039251978,-8.056104917042406,0.16304832491731272,-3.597148913823713,18.331978135032717
-9.14959576759008,0.40523248860723093,-6.35222036211584,7.755004136308467,-10.804941894731591,0.27837830070339775,1.5579591836734696,-12.450437068448332,0.0032054535708516975,-9.29541479517402,0.6993274386894669,-9.295388264739483,0.6993545055847604,-9.146705911612123,0.4022032236439363,-10.808582206746667,0.2802379069540986,-6.352091011901085,7.7583349654831455
-9.531070749375584,0.5629061991156645,-6.4128253105205,3.3618880697812523,-11.178693619966122,0.20031418124019973,1.5591836734693876,-12.910438841391855,0.0041076452634404995,-9.605379366112281,0.6991824911353075,-9.60535348303783,0.6992103584488675,-9.530621217913007,0.5617444023831799,-11.180849460146419,0.20111790147361605,-6.412819600944208,3.3627385773465943
-9.859904011429608,0.6039922782297644,-6.446747510651798,2.1944767493612054,-11.545065429526518,0.17432135704527213,1.5604081632653062,-13.320465809925711,0.0051725785385513656,-9.914838681609607,0.6990299596542178,-9.914813439556637,0.6990583735552455,-9.859527892788499,0.6032950826671253,-11.546612905922666,0.1748075402416744,-6.446810092297008,2.1948753107793717
-10.17793205732725,0.6226455659310057,-6.487187839413152,1.6379094816844182,-11.925127486355443,0.15861464970178546,1.5616326530612246,-13.698834582158685,0.006297565967118857,-10.223846004472227,0.6988753671732066,-10.22382134306608,0.6989041264458806,-10.177810625329847,0.6221101152116428,-11.926422207342029,0.1589457199227684,-6.4873376929481354,1.6381200452433151
-10.492001977957633,0.63337506754951,-6.533823798399862,1.2952606146251766,-12.321666995266714,0.14734435120186054,1.5628571428571432,-14.058267504476728,0.007382940825852698,-10.532329206271921,0.6987127418976049,-10.532305030387466,0.6987420691740596,-10.491955839065216,0.6328948397045027,-12.322617803530997,0.1476132617910981,-6.534010588687912,1.29532672357307
-10.80419153322305,0.6401325796461127,-6.581010549857984,1.049696845598784,-12.733108831270847,0.13948364496761143,1.5640816326530613,-14.40718832856676,0.008349217886789701,-10.840342450667661,0.698545860915354,-10.840318636421774,0.6985756353555245,-10.80409953389556,0.6396948342346817,-12.733689645699421,0.13972732846126834,-6.581181886255373,1.049714007771478
-11.114863867083313,0.6447322489348187,-6.620481410323302,0.8572355160536724,-13.155041193559114,0.13493803494987636,1.5653061224489797,-14.750988947248036,0.009128855272309928,-11.14786388048101,0.6983706034505759,-11.147840330312363,0.6984008501659598,-11.114842025219186,0.6443701826354489,-13.155490668631705,0.13511746854932882,-6.620666905488938,0.857187464539572
-11.424621277295733,0.6480761580849037,-6.641643804054316,0.6995044089531499,-13.580264043576223,0.13353663507961222,1.566530612244898,-15.093371133207702,0.009673678404697331,-11.454913768835057,0.6981911233603065,-11.45489048391956,0.6982219742088539,-11.424562345703322,0.6477694903880103,-13.580603606028758,0.13368396252341158,-6.641827897580245,0.6994211408230052
-11.733413370149247,0.6506430747309908,-6.63083156070188,0.5701271425164312,-14.000315960146194,0.13495620839146308,1.5677551020408165,-15.437115065808971,0.009957818943105514,-11.761472205692307,0.6979989293889439,-11.761449138784117,0.6980304854822186,-11.733443142379576,0.6503354439498398,-14.000541952382758,0.13509095236942048,-6.630988715864362,0.5700285435796644
