s11a,s11m,s21a,s21m,s31a,s31m,wavelengths,s12a,s12m,s22a,s22m,s32a,s32m,s13a,s13m,s23a,s23m,s33a,s33m
2.8754815787414043,0.005341341587402409,-0.9034700660613308,0.7024113203137506,-0.903515954828055,0.7024484775112101,1.5,-0.9010104413480947,0.7033850839609929,0.49112678571130575,0.16129298044501772,-0.541779212271048,0.1558373438876116,-0.9033661063926289,0.7037200072294879,-0.5643676260485734,0.1558828112310029,0.4776267795983079,0.16117947165683172
1.6815249068565015,0.0058317960565706746,-1.4499236819346135,0.7026236754690538,-1.4499492577802948,0.7026332394121038,1.5020408163265306,-1.4483985792822736,0.703625073861601,-0.16841503045218034,0.16176693946174975,-1.1939441451470605,0.153806682917789,-1.4507986580715442,0.703889793839342,-1.216623686516872,0.15381531405433804,-0.18193362629282805,0.16162402324015035
0.5620536045983934,0.006528903246385729,-1.9949543895453359,0.7028437916167957,-1.9949539617998615,0.7028334613034941,1.5040816326530613,-1.993893542514667,0.7035993892825221,-0.8255714081369465,0.162307935435353,-1.854711883613389,0.1512065424964249,-1.996335053128536,0.7037840671723291,-1.8772240402827385,0.15117521074360254,-0.8388969127865056,0.16212261389652063
-0.47857876249848896,0.007033523480107185,-2.538645855559153,0.7030517016983536,-2.5386189143813347,0.7030283554160217,1.506122448979592,-2.5374436992626603,0.7034883533822124,-1.4794950467762837,0.16297715051683062,-2.524137348730346,0.1491917095984161,-2.539915760610627,0.703590138351258,-2.5462600462461213,0.1490996130428703,-1.492480718267766,0.16272010829465028
-1.4942852120847538,0.006909566404634676,-3.080880827806896,0.7032463417393492,-3.080829880541736,0.7032146099938357,1.5081632653061225,-3.079016976470365,0.7035239088905407,-2.12940017908937,0.1637314541242308,-3.197552546775541,0.14867104322448949,-3.081508144574951,0.7035476546578183,-3.219184692098527,0.14848593618757883,-2.142022415677868,0.16336821563497905
-2.587302835422638,0.00616490499150768,-3.6217514070091803,0.7034265062760405,-3.6216791386111553,0.7033883511906274,1.510204081632653,-3.6189342289717943,0.7038409368470111,-2.7753493512262506,0.1644396373706971,-3.8677967948354985,0.14989611372706155,-3.621439601801912,0.7037980550045665,-3.8889938354602203,0.1495866398457516,-2.787713347237737,0.16394405307921994
-3.8677922992918186,0.005702365449146519,-4.161247295004278,0.7035721510524015,-4.161154127955385,0.7035278135642921,1.5122448979591836,-4.157512072959552,0.7044488089576596,-3.41799619756894,0.16492983375386755,-4.528654008633232,0.15236706643881337,-4.160036569546792,0.7043524581819306,-4.549578817223281,0.15191479859839307,-3.430288966405557,0.1642935046734922
-5.181988441412523,0.006866174997748168,-4.699342479549083,0.7036854857490444,-4.699225579165036,0.7036353580663484,1.5142857142857142,-4.695015618728426,0.7052306853985488,-4.05856034722789,0.16505098152518372,-5.177831056185518,0.15510527257007548,-4.697573243246541,0.7050911085446413,-5.198660430127685,0.15451076810018846,-4.070979463623717,0.1642866528594226
-6.270966029932347,0.009317906256813021,-5.236033340938041,0.7037403504663454,-5.235887395467941,0.7036867554470673,1.5163265306122449,-5.231541369140507,0.7059577522083096,-4.698317826578611,0.1647285970801949,-5.817229687166517,0.15710002070080187,-5.234150903569931,0.7057788503054385,-5.838083370610073,0.15638052362361773,-4.7109983030161064,0.16386515904300683
-7.19057096792289,0.011758411297783213,-5.771258916055809,0.7037624647489749,-5.771078520363813,0.703710806778177,1.5183673469387755,-5.76697463266176,0.7064400271863089,-5.338254341794412,0.16400188432594504,-6.4515176953388735,0.1576983160842998,-5.769652278104282,0.7062184651221186,-6.472427514439288,0.1568806155056026,-5.3512169072493965,0.163074540089806
