s11a,s11m,s21a,s21m,s31a,s31m,s41a,s41m,wavelengths,s14a,s14m,s24a,s24m,s34a,s34m,s44a,s44m,s12a,s12m,s22a,s22m,s32a,s32m,s42a,s42m,s13a,s13m,s23a,s23m,s33a,s33m,s43a,s43m
-21.600042496094122,0.03751792864623547,-18.827028433572313,0.05474642744335079,-15.366277634770888,0.2653422804199805,-17.456140668514294,0.7772623448329985,1.5755102040816327,-23.51673020376487,1.0888959997944658,-22.507219463620487,0.8044886358687579,-19.14496879914846,0.08744678489323329,-28.31318840713181,0.12285125768215466,-18.828048220556205,0.05479665932877822,-21.505832335874146,0.04125651404998478,-17.456299204154377,0.7776062843396304,-15.355905251879436,0.2692700721947758,-22.477523294562275,0.7926921646020502,-23.51055108266327,1.0601019823335258,-34.498922616317465,0.13642202419762914,-19.153385858446025,0.09136444770790536
-22.201698259368055,0.035850865798957514,-19.445446856876927,0.05260450622666583,-15.827715806101477,0.2656215835659057,-17.92368395003594,0.7769310472749539,1.577551020408163,-23.998899573547618,1.0753517629551521,-23.012843956055846,0.7573654587005142,-19.493039954223015,0.11762812923582065,-29.327151916585162,0.10788245581201904,-19.446436647686834,0.05264229732885352,-22.085426096428822,0.03941919866176245,-17.923494641053246,0.7772012906568564,-15.818693867566148,0.2692588851307424,-22.983190385076995,0.7477791529004701,-23.991881842654582,1.0491016465046759,-35.43592098657352,0.11716779231030906,-19.500027079478954,0.12016633827601307
-22.786920100799314,0.03335259534206831,-20.04010224081669,0.04953356272565837,-16.29105340771368,0.26517560188577183,-18.390066653704704,0.7761475076535757,1.579591836734694,-24.478184267336687,1.0611439708656165,-23.510345077281013,0.7095841498975156,-19.897243838625798,0.1369206354473848,-30.248293409614462,0.10880925676265228,-20.04091849961801,0.04956303967955637,-22.654660527214,0.03621737719519874,-18.389489355759867,0.7765459192239795,-16.2822653309669,0.26843718525974475,-23.48117249456709,0.7019627094512656,-24.47094100366325,1.0375181801993525,-36.33779934407756,0.11039971063888088,-19.904666545637347,0.138433670796517
-23.344877641185267,0.030262738684882183,-20.60451472189582,0.04600827036877483,-16.752269321743356,0.26367846771385445,-18.854870641610614,0.775015477269078,1.5816326530612246,-24.953910329218196,1.0469604989362056,-23.99775145807928,0.6637193175128541,-20.329582248327675,0.14084658369209768,-30.997749855943006,0.10862194425623921,-20.60510975731398,0.0460375865035016,-23.204512324499905,0.03222660410533297,-18.85405560883286,0.7757211121428205,-16.742835010350472,0.26666480750128835,-23.969248431054616,0.6575377089792964,-24.947123601256116,1.02545251244821,-37.115107449261835,0.10557935202888549,-20.34174754306993,0.14165423279086073
-23.86181494852395,0.027248857783353918,-21.13286365490433,0.04263213492934664,-17.207815257352685,0.2617596316143383,-19.317990649765772,0.7738570025136864,1.5836734693877552,-25.42618581419453,1.0335809134861909,-24.47545181256967,0.6221224856020544,-20.78063712669591,0.12877606646619325,-31.609480503989168,0.09728145469866997,-21.133323972765485,0.04266839106291805,-23.725190294379363,0.02847773319094009,-19.317204791866622,0.774930263994991,-17.19737049721112,0.26465898906242835,-24.447210372176414,0.6168629710475219,-25.420125460756147,1.013283291681047,-37.76105881980779,0.09356726542982532,-20.80364745506809,0.12910060758176056
-24.33333622799854,0.025202537478338873,-21.62338106130451,0.040150022671424715,-17.657202514540394,0.2605151807963524,-19.77980509302483,0.7728343900463477,1.5857142857142859,-25.895552868728572,1.0212598601456235,-24.94596979364918,0.5858231211102184,-21.25411798223222,0.10343296648069986,-32.08906959760409,0.07439778819913562,-21.623898652926318,0.04019579714270023,-24.217412967606947,0.02601982872386138,-19.779294527957394,0.7741932927111127,-17.645849559250852,0.2635089256563476,-24.917062180929733,0.5813503676744293,-25.88987653470704,1.0012987907234767,-38.27004794513812,0.07257984962574912,-21.298407933193253,0.10347810242358393
-24.778176027192234,0.024846957637960965,-22.086780041254553,0.039330458737149625,-18.10319335785434,0.2607639777677278,-20.24054161600299,0.7717093731793416,1.5877551020408165,-26.362196693937694,1.0098949622084412,-25.412445457087955,0.5545017516250159,-21.779381510897803,0.07011958974609955,-32.320636516394536,0.047080781693510196,-22.087545175361747,0.03938346512297122,-24.698382914256122,0.02548352509640875,-20.2404175052982,0.7731873322723164,-18.091315921878678,0.26398062720100984,-25.381955615487147,0.5511527780099149,-26.356110364538658,0.9898501507971306,-38.542772994546134,0.04807760424865219,-21.86829400960495,0.07035261249621377
-25.231601629425434,0.026410781491100908,-22.54971393480218,0.040604498496668334,-18.549890553859345,0.2625671515002822,-20.700020801216063,0.7701549460061156,1.5897959183673471,-26.826044253196304,0.9995792094544943,-25.877476568288227,0.5268959181343891,-22.50829871184048,0.036616431538696745,-32.0113529029662,0.034541697917200326,-22.550779219011496,0.04066012576457111,-25.189307521471935,0.02696474843998475,-20.700246567075467,0.7716016998322605,-18.538002379261076,0.266065631865103,-25.845141881663054,0.5253330147420485,-26.818705193436383,0.9796313142693787,-38.353748032370554,0.035781414715902245,-22.699691365618595,0.03896631385830502
-25.718017216288935,0.02969358886142093,-23.039650409040345,0.04377354070786963,-19.000140155391094,0.2652909505699599,-21.157602358736852,0.7681354407503204,1.5918367346938775,-27.28709921934086,0.9908532669161716,-26.342229196176266,0.5015322006991719,-24.062654491713495,0.022555342937778396,-31.865380857240456,0.048931682493701126,-23.040916407596292,0.04382846540274741,-25.69944903693261,0.03025201952058007,-21.158073802702997,0.7694714243636072,-18.988749840534563,0.26904041676258333,-26.308784838243778,0.5023774218400102,-27.27798338099225,0.9716364355501808,-38.239377965150446,0.04706618250021505,-24.14245858668202,0.030571869962837075
-26.241688255673758,0.034296588824904245,-23.567643302502916,0.04818331982463245,-19.454332068667803,0.26805360394456046,-21.612748027444603,0.76608065978881,1.593877551020408,-27.74605486449609,0.984329534440618,-26.80651803480952,0.47718870824279264,-25.179179608775673,0.04048512393565565,-32.17114234763407,0.06560946006268512,-23.568977528720453,0.04823707567777165,-26.229084874535932,0.034965044496477214,-21.613375392549443,0.7672856737227974,-19.443741855728927,0.27193075767247915,-26.77355019598044,0.4807062777320812,-27.73516032152106,0.9666309057061757,-38.54032403815332,0.06258430821727469,-25.125179622175676,0.048274462729185036
