s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m,wavelengths
-7.045985556119491,-5.728401868482395,-5.728401868482395,-7.045985556119491,0.030533465515280335,0.3658509760557291,0.3658509760557291,0.030533465515280335,1.4402684563758388
-7.612037121405157,-6.037229505856811,-6.037229505856811,-7.612037121405157,0.03039023846079834,0.37583744044013345,0.37583744044013345,0.03039023846079834,1.4422818791946308
-8.125169196248438,-6.3463800389491,-6.3463800389491,-8.125169196248438,0.030201161906504688,0.38563745867645405,0.38563745867645405,0.030201161906504688,1.4442953020134228
-8.583143723088114,-6.655567638345498,-6.655567638345498,-8.583143723088114,0.029554362204872172,0.3950939368192812,0.3950939368192812,0.029554362204872172,1.4463087248322146
-8.991457186191447,-6.964438022635699,-6.964438022635699,-8.991457186191447,0.02831491243747035,0.4041322318043758,0.4041322318043758,0.02831491243747035,1.4483221476510066
-9.359517706437238,-7.27269612271054,-7.27269612271054,-9.359517706437238,0.026574542551172066,0.41275351161901547,0.41275351161901547,0.026574542551172066,1.4503355704697987
-9.700051330216754,-7.580170304656706,-7.580170304656706,-9.700051330216754,0.024503837642044373,0.4210065047275915,0.4210065047275915,0.024503837642044373,1.4523489932885905
-10.028989778349334,-7.886816867242807,-7.886816867242807,-10.028989778349334,0.022216090395917317,0.428954243587387,0.428954243587387,0.022216090395917317,1.4543624161073825
-10.36423319301647,-8.192686214857412,-8.192686214857412,-10.36423319301647,0.01971870445887783,0.4366477169144261,0.4366477169144261,0.01971870445887783,1.4563758389261745
-10.724527172619831,-8.49787433976286,-8.49787433976286,-10.724527172619831,0.01697119051917402,0.4441114724800219,0.4441114724800219,0.01697119051917402,1.4583892617449663
-11.131414776311253,-8.8024772716611,-8.8024772716611,-11.131414776311253,0.014002684645100188,0.4513411112172962,0.4513411112172962,0.014002684645100188,1.4604026845637583
-11.615929964226186,-9.106558880974172,-9.106558880974172,-11.615929964226186,0.011025983155411832,0.45831001856707504,0.45831001856707504,0.011025983155411832,1.4624161073825503
-12.22247629353963,-9.410136712473642,-9.410136712473642,-12.22247629353963,0.008516030644654806,0.46498144225952065,0.46498144225952065,0.008516030644654806,1.4644295302013421
-12.960589520708252,-9.713187069357243,-9.713187069357243,-12.960589520708252,0.007127314148575378,0.4713222476035442,0.4713222476035442,0.007127314148575378,1.4664429530201342
-13.696067375783038,-10.015663337926842,-10.015663337926842,-13.696067375783038,0.00704128295343432,0.4773118979925863,0.4773118979925863,0.00704128295343432,1.4684563758389262
-14.284256936083706,-10.31752184972827,-10.31752184972827,-14.284256936083706,0.00748677467052352,0.4829457921053942,0.4829457921053942,0.00748677467052352,1.470469798657718
-14.715282388770449,-10.618742742387676,-10.618742742387676,-14.715282388770449,0.007619878812620777,0.4882301353988944,0.4882301353988944,0.007619878812620777,1.47248322147651
-14.998802806032678,-10.919337973495962,-10.919337973495962,-14.998802806032678,0.00713134565960737,0.4931717350979417,0.4931717350979417,0.00713134565960737,1.474496644295302
-15.09697684208423,-11.219343712643736,-11.219343712643736,-15.09697684208423,0.006316856682819167,0.4977675278294039,0.4977675278294039,0.006316856682819167,1.4765100671140938
-14.987727188355706,-11.518801728432672,-11.518801728432672,-14.987727188355706,0.006172482532174771,0.5019987500769637,0.5019987500769637,0.006172482532174771,1.4785234899328858
-14.875634076770842,-11.81773906552924,-11.81773906552924,-14.875634076770842,0.007666871203369626,0.5058321760452593,0.5058321760452593,0.007666871203369626,1.4805369127516779
-14.941324491671107,-12.116155088464328,-12.116155088464328,-14.941324491671107,0.01040280307148988,0.5092273256187013,0.5092273256187013,0.01040280307148988,1.4825503355704697
-15.139458393859101,-12.414020335295033,-12.414020335295033,-15.139458393859101,0.013470963605164607,0.5121459430184394,0.5121459430184394,0.013470963605164607,1.484563758389262
-15.407439062039654,-12.711285824111249,-12.711285824111249,-15.407439062039654,0.01623458592624765,0.5145595742786596,0.5145595742786596,0.01623458592624765,1.4865771812080537
-15.714165147292178,-13.007896600827012,-13.007896600827012,-15.714165147292178,0.01831125489302691,0.5164527189410111,0.5164527189410111,0.01831125489302691,1.4885906040268455
-16.04681261904609,-13.303803970984939,-13.303803970984939,-16.04681261904609,0.01951147060245541,0.517821463416128,0.517821463416128,0.01951147060245541,1.4906040268456375
