wavelengths,s11a,s22a,s11m,s22m,s12a,s21a,s12m,s21m
1.5,-2.994767542943449,-2.994767542943449,9.494118840396352e-05,9.494118840396352e-05,0.5229600900379477,0.5229600900379477,1.0090948673838226e-15,1.0090948673838226e-15
1.5020408163265306,-3.0389772703634694,-3.0389772703634694,0.00010207618373749186,0.00010207618373749186,-0.06333999412081132,-0.06333999412081132,1.0392426790656613e-15,1.0392426790656613e-15
1.5040816326530613,-3.0169112688540163,-3.0169112688540163,0.00011022845845701339,0.00011022845845701339,-0.6472731967631491,-0.6472731967631491,1.063929488635173e-15,1.063929488635173e-15
1.506122448979592,-3.0945784258589053,-3.0945784258589053,0.00011815421927481108,0.00011815421927481108,-1.226632104043862,-1.226632104043862,1.083458539441308e-15,1.083458539441308e-15
1.5081632653061225,-3.2139274357739334,-3.2139274357739334,0.00011853689059682517,0.00011853689059682517,-1.7995686114133607,-1.7995686114133607,1.0994969234679822e-15,1.0994969234679822e-15
1.510204081632653,-3.2586669990779344,-3.2586669990779344,0.00011332816091611489,0.00011332816091611489,-2.365510622773299,-2.365510622773299,1.1146840112424978e-15,1.1146840112424978e-15
1.5122448979591836,-3.273837826033365,-3.273837826033365,0.0001107113371531246,0.0001107113371531246,-2.9252068496652592,-2.9252068496652592,1.131925970670622e-15,1.131925970670622e-15
1.5142857142857142,-3.288173542052666,-3.288173542052666,0.00010821412315834988,0.00010821412315834988,-3.480746025806621,-3.480746025806621,1.1535145835450524e-15,1.1535145835450524e-15
1.5163265306122449,-3.3449291884285346,-3.3449291884285346,0.000112339555070759,0.000112339555070759,-4.034861024079834,-4.034861024079834,1.18024716376867e-15,1.18024716376867e-15
1.5183673469387755,-3.2916830195172886,-3.2916830195172886,0.00010674914568452058,0.00010674914568452058,-4.59008917079889,-4.59008917079889,1.211223672612747e-15,1.211223672612747e-15
1.5204081632653061,-3.294898324669234,-3.294898324669234,0.0001168319944899378,0.0001168319944899378,-5.147954286404905,-5.147954286404905,1.2441415498561834e-15,1.2441415498561834e-15
1.5224489795918368,-3.3073295365729902,-3.3073295365729902,0.00011358806887063753,0.00011358806887063753,-5.708594048743002,-5.708594048743002,1.2761030584127249e-15,1.2761030584127249e-15
1.5244897959183674,-3.4077586248216183,-3.4077586248216183,0.00011795378690738454,0.00011795378690738454,-6.271053916222065,-6.271053916222065,1.3044904364516452e-15,1.3044904364516452e-15
1.5265306122448983,-3.4942678772570788,-3.4942678772570788,0.0001146467891701188,0.0001146467891701188,-6.833749827247901,-6.833749827247901,1.3276655749954455e-15,1.3276655749954455e-15
1.5285714285714287,-3.495214935252189,-3.495214935252189,0.00010901060352897391,0.00010901060352897391,-7.394889559438591,-7.394889559438591,1.3452082193207166e-15,1.3452082193207166e-15
1.530612244897959,-3.5461174917430753,-3.5461174917430753,0.00010361655142485427,0.00010361655142485427,-7.953144445029672,-7.953144445029672,1.3578183096835212e-15,1.3578183096835212e-15
1.5326530612244897,-3.480280545961315,-3.480280545961315,9.887865713707784e-05,9.887865713707784e-05,-8.507699601117437,-8.507699601117437,1.3669228775098412e-15,1.3669228775098412e-15
1.5346938775510204,-3.484192174642126,-3.484192174642126,0.00010546892137017606,0.00010546892137017606,-9.058431773022836,-9.058431773022836,1.3741606736239482e-15,1.3741606736239482e-15
1.536734693877551,-3.4900980118376124,-3.4900980118376124,0.00010558229461439976,0.00010558229461439976,-9.605739649666805,-9.605739649666805,1.3809293749525343e-15,1.3809293749525343e-15
1.5387755102040817,-3.6199025484555687,-3.6199025484555687,0.00011312265722794582,0.00011312265722794582,-10.150434294340737,-10.150434294340737,1.3881405979734313e-15,1.3881405979734313e-15
1.5408163265306123,-3.6467001037867415,-3.6467001037867415,0.000111564696108533,0.000111564696108533,-10.693361600677488,-10.693361600677488,1.3961005851802143e-15,1.3961005851802143e-15
1.542857142857143,-3.7179080434620118,-3.7179080434620118,0.00010889179765791263,0.00010889179765791263,-11.235266460979458,-11.235266460979458,1.4046164814703385e-15,1.4046164814703385e-15
1.5448979591836736,-3.7676136386514347,-3.7676136386514347,0.00010130019656426882,0.00010130019656426882,-11.776762363148885,-11.776762363148885,1.413053615529134e-15,1.413053615529134e-15
1.546938775510204,-3.77387149004941,-3.77387149004941,9.773623881993566e-05,9.773623881993566e-05,-12.31821213859189,-12.31821213859189,1.420587168584738e-15,1.420587168584738e-15
1.5489795918367348,-3.7506728266539233,-3.7506728266539233,9.453640438598886e-05,9.453640438598886e-05,-12.859548783029409,-12.859548783029409,1.4262702555994636e-15,1.4262702555994636e-15
1.5510204081632653,-3.7735265459718734,-3.7735265459718734,9.848290433135318e-05,9.848290433135318e-05,-13.400509897231132,-13.400509897231132,1.429283720625001e-15,1.429283720625001e-15
1.5530612244897959,-3.76349019048281,-3.76349019048281,9.808228006689872e-05,9.808228006689872e-05,-13.940548199039895,-13.940548199039895,1.429133083443407e-15,1.429133083443407e-15
1.5551020408163265,-3.7987547569897795,-3.7987547569897795,0.00010135886448408978,0.00010135886448408978,-14.478976441300373,-14.478976441300373,1.425804970633905e-15,1.425804970633905e-15
1.5571428571428572,-3.88556540587732,-3.88556540587732,0.00010525741964138728,0.00010525741964138728,-15.01522424853501,-15.01522424853501,1.419909402013905e-15,1.419909402013905e-15
1.5591836734693876,-3.9352962204939796,-3.9352962204939796,0.00010386124838783562,0.00010386124838783562,-15.548921771286931,-15.548921771286931,1.4124924946151165e-15,1.4124924946151165e-15
1.5612244897959184,-4.056650912630277,-4.056650912630277,0.00010310743469410169,0.00010310743469410169,-16.080206460515594,-16.080206460515594,1.4048212108116233e-15,1.4048212108116233e-15
1.563265306122449,-4.117535197195532,-4.117535197195532,9.69393060505563e-05,9.69393060505563e-05,-16.60969145661,-16.60969145661,1.3979425772498448e-15,1.3979425772498448e-15
1.5653061224489797,-4.092846564822526,-4.092846564822526,9.634531473483008e-05,9.634531473483008e-05,-17.138346141948226,-17.138346141948226,1.3923603178268582e-15,1.3923603178268582e-15
1.5673469387755101,-4.086404002160895,-4.086404002160895,9.266985559731534e-05,9.266985559731534e-05,-17.66722420962149,-17.66722420962149,1.3878469571456545e-15,1.3878469571456545e-15
