s22a,s22m,s12a,s12m,s32a,s32m,s42a,s42m,s21a,s21m,s11a,s11m,s31a,s31m,s41a,s41m,s23a,s23m,s13a,s13m,s33a,s33m,s43a,s43m,s24a,s24m,s14a,s14m,s34a,s34m,s44a,s44m,wavelengths,freqs
-2.0878908193924874,0.029103136949087248,-2.3420615416182593,0.004492892624148817,0.5197746033176119,0.9561283757109967,-3.0953169616662897,0.22354627977542507,-2.363590375773596,0.0058573542860287575,-3.125507794920888,0.03465180200942889,-3.116477320941594,0.22323710224329707,2.6900033546045727,0.9742477516306038,0.519789309331563,0.9558197294074151,-3.0957231498129523,0.17177526312586847,-2.2925444919063387,0.023861332269458888,-2.4250446565050523,0.004122731622720738,-3.1160887825255763,0.2903850072171696,2.690006110985587,0.9742589125976967,-2.4483640680865575,0.005351720680486072,-3.1269437210558766,0.0347437787547516,1.5,0.6666666666666666
-2.5593427123714245,0.04076112189581905,-3.0456884145373335,0.004923991959147309,0.08157458807544585,0.956066582596854,-3.462095642930456,0.2247729848875181,-3.0642306167744726,0.006400808258152492,-3.13743074276597,0.034823377894759526,-3.483091430840053,0.22459170960466923,2.3946933038693197,0.973904669222966,0.081585101711498,0.9558647226649654,-3.4624155405667034,0.17287510420910998,-2.6275956137188867,0.03347831920210502,-3.0780919448919923,0.004597201991780257,-3.482786234696551,0.2919106672983754,2.3946942290278175,0.9739123885562458,-3.1001476757603297,0.005969636780783818,-3.137682230830884,0.034910279471157046,1.5020408163265306,0.6657608695652174
-3.010494669163862,0.04575454589277774,-3.7423779608028065,0.005317796477218424,-0.3554675416326489,0.9561845066312475,-3.827949232671866,0.2260379730699783,-3.7607396524901175,0.006890354317500036,-3.153329925641364,0.03470376412220773,-3.8493039220879828,0.22595393312974055,2.1002705670224997,0.9735739644550965,-0.3555589927464819,0.9560590261219548,-3.828265886799535,0.17400314970996095,-2.98658112792024,0.03793464629142555,-3.7318520744612567,0.005045706505289875,-3.8490938084197843,0.2934405900769961,2.1002725009379017,0.9735761945820459,-3.7534926159768536,0.006553689227467004,-3.1535823526930757,0.03484917332730783,1.5040816326530613,0.6648575305291723
-3.4730936729282225,0.04278274337312815,-4.432790815011441,0.005644633550160066,-0.7915113329023363,0.956447985808579,-4.1930217619998995,0.22733359342354456,-4.453230645600317,0.007291431417008209,-3.167303564871311,0.034235511507038296,-4.214994515078573,0.22723369888251843,1.8067158025598136,0.9732767035931309,-0.7917354258053358,0.956308418338,-4.193354910419677,0.1751436163591331,-3.3627214209605087,0.036036354802786004,-4.384721222947684,0.005444047034940103,-4.214889762485395,0.2948559746376803,1.8067227436442177,0.9732742631117669,-4.406683594238955,0.007067389668173654,-3.1701125015140525,0.03443958317570838,1.506122448979592,0.6639566395663956
-3.9878663979657922,0.03217662992012009,-5.119239307997494,0.005876365506404953,-1.2266831909765161,0.9566797439297446,-4.557426554444576,0.2286186655762432,-5.142802456855629,0.007572709745829801,-3.172854666353508,0.03350991497911238,-4.57981134227893,0.22837479106610403,1.513998443743443,0.9730204139237026,-1.2269823315619697,0.9564542297772457,-4.55771319589985,0.1762687192977209,-3.7623463675762343,0.02764844685441126,-5.037197857413656,0.005767555913665014,-4.579816197365517,0.2960827729527377,1.5140129674980058,0.9730171728519754,-5.0596732055734694,0.007476183255529561,-3.1804223165251053,0.03368635315710552,1.5081632653061225,0.6630581867388362
-4.752138931598404,0.016684838909762634,-5.80477361587472,0.005993250555754042,-1.660936608266071,0.9566199422145015,-4.92110752882385,0.22983083616397426,-5.83116538276283,0.007714211263157637,-3.1656818559110738,0.03275797936304811,-4.94332276384123,0.22938449934976163,1.2220881877464964,0.9727942929695412,-1.6612214656815159,0.9563177560394277,-4.921260000256545,0.1773457715960642,-4.246058874505161,0.013842910507653771,-5.690777908292543,0.005995442813037665,-4.9434342303861545,0.29713058609786325,1.2221093191100811,0.9727954375970103,-5.713370992094989,0.007754971379238084,-3.1776897667593387,0.032765420358987496,1.510204081632653,0.6621621621621622
-6.716526807305552,0.012884677463919527,-6.492381019348436,0.005988955887281108,-2.0940098581984063,0.9560922739193998,-5.283793349497644,0.23092560034546164,-6.5202812612438725,0.007711459383820706,-3.1467430767739515,0.03226730026206649,-5.305223320016317,0.23033326214989644,0.9309676246556463,0.972573225491152,-2.0942470682246674,0.9557934520652939,-5.283789879358259,0.17835369350287367,-6.917773324198383,0.0049370928169066635,-6.347055373686314,0.0061151937691477825,-5.305432780538947,0.29809141709598125,0.9309905376476438,0.9725823593542056,-6.369093413151451,0.007892784155396033,-3.1589441587396365,0.03199634085167713,1.5122448979591836,0.6612685560053981
-7.7106200105621205,0.030283226259690762,-7.184430322149842,0.005872042681142866,-2.5255461268470416,0.9551590541375068,-5.645114997609374,0.23191474977169899,-7.212020005661696,0.007574574676763068,-3.123364716994855,0.032239086218433084,-5.6654860944230165,0.23132109756820515,0.6406391757987543,0.9723294761726186,-2.525799615171266,0.9549369649502151,-5.645041273022404,0.17929958522251954,-7.797209631604142,0.022533721088356516,-7.007132198684288,0.006125296901202144,-5.665780677291966,0.2990951060629704,0.6406571860523866,0.9723461794133166,-7.028107634042288,0.007893129455582577,-3.1289781389280362,0.03171133202464914,1.5142857142857142,0.6603773584905661
-8.242984983062511,0.04679059419790126,-7.8823214923171685,0.005662503533115623,-2.955313742375529,0.9541358679747487,-6.004824647037577,0.23287171704014767,-7.907824608039973,0.007322936857689936,-3.105905731130101,0.032665419147044183,-6.024371219197361,0.23242739683077188,0.35112201083145966,0.9720462354900081,-2.9557021250611046,0.9539782485412576,-6.004826529988482,0.18022261698805042,-8.222916936130673,0.03879351409613874,-7.6712961118927705,0.006034540970675981,-6.024732635422568,0.30024409991974466,0.3511299145978755,0.9720656196969129,-7.69120561571344,0.007770022455005034,-3.100022507357864,0.03206092885949792,1.5163265306122449,0.6594885598923285
-8.683586541657405,0.05733527914138858,-8.586293900506991,0.00538377848101546,-3.38337546208533,0.9534344968245575,-6.362961928063451,0.23389516452079462,-8.608451167093877,0.00697737537821836,-3.101713742838112,0.03332586591555572,-6.3822791235034515,0.23367254329097534,0.06244011969478925,0.9717255919130062,-3.383978569560845,0.9532272404685505,-6.363147393358469,0.18117854021906765,-8.603400588380355,0.05055722813996375,-8.338900241916845,0.0058573308099231745,-6.382680654052888,0.3015647547047172,0.062437041365827124,0.9717402412680003,-8.358324223668347,0.0075410150400503015,-3.084855220517701,0.03289984786328874,1.5183673469387755,0.6586021505376344
