wavelengths,s11a,s22a,s11m,s22m,s12a,s21a,s12m,s21m
1.2,-2.21289898307256,-2.21289898307256,0.01279424793325466,0.01279424793325466,2.314846785664125,2.314846785664125,5.973372409944093e-19,5.973372409944093e-19
1.2023529411764706,-5.290811274352019,-5.290811274352019,0.009148023466187009,0.009148023466187009,0.9993130879586598,0.9993130879586598,8.232425286817669e-19,8.232425286817669e-19
1.204705882352941,-4.8031299548698305,-4.8031299548698305,0.0021575694772049967,0.0021575694772049967,-0.2853839612409852,-0.2853839612409852,1.0561784705971531e-18,1.0561784705971531e-18
1.2070588235294117,-5.066983785649395,-5.066983785649395,0.003843949993523514,0.003843949993523514,-1.5993111327814071,-1.5993111327814071,1.2810860878140729e-18,1.2810860878140729e-18
1.2094117647058824,-4.992790199039485,-4.992790199039485,0.003640701474393634,0.003640701474393634,-2.9290430446402396,-2.9290430446402396,1.3922998600470733e-18,1.3922998600470733e-18
1.2117647058823529,-4.350742468569644,-4.350742468569644,0.0009425280427501017,0.0009425280427501017,-4.248005387518548,-4.248005387518548,1.3358913346116225e-18,1.3358913346116225e-18
1.2141176470588235,-5.711998966523358,-5.711998966523358,0.004883755630515575,0.004883755630515575,-5.494002059667444,-5.494002059667444,1.1281427053287777e-18,1.1281427053287777e-18
1.216470588235294,-7.081541557467851,-7.081541557467851,0.006249446495876908,0.006249446495876908,-6.586944987942797,-6.586944987942797,8.547473337684052e-19,8.547473337684052e-19
1.2188235294117646,-4.694906921502747,-4.694906921502747,0.007698668226111433,0.007698668226111433,-7.453859717106127,-7.453859717106127,6.70569582694969e-19,6.70569582694969e-19
1.2211764705882353,-4.120237824061109,-4.120237824061109,0.0012034918676585124,0.0012034918676585124,-8.183256215433552,-8.183256215433552,6.4189628642855355e-19,6.4189628642855355e-19
1.2235294117647058,-5.778072947169149,-5.778072947169149,0.014527665591022032,0.014527665591022032,-8.997250343178697,-8.997250343178697,7.257428880947984e-19,7.257428880947984e-19
1.2258823529411764,-4.078639027351867,-4.078639027351867,0.004817063417814342,0.004817063417814342,-9.922625855094411,-9.922625855094411,8.917468104655403e-19,8.917468104655403e-19
1.228235294117647,-5.129316104682528,-5.129316104682528,0.0035916513392606152,0.0035916513392606152,-10.987751929114747,-10.987751929114747,1.1124253231967734e-18,1.1124253231967734e-18
1.2305882352941175,-3.6703574912798347,-3.6703574912798347,0.0002213166937191939,0.0002213166937191939,-12.18713374113499,-12.18713374113499,1.2826915552611994e-18,1.2826915552611994e-18
1.2329411764705882,-4.511789164579761,-4.511789164579761,0.0037753166065593218,0.0037753166065593218,-13.460544764432823,-13.460544764432823,1.3025409274647182e-18,1.3025409274647182e-18
1.2352941176470589,-5.4908016308159775,-5.4908016308159775,0.011375409645615755,0.011375409645615755,-14.752982560145707,-14.752982560145707,1.1411233444270077e-18,1.1411233444270077e-18
1.2376470588235293,-4.840537076180131,-4.840537076180131,0.006723350746896874,0.006723350746896874,-16.033644240659044,-16.033644240659044,8.712544166785458e-19,8.712544166785458e-19
1.24,-3.796911291020472,-3.796911291020472,0.007931862017496948,0.007931862017496948,-17.322137233837427,-17.322137233837427,5.754774948265572e-19,5.754774948265572e-19
1.2423529411764704,-2.039481861713261,-2.039481861713261,0.009248471863068378,0.009248471863068378,-18.734543935159078,-18.734543935159078,3.277582021595798e-19,3.277582021595798e-19
