s11a,s11m,s31a,s31m,s41a,s41m,s21a,s21m,s22m,s22a,s33m,s33a,s44m,s44a,s12m,s12a,s34m,s34a,s43m,s43a,s13m,s13a,s24m,s24a,s42m,s42a,s14m,s14a,s23m,s23a,s32m,s32a,wavelengths,freqs
1.1048955367609221,0.03671836618569431,-1.5367513843261533,0.38994648752018257,-2.6021189222503778,0.024869048470012433,-2.602166356007003,0.03223867213375029,0.03671836618569431,1.1048955367609221,0.03671836618569431,1.1048955367609221,0.03671836618569431,1.1048955367609221,0.03223867213375029,-2.602166356007003,0.03223867213375029,-2.602166356007003,0.03223867213375029,-2.602166356007003,0.38994648752018257,-1.5367513843261533,0.38994648752018257,-1.5367513843261533,0.38994648752018257,-1.5367513843261533,0.024869048470012433,-2.6021189222503778,0.024869048470012433,-2.6021189222503778,0.024869048470012433,-2.6021189222503778,1.5,0.6666666666666666
0.36566122193231243,0.03061145004324364,-1.7002576401949887,0.38498287147955357,-2.8180777716655423,0.024963773967261103,-2.8181333176786496,0.03233253925558107,0.03061145004324364,0.36566122193231243,0.03061145004324364,0.36566122193231243,0.03061145004324364,0.36566122193231243,0.03233253925558107,-2.8181333176786496,0.03233253925558107,-2.8181333176786496,0.03233253925558107,-2.8181333176786496,0.38498287147955357,-1.7002576401949887,0.38498287147955357,-1.7002576401949887,0.38498287147955357,-1.7002576401949887,0.024963773967261103,-2.8180777716655423,0.024963773967261103,-2.8180777716655423,0.024963773967261103,-2.8180777716655423,1.5020408163265306,0.6657608695652174
-0.43073531746051563,0.03529125248862993,-1.8608076814945198,0.38047856465392693,-3.037630503357914,0.025028962539291762,-3.0376952756168283,0.03238826192559916,0.03529125248862993,-0.43073531746051563,0.03529125248862993,-0.43073531746051563,0.03529125248862993,-0.43073531746051563,0.03238826192559916,-3.0376952756168283,0.03238826192559916,-3.0376952756168283,0.03238826192559916,-3.0376952756168283,0.38047856465392693,-1.8608076814945198,0.38047856465392693,-1.8608076814945198,0.38047856465392693,-1.8608076814945198,0.025028962539291762,-3.037630503357914,0.025028962539291762,-3.037630503357914,0.025028962539291762,-3.037630503357914,1.5040816326530613,0.6648575305291723
-1.0064785598116945,0.04842338479559393,-2.0192715422028202,0.3765727521452952,-3.260867854359637,0.024960068949761643,-3.2609454473793593,0.03227074255571852,0.04842338479559393,-1.0064785598116945,0.04842338479559393,-1.0064785598116945,0.04842338479559393,-1.0064785598116945,0.03227074255571852,-3.2609454473793593,0.03227074255571852,-3.2609454473793593,0.03227074255571852,-3.2609454473793593,0.3765727521452952,-2.0192715422028202,0.3765727521452952,-2.0192715422028202,0.3765727521452952,-2.0192715422028202,0.024960068949761643,-3.260867854359637,0.024960068949761643,-3.260867854359637,0.024960068949761643,-3.260867854359637,1.506122448979592,0.6639566395663956
-1.41070221179308,0.06494985250040095,-2.1765486980304307,0.3732127432822138,-3.4849390784628578,0.024657595305695727,-3.4850342170709356,0.03185184403705429,0.06494985250040095,-1.41070221179308,0.06494985250040095,-1.41070221179308,0.06494985250040095,-1.41070221179308,0.03185184403705429,-3.4850342170709356,0.03185184403705429,-3.4850342170709356,0.03185184403705429,-3.4850342170709356,0.3732127432822138,-2.1765486980304307,0.3732127432822138,-2.1765486980304307,0.3732127432822138,-2.1765486980304307,0.024657595305695727,-3.4849390784628578,0.024657595305695727,-3.4849390784628578,0.024657595305695727,-3.4849390784628578,1.5081632653061225,0.6630581867388362
-1.7306694064189112,0.08229157663232732,-2.3332171266457604,0.370163658646856,-3.7040957313902383,0.024081324804977492,-3.7042134016827415,0.03108035159137769,0.08229157663232732,-1.7306694064189112,0.08229157663232732,-1.7306694064189112,0.08229157663232732,-1.7306694064189112,0.03108035159137769,-3.7042134016827415,0.03108035159137769,-3.7042134016827415,0.03108035159137769,-3.7042134016827415,0.370163658646856,-2.3332171266457604,0.370163658646856,-2.3332171266457604,0.370163658646856,-2.3332171266457604,0.024081324804977492,-3.7040957313902383,0.024081324804977492,-3.7040957313902383,0.024081324804977492,-3.7040957313902383,1.510204081632653,0.6621621621621622
-2.0088948920205585,0.09926347809224759,-2.4892037221150756,0.36712911970198475,-3.9110550964105193,0.023298054256012325,-3.911197801693983,0.030043208937876202,0.09926347809224759,-2.0088948920205585,0.09926347809224759,-2.0088948920205585,0.09926347809224759,-2.0088948920205585,0.030043208937876202,-3.911197801693983,0.030043208937876202,-3.911197801693983,0.030043208937876202,-3.911197801693983,0.36712911970198475,-2.4892037221150756,0.36712911970198475,-2.4892037221150756,0.36712911970198475,-2.4892037221150756,0.023298054256012325,-3.9110550964105193,0.023298054256012325,-3.9110550964105193,0.023298054256012325,-3.9110550964105193,1.5122448979591836,0.6612685560053981
-2.265327056875356,0.11520744837783102,-2.6437210867027763,0.3639619088721424,-4.0998932171105995,0.022491253086451557,-4.100058268031449,0.028977451003885605,0.11520744837783102,-2.265327056875356,0.11520744837783102,-2.265327056875356,0.11520744837783102,-2.265327056875356,0.028977451003885605,-4.100058268031449,0.028977451003885605,-4.100058268031449,0.028977451003885605,-4.100058268031449,0.3639619088721424,-2.6437210867027763,0.3639619088721424,-2.6437210867027763,0.3639619088721424,-2.6437210867027763,0.022491253086451557,-4.0998932171105995,0.022491253086451557,-4.0998932171105995,0.022491253086451557,-4.0998932171105995,1.5142857142857142,0.6603773584905661
-2.5107429881218457,0.12971262940173733,-2.7958112087152633,0.3608794106640688,-4.269939465589145,0.021910564439303903,-4.270117681732526,0.02820457078776666,0.12971262940173733,-2.5107429881218457,0.12971262940173733,-2.5107429881218457,0.12971262940173733,-2.5107429881218457,0.02820457078776666,-4.270117681732526,0.02820457078776666,-4.270117681732526,0.02820457078776666,-4.270117681732526,0.3608794106640688,-2.7958112087152633,0.3608794106640688,-2.7958112087152633,0.3608794106640688,-2.7958112087152633,0.021910564439303903,-4.269939465589145,0.021910564439303903,-4.269939465589145,0.021910564439303903,-4.269939465589145,1.5163265306122449,0.6594885598923285
-2.752498447539186,0.14242013861640626,-2.9454150505627474,0.3583666690786324,-4.428317100890199,0.021774658234424003,-4.428494280271157,0.028005241066959133,0.14242013861640626,-2.752498447539186,0.14242013861640626,-2.752498447539186,0.14242013861640626,-2.752498447539186,0.028005241066959133,-4.428494280271157,0.028005241066959133,-4.428494280271157,0.028005241066959133,-4.428494280271157,0.3583666690786324,-2.9454150505627474,0.3583666690786324,-2.9454150505627474,0.3583666690786324,-2.9454150505627474,0.021774658234424003,-4.428317100890199,0.021774658234424003,-4.428317100890199,0.021774658234424003,-4.428317100890199,1.5183673469387755,0.6586021505376344
