wavelengths,s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m
1.5999999999999999,0.4932549389436157,-2.5476192268170808,-2.547623300100584,0.39395448933787086,2.584302303948548e-05,0.9999982019307814,1.0000080352832081,2.6838834046928245e-05
1.5989319092122831,0.4027590134131601,-2.5202506104014004,-2.5202545644207843,0.3121603057754872,2.777962115798165e-05,0.9999987622962103,1.0000085679845216,2.9022211406946457e-05
1.5978652434956637,0.3252143529795022,-2.4928841536680317,-2.4928879872437917,0.24282674885027322,2.986613976975478e-05,0.9999993169143843,1.0000090867640752,3.132189230689195e-05
1.5968000000000002,0.2587674177825336,-2.4655198653063946,-2.4655235775224216,0.18385732668178978,3.206238694265948e-05,0.9999998642389449,1.0000095900766623,3.3701610692119305e-05
1.5957361758827449,0.2017192037858044,-2.4381577539522676,-2.4381613441600973,0.13348496535097354,3.43364368049987e-05,1.0000004027800629,1.0000100764470754,3.613324873170224e-05
1.5946737683089214,0.15260342172896063,-2.410797828183911,-2.410801296006398,0.09026518347639977,3.6662868309284536e-05,1.0000009311109024,1.0000105444768839,3.859472387992746e-05
1.593612774451098,0.1101939541474103,-2.383440096517989,-2.3834434418523758,0.05303379197875073,3.902120395694497e-05,1.0000014478736607,1.0000109928507581,4.106835081386707e-05
1.5925531914893618,0.07348176211179819,-2.356084567405034,-2.3560877904253883,0.020857056506262735,4.1394654737778185e-05,1.0000019517851404,1.0000114203422992,4.3539627031849855e-05
1.591495016611296,0.041642177108872615,-2.3287312492246075,-2.3287343503835922,-0.007014306509173263,4.376915948267092e-05,1.000002441641857,1.0000118258193593,4.5996351612104095e-05
1.5904382470119522,0.014002228735395705,-2.3013801502802105,-2.3013831303101697,-0.03118374903597947,4.6132668250849856e-05,1.0000029163246533,1.000012208248846,4.8427991730010934e-05
1.589382879893829,-0.00998821861520499,-2.274031278794007,-2.274034138707339,-0.052139890736905704,4.8474614930468196e-05,1.000003374802796,1.0000125667009563,5.082522876810374e-05
1.5883289124668436,-0.03078053459883584,-2.2466846429012457,-2.2466873839900394,-0.07028085716900315,5.0785531857956266e-05,1.00000381613753,1.0000129003528453,5.317963328091164e-05
1.5872763419483102,-0.048746801407726026,-2.219340250644567,-2.2193428744794903,-0.08593318968799156,5.305676933477536e-05,1.0000042394851407,1.0000132084917401,5.548343219885172e-05
1.5862251655629138,-0.06419533314463371,-2.191998109968227,-2.1920006183966407,-0.09936648352552661,5.528029218103952e-05,1.0000046440994357,1.000013490517449,5.772934226200515e-05
1.5851753805426867,-0.07738294523649109,-2.164658228712156,-2.1646606238554473,-0.11080471941679156,5.744853282404026e-05,1.000005029333661,1.0000137459442477,5.991045126964546e-05
1.5841269841269838,-0.08852462483459941,-2.1373206146060304,-2.137322898856149,-0.12043505567010371,5.955428594195114e-05,1.0000053946419247,1.0000139744022303,6.202013404455769e-05
1.5830799735624588,-0.09780114970075354,-2.1099852752632837,-2.109987451278475,-0.12841467281848648,6.159063382926322e-05,1.0000057395800173,1.0000141756380099,6.405199383074985e-05
1.5820343461030382,-0.10536509770724388,-2.082652218175255,-2.082654288874984,-0.13487612285238057,6.355089455824245e-05,1.0000060638056807,1.0000143495148206,6.599982242452291e-05
1.5809900990099008,-0.11134559510175936,-2.0553214507052093,-2.055323419264274,-0.13993152516231264,6.54285871980026e-05,1.0000063670783756,1.0000144960120645,6.785757424571983e-05
1.5799472295514514,-0.11585207463260659,-2.027992980082694,-2.0279948499245277,-0.1436758680642359,6.721740985260719e-05,1.000006649258484,1.0000146152242473,6.96193508317174e-05
1.5789057350032958,-0.11897725257640371,-2.000666813397839,-2.000668588187006,-0.14618961124133079,6.891122743336823e-05,1.0000069103059794,1.0000147073593313,7.127939320966507e-05
1.5778656126482213,-0.12079948608343917,-1.9733429575959722,-1.9733446412298636,-0.14754073739831705,7.050406688176907e-05,1.0000071502786247,1.0000147727365647,7.283208027393352e-05
1.5768268597761685,-0.12138463400548684,-1.9460214194723326,-1.946023016072075,-0.14778636478272153,7.199011814705227e-05,1.0000073693296503,1.0000148117837437,7.427193177670772e-05
1.5757894736842104,-0.1207875158974857,-1.918702205667146,-1.9187037195677359,-0.14697400548704562,7.336373971093441e-05,1.000007567704951,1.0000148250339398,7.55936149416017e-05
1.5747534516765287,-0.11905304081810487,-1.8913853226608475,-1.8913867584005264,-0.1451425330722816,7.461946775609275e-05,1.0000077457398615,1.0000148131217603,7.679195396565684e-05
1.573718791064389,-0.11621706040463109,-1.864070776769667,-1.8640721390785613,-0.14232290742731343,7.575202833848746e-05,1.0000079038554803,1.0000147767791068,7.786194188365716e-05
1.5726854891661195,-0.11230698596964317,-1.836758574141586,-1.8367598679296342,-0.13853869134354668,7.675635218343096e-05,1.000008042554592,1.000014716830483,7.879875448225254e-05
1.5716535433070866,-0.10734219872376878,-1.8094487207525296,-1.8094499510967221,-0.1338063836913966,7.762759180835516e-05,1.0000081624172188,1.000014634187894,7.959776602348835e-05
1.570622950819672,-0.10133427218607985,-1.7821412224031004,-1.782142394534066,-0.1281355849126891,7.836114092915904e-05,1.00000826409582,1.000014529845338,8.025456673813469e-05
