wavelengths,s11a,s22a,s11m,s22m,s12a,s21a,s12m,s21m
1.5,2.3174139683439603,2.3174139683439603,0.00010607039759253492,0.00010607039759253492,0.6053983607199721,0.6053983607199721,2.797520603669865e-16,2.797520603669865e-16
1.5020408163265306,1.5853313732442542,1.5853313732442542,3.210288799973406e-05,3.210288799973406e-05,0.04749278477726548,0.04749278477726548,2.52231036107167e-16,2.52231036107167e-16
1.5040816326530613,4.617377582828128,4.617377582828128,7.529669713180541e-05,7.529669713180541e-05,-0.4740653050262198,-0.4740653050262198,2.1830770867723163e-16,2.1830770867723163e-16
1.506122448979592,4.175426076371938,4.175426076371938,0.00018943175408428286,0.00018943175408428286,-0.93597127863314,-0.93597127863314,1.8126536079791363e-16,1.8126536079791363e-16
1.5081632653061225,3.589560598860108,3.589560598860108,0.00027164531463188364,0.00027164531463188364,-1.295707726795003,-1.295707726795003,1.4635386221461714e-16,1.4635386221461714e-16
1.510204081632653,2.7994751015459083,2.7994751015459083,0.000300849667815927,0.000300849667815927,-1.4993413222835492,-1.4993413222835492,1.234176807667362e-16,1.234176807667362e-16
1.5122448979591836,1.7448676419493396,1.7448676419493396,0.00020497691823642738,0.00020497691823642738,-1.5972641253422981,-1.5972641253422981,1.26484414727008e-16,1.26484414727008e-16
1.5142857142857142,0.4822757525323894,0.4822757525323894,5.532280661615646e-05,5.532280661615646e-05,-1.7914790420858708,-1.7914790420858708,1.58709232612948e-16,1.58709232612948e-16
1.5163265306122449,-1.7680881064598057,-1.7680881064598057,0.00011206727541575671,0.00011206727541575671,-2.144175356350759,-2.144175356350759,2.0897727475652628e-16,2.0897727475652628e-16
1.5183673469387755,-2.520369717996283,-2.520369717996283,0.0001646864696272154,0.0001646864696272154,-2.599696020383993,-2.599696020383993,2.6683768095853097e-16,2.6683768095853097e-16
1.5204081632653061,-3.067787130760463,-3.067787130760463,0.00018185940744039027,0.00018185940744039027,-3.110926190979099,-3.110926190979099,3.257479622163948e-16,3.257479622163948e-16
1.5224489795918368,-3.3825290003006625,-3.3825290003006625,0.0001708981848594333,0.0001708981848594333,-3.6516315539171122,-3.6516315539171122,3.8135517435978764e-16,3.8135517435978764e-16
1.5244897959183674,-3.688504438837075,-3.688504438837075,0.00014593831717697945,0.00014593831717697945,-4.207548769216593,-4.207548769216593,4.3064961806610885e-16,4.3064961806610885e-16
1.5265306122448983,-3.921047929887254,-3.921047929887254,0.0001118294405155467,0.0001118294405155467,-4.770635668380173,-4.770635668380173,4.715985303625879e-16,4.715985303625879e-16
1.5285714285714287,-3.905181362462789,-3.905181362462789,7.055162399563791e-05,7.055162399563791e-05,-5.336228177314903,-5.336228177314903,5.028265078890398e-16,5.028265078890398e-16
1.530612244897959,-3.112983627803884,-3.112983627803884,5.4019488242389564e-05,5.4019488242389564e-05,-5.901686169288811,-5.901686169288811,5.233339769795311e-16,5.233339769795311e-16
1.5326530612244897,-2.9083012959529153,-2.9083012959529153,8.692414538930676e-05,8.692414538930676e-05,-6.464969884170625,-6.464969884170625,5.322231922559741e-16,5.322231922559741e-16
1.5346938775510204,-3.0430696043708814,-3.0430696043708814,0.00011870781562994635,0.00011870781562994635,-7.023973260526644,-7.023973260526644,5.287121219996439e-16,5.287121219996439e-16
1.536734693877551,-3.314280302022094,-3.314280302022094,0.00014778781433040004,0.00014778781433040004,-7.575475067504749,-7.575475067504749,5.123729954750346e-16,5.123729954750346e-16
1.5387755102040817,-3.592985885459809,-3.592985885459809,0.00015462685757842596,0.00015462685757842596,-8.114776729585996,-8.114776729585996,4.835168102075119e-16,4.835168102075119e-16
1.5408163265306123,-3.9299228284176864,-3.9299228284176864,0.00014688755579372236,0.00014688755579372236,-8.634702520386405,-8.634702520386405,4.435606490966413e-16,4.435606490966413e-16
1.542857142857143,-4.288302841684325,-4.288302841684325,0.00011073570302633814,0.00011073570302633814,-9.124706488556516,-9.124706488556516,3.9528925423702024e-16,3.9528925423702024e-16
1.5448979591836736,-4.568398643126765,-4.568398643126765,4.776452567576834e-05,4.776452567576834e-05,-9.568889141260922,-9.568889141260922,3.4312291052713373e-16,3.4312291052713373e-16
1.546938775510204,-2.0993833951003777,-2.0993833951003777,3.958254999418541e-05,3.958254999418541e-05,-9.944530902695107,-9.944530902695107,2.937635375377498e-16,2.937635375377498e-16
1.5489795918367348,-2.771345983914893,-2.771345983914893,0.00013443735844737066,0.00013443735844737066,-10.228393738820149,-10.228393738820149,2.573882433883179e-16,2.573882433883179e-16
1.5510204081632653,-3.2704282450709936,-3.2704282450709936,0.00019240492781446962,0.00019240492781446962,-10.432083369554372,-10.432083369554372,2.4706223934935616e-16,2.4706223934935616e-16
1.5530612244897959,-3.955900377653708,-3.955900377653708,0.00018924527563459503,0.00018924527563459503,-10.63648639023696,-10.63648639023696,2.709076856508722e-16,2.709076856508722e-16
1.5551020408163265,-4.3632491529125055,-4.3632491529125055,0.00013652092742885493,0.00013652092742885493,-10.920132103130571,-10.920132103130571,3.242434614310544e-16,3.242434614310544e-16
1.5571428571428572,-4.5407297596552425,-4.5407297596552425,6.862082822194197e-05,6.862082822194197e-05,-11.291463269761243,-11.291463269761243,3.956778706520784e-16,3.956778706520784e-16
1.5591836734693876,-3.865401048502797,-3.865401048502797,3.4613311947342966e-05,3.4613311947342966e-05,-11.725576272965853,-11.725576272965853,4.749709306339478e-16,4.749709306339478e-16
1.5612244897959184,-3.3816554417057354,-3.3816554417057354,7.634084019270655e-05,7.634084019270655e-05,-12.198491090271835,-12.198491090271835,5.544468973693704e-16,5.544468973693704e-16
1.563265306122449,-3.4949517982361145,-3.4949517982361145,0.0001117504745441762,0.0001117504745441762,-12.693281038504445,-12.693281038504445,6.284961714432723e-16,6.284961714432723e-16
1.5653061224489797,-3.724093927829577,-3.724093927829577,0.00012949783958897965,0.00012949783958897965,-13.198389545209071,-13.198389545209071,6.934190084622775e-16,6.934190084622775e-16
1.5673469387755101,-3.983840692913245,-3.983840692913245,0.000132863560822548,0.000132863560822548,-13.705994340553474,-13.705994340553474,7.474697575538108e-16,7.474697575538108e-16
1.569387755102041,-4.254758017281529,-4.254758017281529,0.00012655249216969472,0.00012655249216969472,-14.211096801070319,-14.211096801070319,7.906815226490097e-16,7.906815226490097e-16
1.5714285714285714,-4.398229147651693,-4.398229147651693,0.00010528687909602492,0.00010528687909602492,-14.710902000429218,-14.710902000429218,8.24314709264227e-16,8.24314709264227e-16
