s11a,s11m,s21a,s21m,s22m,s22a,s12m,s12a,wavelengths,freqs
-3.0052000913319468,0.030256737621554928,-2.704879661920438,1.0002039421067987,0.030256737621554928,-3.0052000913319468,1.0002039421067987,-2.704879661920438,1.5,0.6666666666666666
-2.9990190078210692,0.030489712920101945,-2.739570757002349,1.000193359513922,0.030489712920101945,-2.9990190078210692,1.000193359513922,-2.739570757002349,1.5020408163265306,0.6657608695652174
-2.993723809008625,0.03073546087104624,-2.7741614045003873,1.0001823687152118,0.03073546087104624,-2.993723809008625,1.0001823687152118,-2.7741614045003873,1.5040816326530613,0.6648575305291723
-2.989320650435672,0.030991802010840463,-2.808652025824224,1.000171033408006,0.030991802010840463,-2.989320650435672,1.000171033408006,-2.808652025824224,1.506122448979592,0.6639566395663956
-2.9858085157226553,0.03125658363785709,-2.843043044373059,1.0001594182609594,0.03125658363785709,-2.9858085157226553,1.0001594182609594,-2.843043044373059,1.5081632653061225,0.6630581867388362
-2.98318003996526,0.031527693251459085,-2.8773348857228167,1.0001475877423462,0.031527693251459085,-2.98318003996526,1.0001475877423462,-2.8773348857228167,1.510204081632653,0.6621621621621622
-2.981422322955359,0.03180306987105453,-2.9115279773757288,1.0001356066927025,0.03180306987105453,-2.981422322955359,1.0001356066927025,-2.9115279773757288,1.5122448979591836,0.6612685560053981
-2.980517711022012,0.03208071341061801,-2.945622748792175,1.0001235396231356,0.03208071341061801,-2.980517711022012,1.0001235396231356,-2.945622748792175,1.5142857142857142,0.6603773584905661
-2.9804445319660973,0.032358692303990244,-2.9796196312943755,1.00011145055099,0.032358692303990244,-2.9804445319660973,1.00011145055099,-2.9796196312943755,1.5163265306122449,0.6594885598923285
-2.98117777260532,0.032635149586682316,-3.013519057992613,1.0000994027594896,0.032635149586682316,-2.98117777260532,1.0000994027594896,-3.013519057992613,1.5183673469387755,0.6586021505376344
-2.982689692799291,0.032908307642092155,-3.047321463716597,1.000087458556543,0.032908307642092155,-2.982689692799291,1.000087458556543,-3.047321463716597,1.5204081632653061,0.6577181208053691
-2.984950373447831,0.03317647181426494,-3.08102728494792,1.0000756790215306,0.03317647181426494,-2.984950373447831,1.0000756790215306,-3.08102728494792,1.5224489795918368,0.6568364611260054
-2.987928198867598,0.033438033075912484,-3.1146369597438364,1.000064123734288,0.033438033075912484,-2.987928198867598,1.000064123734288,-3.1146369597438364,1.5244897959183674,0.6559571619812583
-2.99159027612597,0.033691469920313216,-3.1481509276402613,1.000052850486196,0.033691469920313216,-2.99159027612597,1.000052850486196,-3.1481509276402613,1.526530612244898,0.6550802139037433
-2.995902795437272,0.033935349620623535,-3.18156962952326,1.0000419149801762,0.033935349620623535,-2.995902795437272,1.0000419149801762,-3.18156962952326,1.5285714285714287,0.6542056074766355
-3.0008313366122414,0.03416832897292386,-3.2148935074623988,1.0000313705314425,0.03416832897292386,-3.0008313366122414,1.0000313705314425,-3.2148935074623988,1.530612244897959,0.6533333333333333
-3.006341126934599,0.03438915461270022,-3.248123004505554,1.0000212677827605,0.03438915461270022,-3.006341126934599,1.0000212677827605,-3.248123004505554,1.5326530612244897,0.6524633821571239
-3.012397255819739,0.034596662971305904,-3.2812585644411394,1.0000116544467337,0.034596662971305904,-3.012397255819739,1.0000116544467337,-3.2812585644411394,1.5346938775510204,0.6515957446808511
-3.018964851316068,0.03478977992067423,-3.314300631538012,1.0000025750833619,0.03478977992067423,-3.018964851316068,1.0000025750833619,-3.314300631538012,1.536734693877551,0.650730411686587
-3.0260092230749396,0.034967520142359404,-3.3472496502752596,0.9999940709153732,0.034967520142359404,-3.0260092230749396,0.9999940709153732,-3.3472496502752596,1.5387755102040817,0.649867374005305
-3.0334959759253963,0.03512898624968267,-3.3801060650727934,0.9999861796781403,0.03512898624968267,-3.0334959759253963,0.9999861796781403,-3.3801060650727934,1.5408163265306123,0.6490066225165563
-3.0413910977308984,0.035273367688705315,-3.4128703200293686,0.9999789354969405,0.035273367688705315,-3.0413910977308984,0.9999789354969405,-3.4128703200293686,1.542857142857143,0.6481481481481481
-3.0496610247980773,0.03539993944273085,-3.4455428586699837,0.9999723687828942,0.03539993944273085,-3.0496610247980773,0.9999723687828942,-3.4455428586699837,1.5448979591836736,0.6472919418758256
-3.0582726877697026,0.035508060564130944,-3.4781241236988536,0.9999665061406962,0.035508060564130944,-3.0582726877697026,0.9999665061406962,-3.4781241236988536,1.5469387755102042,0.646437994722955
-3.067193540642621,0.03559717255783188,-3.5106145567518485,0.99996137028429,0.03559717255783188,-3.067193540642621,0.99996137028429,-3.5106145567518485,1.5489795918367348,0.6455862977602107
-3.0763915752808235,0.03566679763542833,-3.5430145981402075,0.9999569799632323,0.03566679763542833,-3.0763915752808235,0.9999569799632323,-3.5430145981402075,1.5510204081632653,0.6447368421052632
-3.085835323528527,0.0357165368594632,-3.575324686580747,0.9999533499052261,0.0357165368594632,-3.085835323528527,0.9999533499052261,-3.575324686580747,1.5530612244897959,0.6438896189224704
-3.0954938487472754,0.03574606819269775,-3.6075452589114687,0.9999504907838965,0.03574606819269775,-3.0954938487472754,0.9999504907838965,-3.6075452589114687,1.5551020408163265,0.6430446194225722
-3.1053367283023645,0.03575514446300971,-3.639676749796218,0.999948409221982,0.03575514446300971,-3.1053367283023645,0.999948409221982,-3.639676749796218,1.5571428571428572,0.6422018348623854
-3.1153340282388293,0.03574359125698292,-3.671719591427686,0.9999471078357498,0.03574359125698292,-3.1153340282388293,0.9999471078357498,-3.671719591427686,1.5591836734693878,0.6413612565445026
-3.1254562711139133,0.035711304754478604,-3.70367421324064,0.9999465853225177,0.035711304754478604,-3.1254562711139133,0.9999465853225177,-3.70367421324064,1.5612244897959184,0.6405228758169934
-3.1356743977260892,0.035658249517278744,-3.7355410416464707,0.9999468365885509,0.035658249517278744,-3.1356743977260892,0.9999468365885509,-3.7355410416464707,1.563265306122449,0.639686684073107
-3.1459597233287977,0.03558445625237009,-3.7673204997992125,0.999947852907293,0.03558445625237009,-3.1459597233287977,0.999947852907293,-3.7673204997992125,1.5653061224489797,0.6388526727509778
-3.156283888820754,0.03549001957022101,-3.7990130073967863,0.9999496220966835,0.03549001957022101,-3.156283888820754,0.9999496220966835,-3.7990130073967863,1.5673469387755103,0.6380208333333333
-3.1666188073927595,0.035375095764594834,-3.830618980516457,0.9999521287024848,0.035375095764594834,-3.1666188073927595,0.9999521287024848,-3.830618980516457,1.569387755102041,0.6371911573472041
-3.176936607126574,0.03523990063752503,-3.8621388314775773,0.9999553541779643,0.03523990063752503,-3.176936607126574,0.9999553541779643,-3.8621388314775773,1.5714285714285714,0.6363636363636364
-3.187209570116885,0.03508470739664542,-3.8935729687216756,0.9999592770538797,0.03508470739664542,-3.187209570116885,0.9999592770538797,-3.8935729687216756,1.573469387755102,0.6355382619974059
-3.1974100687329594,0.03490984464558188,-3.9249217966990924,0.99996387309922,0.03490984464558188,-3.1974100687329594,0.99996387309922,-3.9249217966990924,1.5755102040816327,0.6347150259067358
-3.207510499692235,0.03471569448575905,-3.9561857157536586,0.9999691154779128,0.03471569448575905,-3.207510499692235,0.9999691154779128,-3.9561857157536586,1.5775510204081633,0.6338939197930142
-3.2174832166324236,0.03450269074266099,-3.987365122001394,0.9999749749102773,0.03450269074266099,-3.2174832166324236,0.9999749749102773,-3.987365122001394,1.579591836734694,0.6330749354005167
-3.2273004618664856,0.034271317325376464,-4.018460407204971,0.9999814198485625,0.034271317325376464,-3.2273004618664856,0.9999814198485625,-4.018460407204971,1.5816326530612246,0.632258064516129
-3.236934297987368,0.03402210672504883,-4.049471958650898,0.9999884166736147,0.03402210672504883,-3.236934297987368,0.9999884166736147,-4.049471958650898,1.5836734693877552,0.6314432989690721
-3.2463565399818695,0.03375563865557992,-4.080400159039712,0.9999959299150964,0.03375563865557992,-3.2463565399818695,0.9999959299150964,-4.080400159039712,1.5857142857142859,0.6306306306306306
-3.2555386885500277,0.03347253884126897,-4.111245386400363,1.0000039224912742,0.03347253884126897,-3.2555386885500277,1.0000039224912742,-4.111245386400363,1.5877551020408165,0.6298200514138816
-3.264451865393634,0.03317347795306546,-4.1420080140369295,1.000012355959823,0.03317347795306546,-3.264451865393634,1.000012355959823,-4.1420080140369295,1.5897959183673471,0.6290115532734274
-3.2730667514142358,0.032859170699869975,-4.172688410511566,1.0000211907661518,0.032859170699869975,-3.2730667514142358,1.0000211907661518,-4.172688410511566,1.5918367346938775,0.6282051282051282
-3.281353528979161,0.032530375077735305,-4.203286939660344,1.000030386475992,0.032530375077735305,-3.281353528979161,1.000030386475992,-4.203286939660344,1.5938775510204082,0.6274007682458387
-3.2892818297153203,0.032187891779585205,-4.233803960633148,1.0000399019810289,0.032187891779585205,-3.2892818297153203,1.0000399019810289,-4.233803960633148,1.5959183673469388,0.6265984654731458
-3.296820689643821,0.031832563764129955,-4.264239827944223,1.0000496956718326,0.031832563764129955,-3.296820689643821,1.0000496956718326,-4.264239827944223,1.5979591836734695,0.6257982120051085
-3.3039385138431356,0.03146527597665945,-4.294594891518639,1.0000597255796249,0.03146527597665945,-3.3039385138431356,1.0000597255796249,-4.294594891518639,1.6,0.625
