s11a,s11m,wavelengths
2.243820003108126,0.01587634394131634,1.52
1.7382800797758422,0.01679693413892534,1.5212244897959184
1.2226834519491632,0.017782602384824125,1.5224489795918368
0.7170318249450531,0.018634836421349547,1.5236734693877552
0.23724843267231363,0.01910372223862286,1.5248979591836735
-0.2059279427029695,0.01900464752585102,1.526122448979592
-0.6039392205009647,0.018298960510729958,1.5273469387755103
-0.9481524727134615,0.017156066774727162,1.5285714285714287
-1.2328419658856398,0.015969619661286072,1.5297959183673473
-1.4688814059753272,0.015218168907769787,1.5310204081632655
-1.6918979209531042,0.015175316293490159,1.5322448979591836
-1.9435022733318497,0.015762945722770316,1.533469387755102
-2.250014757884289,0.016671239783990727,1.5346938775510204
-2.6199124775822127,0.017546111336083022,1.5359183673469388
-3.0492182093518836,0.018099853070524214,1.5371428571428571
-3.526006711906638,0.018227577471030033,1.5383673469387755
-4.033430596615755,0.018029730860921554,1.539591836734694
-4.551621513459757,0.017691477737934697,1.5408163265306123
-5.0590126081380316,0.017324807357801217,1.5420408163265307
-5.534710561960658,0.016927761200747644,1.5432653061224488
-5.962158803286632,0.016461680778828747,1.5444897959183674
-6.332809872577471,0.015964479576557784,1.5457142857142858
-6.647186566595614,0.015536845211275366,1.546938775510204
-6.912308989834097,0.01533068446490394,1.5481632653061224
-7.142089119019359,0.015571061238375643,1.549387755102041
-7.367505581822809,0.01648997599371408,1.5506122448979591
-7.627319416365573,0.018012354240254345,1.5518367346938775
-7.941446196056226,0.01968524373208185,1.5530612244897959
-8.306992894652193,0.02097208072626303,1.5542857142857143
-8.713571542621118,0.021532472495599673,1.5555102040816327
-9.151627919495567,0.021284668265969,1.556734693877551
-9.613109596380063,0.020365434471105604,1.5579591836734696
-10.089408747257327,0.0190684180560848,1.5591836734693876
-10.570545413608702,0.017731190660464892,1.5604081632653062
-11.04530597643256,0.016569862375426583,1.5616326530612246
-11.49799564861734,0.015586385386050589,1.5628571428571432
-11.904985738140695,0.014681148209063227,1.5640816326530613
-12.237708376217078,0.01392081378597031,1.5653061224489797
-12.485845890027239,0.01374421764133997,1.566530612244898
-12.690641988400564,0.014689189648722584,1.5677551020408165
-12.920915620774974,0.01675852365149131,1.5689795918367349
-13.205576679257517,0.019398042031503155,1.570204081632653
-13.537845312727136,0.021968141168871743,1.5714285714285714
-13.90425022400908,0.023963401524831555,1.5726530612244898
-14.294436124802264,0.025031683671208897,1.5738775510204082
-14.700077318034507,0.025030536446618925,1.5751020408163265
-15.115542945175498,0.024044695911966615,1.576326530612245
-15.538481965230377,0.022332066817009145,1.577551020408163
-15.967502334859734,0.020191517033874833,1.5787755102040817
-16.39803774930494,0.01791120352907691,1.58
