s11a,s11m,s21a,s21m,s12a,s12m,s22a,s22m,wavelengths,freqs
-3.1407203456141453,0.014989412596423933,-0.20970188833512984,0.9999924241877618,-0.20970185348182416,0.9999924467469928,-3.1410341713651717,0.014994119869613846,1.5,0.6666666666666666
-3.1405650682236868,0.014950591531999432,-0.26629145018277467,0.9999902477492125,-0.26629140819663144,0.9999902787160168,-3.1409132899007406,0.014954701003791497,1.5020408163265306,0.6657608695652174
-3.1404077422328616,0.014912058486423393,-0.3227250466653011,0.999988181155949,-0.3227249987130407,0.9999882212375056,-3.1407854336784484,0.014915519408353008,1.5040816326530613,0.6648575305291723
-3.140249151402242,0.014873812692134196,-0.37900333347675297,0.9999862198860268,-0.37900328078193574,0.9999862696405216,-3.1406510297896184,0.014876583933521642,1.506122448979592,0.6639566395663956
-3.1400900860327727,0.014835852118509811,-0.435126962089209,0.9999843583465812,-0.43512690591377506,0.9999844181817122,-3.1405105896234886,0.014837902535202861,1.5081632653061225,0.6630581867388362
-3.1399313316417747,0.014798173486152623,-0.49109657978752724,0.9999825902732539,-0.49109652141476734,0.9999826604466975,-3.1403646997487007,0.014799482142153497,1.510204081632653,0.6621621621621622
-3.1397736569626336,0.014760772304227945,-0.5469128297364506,0.9999809091030436,-0.5469127704552884,0.9999809897240071,-3.1402140109342986,0.014761328548509197,1.5122448979591836,0.6612685560053981
-3.1396178019610494,0.01472364293640434,-0.6025763510717097,0.9999793083041116,-0.6025762921617738,0.9999793993354279,-3.1400592260620352,0.014723446339160342,1.5142857142857142,0.6603773584905661
-3.1394644666481826,0.014686778693651144,-0.6580877790037406,0.9999777816533124,-0.6580877217205318,0.9999778829140329,-3.1399010877758817,0.014685838847676281,1.5163265306122449,0.6594885598923285
-3.139314301328304,0.014650171948012712,-0.7134477449228274,0.9999763234595239,-0.7134476904824588,0.9999764346284318,-3.139740366567248,0.014648508142048806,1.5183673469387755,0.6586021505376344
-3.139167898636463,0.01461381425884113,-0.7686568764982992,0.9999749287366383,-0.7686568260617068,0.9999750493574143,-3.139577849702523,0.014611455030741452,1.5204081632653061,0.6577181208053691
-3.1390257873572986,0.014577696500301808,-0.8237157977677733,0.9999735933325264,-0.8237157524247923,0.9999737228212896,-3.1394143310308356,0.014574679078874258,1.5224489795918368,0.6568364611260054
-3.1388884277485674,0.014541808985612057,-0.8786251292182199,0.9999723140208179,-0.8786250899723594,0.999972451676482,-3.1392506014443327,0.014538178631152926,1.5244897959183674,0.6559571619812583
-3.1387562079240836,0.014506141582484687,-0.9333854878616286,0.9999710885597025,-0.9333854556165777,0.9999712335770766,-3.1390874396096176,0.014501950837238138,1.526530612244898,0.6550802139037433
-3.1386294408933875,0.01447068382284398,-0.9879974873101061,0.9999699157196213,-0.9879974628588885,0.9999700672046841,-3.138925602651477,0.014465991683833486,1.5285714285714287,0.6542056074766355
-3.1385083620036807,0.014435425009754067,-1.04246173785248,0.999968795279056,-1.0424617218698102,0.9999689522654147,-3.1387658166450296,0.014430296037489392,1.530612244897959,0.6533333333333333
-3.1383931267826783,0.014400354326877685,-1.0967788465322676,0.9999677279869494,-1.0967788395701288,0.9999678894523772,-3.1386087670433263,0.014394857704156024,1.5326530612244897,0.6524633821571239
-3.1382838093922203,0.014365460954128696,-1.1509494172240367,0.9999667154911994,-1.1509494197099948,0.9999668803732987,-3.1384550893929837,0.014359669509457924,1.5346938775510204,0.6515957446808511
-3.1381804035201553,0.014330731847829995,-1.2049740506576392,0.9999657602136968,-1.2049740628950594,0.9999659274241119,-3.138305362327528,0.0143247210578632,1.536734693877551,0.650730411686587
-3.138082817313189,0.014296161223909525,-1.2588533446549013,0.9999648653036255,-1.2588533668241753,0.9999650337409036,-3.138160094438902,0.01429000820873655,1.5387755102040817,0.649867374005305
-3.1379908843778934,0.01426173667203891,-1.3125878939044262,0.999964034360998,-1.312587926064491,0.9999642029222361,-3.1380197275211565,0.014255519196442013,1.5408163265306123,0.6490066225165563
-3.1379043619797287,0.014227448602025556,-1.3661782901607042,0.9999632713573007,-1.3661783322505803,0.9999634389495314,-3.137884626912898,0.014221244094851157,1.542857142857143,0.6481481481481481
-3.1378229378228983,0.01419328802188662,-1.4196251222069676,0.9999625804504515,-1.4196251740475012,0.9999627460023046,-3.1377550807878913,0.01418717262483315,1.5448979591836736,0.6472919418758256
-3.13774623645227,0.01415924662646121,-1.4729289758479873,0.9999619658252866,-1.472929037144371,0.9999621282993457,-3.137631299336728,0.014153294282741893,1.5469387755102042,0.646437994722955
-3.1376738252477523,0.014125317773625651,-1.5260904339135934,0.9999614316088088,-1.52609050425943,0.9999615900146663,-3.1375134139095153,0.014119599366246252,1.5489795918367348,0.6455862977602107
-3.137605225575758,0.0140914929242791,-1.5791100761606074,0.999960981475861,-1.5791101550441542,0.9999611348832819,-3.1374014816911227,0.014086075472911507,1.5510204081632653,0.6447368421052632
-3.1375399151182,0.014057766139458505,-1.63198847934289,0.9999606188367431,-1.6319885661558473,0.9999607663882243,-3.1372954821138257,0.014052712064172421,1.5530612244897959,0.6438896189224704
-3.137477334191324,0.014024134283302514,-1.6847262172016013,0.9999603467515865,-1.6847263112502777,0.9999604876732621,-3.1371953178145273,0.014019500742466839,1.5551020408163265,0.6430446194225722
-3.1374168981592123,0.013990592323032432,-1.7373238603305867,0.9999601674786067,-1.7373239608487878,0.9999603010886569,-3.1371008221990384,0.013986430631558864,1.5571428571428572,0.6422018348623854
-3.137357998752536,0.01395713802780099,-1.7897819762614946,0.9999600827357269,-1.7897820824242163,0.9999602084499503,-3.137011756748701,0.013953493160673416,1.5591836734693878,0.6413612565445026
-3.1373000185309268,0.013923766349392474,-1.842101129288271,0.9999600931938386,-1.8421012402250907,0.9999602105283698,-3.1369278219804104,0.013920676533905628,1.5612244897959184,0.6405228758169934
-3.1372423262217146,0.013890478850868996,-1.8942818806834767,0.9999601991622293,-1.894281995490885,0.9999603077340973,-3.136848650374503,0.013887975249676186,1.563265306122449,0.639686684073107
-3.1371842958929443,0.013857275238814214,-1.9463247884391768,0.9999603999012094,-1.946324906191249,0.999960499427446,-3.136773823433694,0.013855381724293505,1.5653061224489797,0.6388526727509778
-3.1371253160258843,0.013824153323162837,-1.9982304072152246,0.9999606936018991,-1.9982305269727463,0.9999607838982212,-3.136702879529324,0.013822886342535303,1.5673469387755103,0.6380208333333333
-3.1370647856494562,0.01379111751447647,-2.0499992885595857,0.9999610781108839,-2.0499994093782075,0.9999611590907462,-3.1366353097689066,0.013790486044144616,1.569387755102041,0.6371911573472041
-3.137002135919193,0.013758169306003203,-2.101631980604545,0.9999615502087643,-2.1016321015426307,0.999961621882951,-3.1365705794210075,0.013758174892542855,1.5714285714285714,0.6363636363636364
