s11a,s12a,s21a,s22a,s11m,s12m,s21m,s22m,wavelengths
1.3237043383057927,2.35303599616197,2.35303599616197,1.3237043383057927,0.1074987881782874,0.17483468547280057,0.17483468547280057,0.1074987881782874,1.4
0.8147638391582399,2.048121130145811,2.048121130145811,0.8147638391582399,0.09430768605698907,0.18969638820407558,0.18969638820407558,0.09430768605698907,1.402013422818792
0.3272946341624503,1.7383982676348382,1.7383982676348382,0.3272946341624503,0.08241699594770518,0.20360217128084074,0.20360217128084074,0.08241699594770518,1.4040268456375837
-0.13603974290382773,1.428081467181585,1.428081467181585,-0.13603974290382773,0.07319588282465785,0.21642671509099573,0.21642671509099573,0.07319588282465785,1.4060402684563758
-0.5775449977675929,1.1196232472798526,1.1196232472798526,-0.5775449977675929,0.06707128077967578,0.2283800671814177,0.2283800671814177,0.06707128077967578,1.4080536912751678
-1.001892350580184,0.8139024448850011,0.8139024448850011,-1.001892350580184,0.06372573126183383,0.23981331366346717,0.23981331366346717,0.06372573126183383,1.4100671140939596
-1.413821511691004,0.5107422926591559,0.5107422926591559,-1.413821511691004,0.06249502640305229,0.2510554407502694,0.2510554407502694,0.06249502640305229,1.4120805369127516
-1.8180404610369552,0.20950582728709843,0.20950582728709843,-1.8180404610369552,0.06261316850010298,0.2623269330414728,0.2623269330414728,0.06261316850010298,1.4140939597315436
-2.2188713766665735,-0.09047572273970164,-0.09047572273970164,-2.2188713766665735,0.06328555171039175,0.27373600281432836,0.27373600281432836,0.06328555171039175,1.4161073825503354
-2.619165911966808,-0.38972465278945273,-0.38972465278945273,-2.619165911966808,0.06376659975949105,0.2853096515499965,0.2853096515499965,0.06376659975949105,1.4181208053691274
-3.0201170433249658,-0.6885813359988022,-0.6885813359988022,-3.0201170433249658,0.06348475549910974,0.29701963065917986,0.29701963065917986,0.06348475549910974,1.4201342281879195
-3.4220331975160097,-0.9871808491563607,-0.9871808491563607,-3.4220331975160097,0.06214654960138724,0.3088062417223462,0.3088062417223462,0.06214654960138724,1.4221476510067113
-3.825464744720404,-1.2854818426142447,-1.2854818426142447,-3.825464744720404,0.059781348767634565,0.3206119706057216,0.3206119706057216,0.059781348767634565,1.4241610738255033
-4.23267104967431,-1.5833598829259314,-1.5833598829259314,-4.23267104967431,0.056699040285179685,0.33240769715709334,0.33240769715709334,0.056699040285179685,1.4261744966442953
-4.648784058249722,-1.8807012129833247,-1.8807012129833247,-4.648784058249722,0.05334057241932809,0.3441954945313812,0.3441954945313812,0.05334057241932809,1.428187919463087
-5.080887648667778,-2.1774452904466566,-2.1774452904466566,-5.080887648667778,0.05009658941005068,0.35599803311721395,0.35599803311721395,0.05009658941005068,1.4302013422818791
-5.534235243345245,-2.4735974094480966,-2.4735974094480966,-5.534235243345245,0.04722466212959794,0.3678481156654636,0.3678481156654636,0.04722466212959794,1.4322147651006711
-6.007620678244409,-2.769233135902503,-2.769233135902503,-6.007620678244409,0.044875709342167204,0.3797752388807194,0.3797752388807194,0.044875709342167204,1.434228187919463
-6.491105266581126,-3.0644761953039668,-3.0644761953039668,-6.491105266581126,0.04311667889640428,0.3917880691488013,0.3917880691488013,0.04311667889640428,1.436241610738255
-6.967988453861607,-3.3594511000087897,-3.3594511000087897,-6.967988453861607,0.04191269010521518,0.4038656415027247,0.4038656415027247,0.04191269010521518,1.438255033557047
-7.420505611171042,-3.654249801000357,-3.654249801000357,-7.420505611171042,0.04116312038786302,0.4159621912205692,0.4159621912205692,0.04116312038786302,1.4402684563758388
-7.836690362038336,-3.9489258224623187,-3.9489258224623187,-7.836690362038336,0.04082864394819938,0.42801344834084415,0.42801344834084415,0.04082864394819938,1.4422818791946308
-8.215795712949458,-4.2434851717437745,-4.2434851717437745,-8.215795712949458,0.041004781652951926,0.43993994733023184,0.43993994733023184,0.041004781652951926,1.4442953020134228
-8.569537019159458,-4.53787674972716,-4.53787674972716,-8.569537019159458,0.041781793547231404,0.4516553102491315,0.4516553102491315,0.041781793547231404,1.4463087248322146
-8.916211793427351,-4.8319977659865545,-4.8319977659865545,-8.916211793427351,0.04298800570135531,0.46308415583251183,0.46308415583251183,0.04298800570135531,1.4483221476510066
-9.270920277578664,-5.1257282769812065,-5.1257282769812065,-9.270920277578664,0.04412039904785626,0.47417377236631664,0.47417377236631664,0.04412039904785626,1.4503355704697987
