s11a,s11m,s12a,s12m,s21a,s21m,s22a,s22m,wavelengths,freqs
-2.936514732876162,0.03632880529318428,1.3867029137449252,1.2940631901758286,1.3869263936335983,1.2940899307077507,-2.907873213887203,0.04086325000440884,1.5,0.6666666666666666
-2.9491304522158166,0.03705328843589062,1.3263197943655243,1.2929331848171752,1.3265583255186268,1.2929593100234864,-2.9330888617792645,0.0416973823154086,1.5020408163265306,0.6657608695652174
-2.9637745436691727,0.037720963558600995,1.2661133017511506,1.2918125999748853,1.2663671561108978,1.2918404996893997,-2.9598602617691676,0.04242502166480988,1.5040816326530613,0.6648575305291723
-2.9801895874242224,0.03832491084848074,1.2060823441492166,1.2907018439838358,1.2063515784036052,1.2907339292473803,-2.987930384907488,0.04304113773817961,1.506122448979592,0.6639566395663956
-2.9981369717247257,0.03885923669474575,1.1462257979724868,1.2896012640359436,1.1465102512741308,1.2896399369511042,-3.0170701523674213,0.043541725903928644,1.5081632653061225,0.6630581867388362
-3.0173956490703375,0.03931898796434422,1.0865425131465414,1.2885111435455427,1.0868418107777846,1.2885587641133935,-3.0470732586466016,0.04392372265435568,1.510204081632653,0.6621621621621622
-3.037760417488937,0.039700083613062626,1.0270313208100517,1.2874316982542016,1.0273448781247245,1.287490554421209,-3.077751493174069,0.04418492931255047,1.5122448979591836,0.6612685560053981
-3.0590398771830256,0.03999925033976927,0.967691038753519,1.2863630755978634,0.9680180687044961,1.286435353399654,-3.1089305927604056,0.0443239543870415,1.5142857142857142,0.6603773584905661
-3.081054291448991,0.04021397154028205,0.9085204779113426,1.2853053539061443,0.9088600018742804,1.2853931082763137,-3.1404465112718043,0.04434017142599524,1.5163265306122449,0.6594885598923285
-3.103633427694856,0.04034244697802436,0.8495184492619114,1.28425854203546,0.8498693083630693,1.2843636712737163,-3.172141972185589,0.0442336808927858,1.5183673469387755,0.6586021505376344
-3.12661440345993,0.04038355576735493,0.7906837689355966,1.2832225814173217,0.7910446396489642,1.2833468017926362,-3.203863266951907,0.04400528796720653,1.5204081632653061,0.6577181208053691
-3.1498396087569906,0.040336831824273306,0.7320152649135689,1.2821973472283559,0.7323846757809559,1.2823421709263743,-3.2354571554303324,0.043656484468127144,1.5224489795918368,0.6568364611260054
-3.173154669016018,0.04020244262328291,0.6735117824981467,1.281182651253194,0.67388813292763,1.2813493668378937,-3.266767791916013,0.043189438138097655,1.5244897959183674,0.6559571619812583
-3.1964064578671585,0.03998117413780731,0.6151721897511829,1.2801782452298935,0.6155537707086948,1.2803679008322935,-3.2976335724479973,0.04260698923809458,1.526530612244898,0.6550802139037433
-3.219441139534527,0.039674420349117806,0.5569953825337585,1.2791838249143075,0.5573803985771707,1.2793972146637673,-3.327883795260576,0.04191265227561988,1.5285714285714287,0.6542056074766355
-3.242102221761585,0.03928417677886387,0.4989802890820817,1.2781990348198633,0.4993668810506374,1.2784366891140744,-3.3573350277004694,0.04111062271464952,1.530612244897959,0.6533333333333333
-3.264228599211779,0.03881303836216826,0.441125874266612,1.2772234733950083,0.44151214419829665,1.2774856513154562,-3.3857870250714637,0.0402057975421131,1.5326530612244897,0.6524633821571239
-3.2856525693042986,0.038264200426763116,0.383431143126833,1.276256698884514,0.38381517760212186,1.2765433862827675,-3.413018117981794,0.03920379254400126,1.5346938775510204,0.6515957446808511
-3.3061978096567803,0.037641463962861894,0.32589514399155717,1.2752982354683942,0.3262750401405192,1.275609144283237,-3.4387798118158557,0.03811098579482424,1.536734693877551,0.650730411686587
-3.3256773151315815,0.036949245254826936,0.2685169710780663,1.2743475796473698,0.2688908604827381,1.2746821528961143,-3.462790553755461,0.03693456045124924,1.5387755102040817,0.649867374005305
-3.343891324190819,0.03619258707069063,0.2112957655712147,1.2734042076851835,0.21166183836782537,1.2737616269271677,-3.484728422518914,0.03568257163429143,1.5408163265306123,0.6490066225165563
-3.3606252451142438,0.03537718226667427,0.15423071830438687,1.2724675810443504,0.1545872464203328,1.2728467782930657,-3.504222587835528,0.03436403917817344,1.542857142857143,0.6481481481481481
-3.375647729438464,0.03450939281011388,0.0973210687214307,1.2715371547182717,0.09766642867395217,1.2719368260112554,-3.5208435643607987,0.03298906435200335,1.5448979591836736,0.6472919418758256
-3.388708979097085,0.033596282680543994,0.04056610560047866,1.2706123831925997,0.040898797877712716,1.2710310077579987,-3.534092434465657,0.031568979738155215,1.5469387755102042,0.646437994722955
-3.3995395649384346,0.03264565310029924,-0.016034833956702084,1.269692727256849,-0.01571616473122057,1.270128586769581,-3.5433893733694752,0.030116556972403632,1.5489795918367348,0.6455862977602107
-3.407850091199871,0.03166608493678978,-0.07248236561639212,1.268777660025834,-0.07217891484252481,1.269228862822334,-3.548063105159093,0.028646251647260767,1.5510204081632653,0.6447368421052632
-3.4133322729974425,0.030666980199109455,-0.12877706072537798,1.2678666738608215,-0.12848984799620614,1.2683311790161536,-3.5473435332313374,0.027174517762383985,1.5530612244897959,0.6438896189224704
-3.4156620339199826,0.029658614567345032,-0.18491944667733506,1.2669592837896928,-0.18464930559177167,1.2674349303662185,-3.5403625706853323,0.025720166911795614,1.5551020408163265,0.6430446194225722
-3.414505797396216,0.02865216905468843,-0.24091001167729406,1.2660550344395547,-0.2406575784791625,1.2665395680960712,-3.526170913838263,0.024304769581868394,1.5571428571428572,0.6422018348623854
-3.409530992133473,0.027659755622394398,-0.2967492073291915,1.2651535035648562,-0.29651491469582664,1.2656446070529745,-3.503783779850289,0.022953011688288165,1.5591836734693878,0.6413612565445026
