s11a,s11m,s21a,s21m,s22m,s22a,s12m,s12a,wavelengths
0.6266653309917654,0.0193457895232984,-0.08125745428665539,0.9994684928989697,0.0193457895232984,0.6266653309917654,0.9994684928989697,-0.08125745428665539,1.5
0.546118150641121,0.019433259177140758,-0.12338988282078953,0.9994662520010447,0.019433259177140758,0.546118150641121,0.9994662520010447,-0.12338988282078953,1.5020408163265306
0.46531369538604617,0.019542793630293615,-0.16540992552787184,0.9994641013708357,0.019542793630293615,0.46531369538604617,0.9994641013708357,-0.16540992552787184,1.5040816326530613
0.3843290137234949,0.01967735865428897,-0.2073254909206183,0.9994609157293108,0.01967735865428897,0.3843290137234949,0.9994609157293108,-0.2073254909206183,1.506122448979592
0.3027771648290002,0.019832543260748656,-0.24912747439001384,0.9994598038298363,0.019832543260748656,0.3027771648290002,0.9994598038298363,-0.24912747439001384,1.5081632653061225
0.22075939282267742,0.020007779630467213,-0.29082152250328264,0.9994573725003074,0.020007779630467213,0.22075939282267742,0.9994573725003074,-0.29082152250328264,1.510204081632653
0.13815546327643177,0.020201712152566567,-0.3324067414496574,0.9994559386686395,0.020201712152566567,0.13815546327643177,0.9994559386686395,-0.3324067414496574,1.5122448979591836
0.054816692413866136,0.020412259605100222,-0.3738852911599546,0.9994538930935521,0.020412259605100222,0.054816692413866136,0.9994538930935521,-0.3738852911599546,1.5142857142857142
-0.02914418829118659,0.02063837086845737,-0.41525374616554966,0.9994513650420099,0.02063837086845737,-0.02914418829118659,0.9994513650420099,-0.41525374616554966,1.5163265306122449
-0.11385087950389607,0.02087785163062661,-0.4565145566878806,0.9994501195430139,0.02087785163062661,-0.11385087950389607,0.9994501195430139,-0.4565145566878806,1.5183673469387755
-0.19928427990977252,0.021129991651112387,-0.497671114852615,0.9994485898769832,0.021129991651112387,-0.19928427990977252,0.9994485898769832,-0.497671114852615,1.5204081632653061
-0.28552131550184323,0.02139232862433208,-0.5387196985163273,0.9994497856094282,0.02139232862433208,-0.28552131550184323,0.9994497856094282,-0.5387196985163273,1.5224489795918368
-0.3725245005470215,0.02166290005185093,-0.579660069587535,0.9994485364847641,0.02166290005185093,-0.3725245005470215,0.9994485364847641,-0.579660069587535,1.5244897959183674
-0.4602328136996538,0.02194013952420259,-0.620499072218585,0.9994478061183941,0.02194013952420259,-0.4602328136996538,0.9994478061183941,-0.620499072218585,1.5265306122448983
-0.5485696420511762,0.022224171108445483,-0.6612280391085992,0.9994467126011354,0.022224171108445483,-0.5485696420511762,0.9994467126011354,-0.6612280391085992,1.5285714285714287
-0.6376411393058908,0.022513525890436255,-0.7018571973870665,0.9994471299043638,0.022513525890436255,-0.6376411393058908,0.9994471299043638,-0.7018571973870665,1.530612244897959
-0.7273687526936837,0.022804352943991954,-0.742375052676292,0.9994471084719388,0.022804352943991954,-0.7273687526936837,0.9994471084719388,-0.742375052676292,1.5326530612244897
-0.8177029126826295,0.02309805308732918,-0.7827944907507154,0.9994471729464324,0.02309805308732918,-0.8177029126826295,0.9994471729464324,-0.7827944907507154,1.5346938775510204
-0.9085553661238805,0.02339157890387797,-0.8231060505594282,0.99944740268033,0.02339157890387797,-0.9085553661238805,0.99944740268033,-0.8231060505594282,1.536734693877551
-0.9999810700018372,0.023687085433770187,-0.8633171958520122,0.9994468071260303,0.023687085433770187,-0.9999810700018372,0.9994468071260303,-0.8633171958520122,1.5387755102040817
-1.0918603063946128,0.0239797521260629,-0.9034251652072591,0.999448048712991,0.0239797521260629,-1.0918603063946128,0.999448048712991,-0.9034251652072591,1.5408163265306123
-1.1841739672358167,0.024270680561423435,-0.9434290142811402,0.9994500730367564,0.024270680561423435,-1.1841739672358167,0.9994500730367564,-0.9434290142811402,1.542857142857143
-1.2769029237082512,0.024558511422602503,-0.9833296899880106,0.9994493319260311,0.024558511422602503,-1.2769029237082512,0.9994493319260311,-0.9833296899880106,1.5448979591836736
-1.3699725087717098,0.024842732097807924,-1.0231321466851562,0.9994514136716343,0.024842732097807924,-1.3699725087717098,0.9994514136716343,-1.0231321466851562,1.546938775510204
-1.4633513993520135,0.025123564974742007,-1.062829714487357,0.9994516507681456,0.025123564974742007,-1.4633513993520135,0.9994516507681456,-1.062829714487357,1.5489795918367348
-1.5569720218750815,0.025399298583557516,-1.1024264702944293,0.9994547480565984,0.025399298583557516,-1.5569720218750815,0.9994547480565984,-1.1024264702944293,1.5510204081632653
-1.6508584874892942,0.02566952882923918,-1.1419223245029744,0.9994560389565987,0.02566952882923918,-1.6508584874892942,0.9994560389565987,-1.1419223245029744,1.5530612244897959
-1.7448965226447577,0.025932447887789575,-1.1813160172098964,0.9994569290350163,0.025932447887789575,-1.7448965226447577,0.9994569290350163,-1.1813160172098964,1.5551020408163265
-1.8390823081440353,0.026188857957694173,-1.220614335843398,0.9994585188494778,0.026188857957694173,-1.8390823081440353,0.9994585188494778,-1.220614335843398,1.5571428571428572
-1.9333942068582906,0.026439507979182313,-1.2598083705958658,0.9994606250653955,0.026439507979182313,-1.9333942068582906,0.9994606250653955,-1.2598083705958658,1.5591836734693876
-2.027760905398345,0.02668232708598619,-1.298905899043956,0.9994628756943144,0.02668232708598619,-2.027760905398345,0.9994628756943144,-1.298905899043956,1.5612244897959184
-2.122212057480565,0.026915389840103623,-1.3379043598990776,0.9994651645101374,0.026915389840103623,-2.122212057480565,0.9994651645101374,-1.3379043598990776,1.563265306122449
-2.2166031696553268,0.027142402103271714,-1.3768042964564602,0.9994677773698496,0.027142402103271714,-2.2166031696553268,0.9994677773698496,-1.3768042964564602,1.5653061224489797
-2.3109800740229978,0.02736037885823053,-1.4156032325371912,0.9994693994092885,0.02736037885823053,-2.3109800740229978,0.9994693994092885,-1.4156032325371912,1.5673469387755101
-2.4053484871185566,0.027568839055032542,-1.4543065664667743,0.9994722584843672,0.027568839055032542,-2.4053484871185566,0.9994722584843672,-1.4543065664667743,1.569387755102041
-2.499610038752234,0.02776920290086029,-1.4929130921923617,0.9994735655057769,0.02776920290086029,-2.499610038752234,0.9994735655057769,-1.4929130921923617,1.5714285714285714
-2.5937549179432526,0.0279617147526676,-1.5314197017817786,0.9994784042158343,0.0279617147526676,-2.5937549179432526,0.9994784042158343,-1.5314197017817786,1.573469387755102
-2.6878308846084478,0.028142542059676326,-1.5698313116223481,0.999482031989909,0.028142542059676326,-2.6878308846084478,0.999482031989909,-1.5698313116223481,1.5755102040816327
-2.7817050617784167,0.028314110362560305,-1.6081415565269992,0.9994834700881657,0.028314110362560305,-2.7817050617784167,0.9994834700881657,-1.6081415565269992,1.577551020408163
