s11a,s11m,s21a,s21m,s22m,s22a,s12m,s12a,wavelengths
-0.96722361947716,0.0007622870767703028,-1.0630310730879564,0.9996034400512537,0.0007622870767703028,-0.96722361947716,0.9996034400512537,-1.0630310730879564,1.5
-1.1096562454104413,0.0007510966334106567,-1.130012840557666,0.9996040066367343,0.0007510966334106567,-1.1096562454104413,0.9996040066367343,-1.130012840557666,1.5020408163265306
-1.253029041872126,0.000740523576131763,-1.1968225711249756,0.9996048603533748,0.000740523576131763,-1.253029041872126,0.9996048603533748,-1.1968225711249756,1.5040816326530613
-1.397345230150972,0.0007294901895451199,-1.2634714668299178,0.9996058886895289,0.0007294901895451199,-1.397345230150972,0.9996058886895289,-1.2634714668299178,1.506122448979592
-1.541731230592854,0.0007180955270118181,-1.3299480938774368,0.9996056121088059,0.0007180955270118181,-1.541731230592854,0.9996056121088059,-1.3299480938774368,1.5081632653061225
-1.686100032256774,0.0007079475736780679,-1.3962603360704582,0.9996062459256396,0.0007079475736780679,-1.686100032256774,0.9996062459256396,-1.3962603360704582,1.510204081632653
-1.831668763180573,0.0006977949684521827,-1.4624074783408523,0.9996068799891907,0.0006977949684521827,-1.831668763180573,0.9996068799891907,-1.4624074783408523,1.5122448979591836
-1.977968950737174,0.0006867739799313274,-1.5283922864902855,0.999606350295901,0.0006867739799313274,-1.977968950737174,0.999606350295901,-1.5283922864902855,1.5142857142857142
-2.1230783874826478,0.0006772440013603619,-1.5942091159857434,0.9996076300708163,0.0006772440013603619,-2.1230783874826478,0.9996076300708163,-1.5942091159857434,1.5163265306122449
-2.2703863045347688,0.00066785144260716,-1.6598627934121655,0.9996065521607486,0.00066785144260716,-2.2703863045347688,0.9996065521607486,-1.6598627934121655,1.5183673469387755
-2.417800961224402,0.0006587110255429243,-1.725355933098643,0.9996055209719245,0.0006587110255429243,-2.417800961224402,0.9996055209719245,-1.725355933098643,1.5204081632653061
-2.564049400679719,0.0006503011893751284,-1.7906806222626037,0.9996080239768708,0.0006503011893751284,-2.564049400679719,0.9996080239768708,-1.7906806222626037,1.5224489795918368
-2.711547511702121,0.0006421844496175102,-1.855848119687505,0.9996075559376765,0.0006421844496175102,-2.711547511702121,0.9996075559376765,-1.855848119687505,1.5244897959183674
-2.8573054725753178,0.0006341536933385114,-1.9208566983347688,0.9996064708187617,0.0006341536933385114,-2.8573054725753178,0.9996064708187617,-1.9208566983347688,1.5265306122448983
-3.0051807653605684,0.0006262478721223792,-1.9857002227458325,0.9996055786214008,0.0006262478721223792,-3.0051807653605684,0.9996055786214008,-1.9857002227458325,1.5285714285714287
-3.1508853369852465,0.0006190791550559734,-2.050387544499766,0.9996040620361404,0.0006190791550559734,-3.1508853369852465,0.9996040620361404,-2.050387544499766,1.530612244897959
-3.2961784311463895,0.0006122570081020187,-2.114912553262935,0.999603331951069,0.0006122570081020187,-3.2961784311463895,0.999603331951069,-2.114912553262935,1.5326530612244897
-3.442687004663438,0.0006056342104693599,-2.1792780156227582,0.9996029739462258,0.0006056342104693599,-3.442687004663438,0.9996029739462258,-2.1792780156227582,1.5346938775510204
-3.588249678957927,0.0005989210878747858,-2.2434841218174415,0.9996015098790196,0.0005989210878747858,-3.588249678957927,0.9996015098790196,-2.2434841218174415,1.536734693877551
-3.7316707720588673,0.0005921338134974464,-2.307535342730449,0.9996002684629386,0.0005921338134974464,-3.7316707720588673,0.9996002684629386,-2.307535342730449,1.5387755102040817
-3.8766211258508165,0.0005859872649745649,-2.3714308820463543,0.9995975735482402,0.0005859872649745649,-3.8766211258508165,0.9995975735482402,-2.3714308820463543,1.5408163265306123
-4.020170339992708,0.0005796393165894563,-2.4351675542853646,0.9995956936280571,0.0005796393165894563,-4.020170339992708,0.9995956936280571,-2.4351675542853646,1.542857142857143
-4.162484242442879,0.0005723358727928476,-2.498747159962451,0.9995931015256175,0.0005723358727928476,-4.162484242442879,0.9995931015256175,-2.498747159962451,1.5448979591836736
-4.305169956423711,0.0005657971435638718,-2.562173628356351,0.9995902976036166,0.0005657971435638718,-4.305169956423711,0.9995902976036166,-2.562173628356351,1.546938775510204
-4.446436014131101,0.0005578873932772397,-2.6254455231392324,0.9995868686970326,0.0005578873932772397,-4.446436014131101,0.9995868686970326,-2.6254455231392324,1.5489795918367348
-4.588991650920918,0.0005518435666184773,-2.688563386977684,0.9995835589872675,0.0005518435666184773,-4.588991650920918,0.9995835589872675,-2.688563386977684,1.5510204081632653
-4.729221552865758,0.0005438808813861051,-2.7515255320328107,0.9995793352257103,0.0005438808813861051,-4.729221552865758,0.9995793352257103,-2.7515255320328107,1.5530612244897959
-4.870444420145179,0.0005365138198986561,-2.8143334126773425,0.99957582505731,0.0005365138198986561,-4.870444420145179,0.99957582505731,-2.8143334126773425,1.5551020408163265
-5.010433247949594,0.0005286124262517504,-2.8769914240976093,0.9995718925155146,0.0005286124262517504,-5.010433247949594,0.9995718925155146,-2.8769914240976093,1.5571428571428572
-5.151667016169977,0.0005205750454126926,-2.9394957502166097,0.9995665368337554,0.0005205750454126926,-5.151667016169977,0.9995665368337554,-2.9394957502166097,1.5591836734693876
-5.292608777801692,0.0005115866002112462,-3.0018492137179793,0.9995617863720467,0.0005115866002112462,-5.292608777801692,0.9995617863720467,-3.0018492137179793,1.5612244897959184
-5.433843059873081,0.0005023976627792652,-3.0640519937308994,0.999556989576367,0.0005023976627792652,-5.433843059873081,0.999556989576367,-3.0640519937308994,1.563265306122449
-5.574994494049825,0.0004933316526838599,-3.1261053094987936,0.9995511690469275,0.0004933316526838599,-5.574994494049825,0.9995511690469275,-3.1261053094987936,1.5653061224489797
-5.7181287150227735,0.0004829220866961769,-3.1880052369833582,0.9995446044619997,0.0004829220866961769,-5.7181287150227735,0.9995446044619997,-3.1880052369833582,1.5673469387755101
-5.859085261096975,0.0004733232663916988,-3.2497621349469545,0.9995384200445769,0.0004733232663916988,-5.859085261096975,0.9995384200445769,-3.2497621349469545,1.569387755102041
-6.00321133593008,0.0004628315853533082,-3.311366168629308,0.9995321998187882,0.0004628315853533082,-6.00321133593008,0.9995321998187882,-3.311366168629308,1.5714285714285714
-6.148061846893371,0.00045249410415243186,-3.372818652206447,0.9995244425319318,0.00045249410415243186,-6.148061846893371,0.9995244425319318,-3.372818652206447,1.573469387755102
-6.294744098500393,0.0004423504940788426,-3.434129237935943,0.9995178869902944,0.0004423504940788426,-6.294744098500393,0.9995178869902944,-3.434129237935943,1.5755102040816327
-6.4412660233963095,0.000431295956622008,-3.495290089134067,0.9995108009929966,0.000431295956622008,-6.4412660233963095,0.9995108009929966,-3.495290089134067,1.577551020408163
-6.589205638473992,0.00042135686336772763,-3.5563031720770253,0.9995020217430273,0.00042135686336772763,-6.589205638473992,0.9995020217430273,-3.5563031720770253,1.579591836734694
-6.7394026143800385,0.00041110079947854735,-3.617173162069697,0.9994945396246684,0.00041110079947854735,-6.7394026143800385,0.9994945396246684,-3.617173162069697,1.5816326530612246
-6.895009929187027,0.0004007990264416794,-3.6778942538230153,0.9994865600249419,0.0004007990264416794,-6.895009929187027,0.9994865600249419,-3.6778942538230153,1.5836734693877552
-7.047400383377547,0.00039175108287740727,-3.738475041293571,0.9994776266723552,0.00039175108287740727,-7.047400383377547,0.9994776266723552,-3.738475041293571,1.5857142857142859
-7.205306450379091,0.0003827999260865545,-3.798907411178176,0.9994676228628062,0.0003827999260865545,-7.205306450379091,0.9994676228628062,-3.798907411178176,1.5877551020408165
-7.365260050042069,0.00037479929438942174,-3.859194204636059,0.9994591494477213,0.00037479929438942174,-7.365260050042069,0.9994591494477213,-3.859194204636059,1.5897959183673471
-7.526140245249562,0.00036706430997742666,-3.9193394993625374,0.9994492044913996,0.00036706430997742666,-7.526140245249562,0.9994492044913996,-3.9193394993625374,1.5918367346938775
-7.689285983832392,0.0003598050496289353,-3.97934161618522,0.9994390015041311,0.0003598050496289353,-7.689285983832392,0.9994390015041311,-3.97934161618522,1.593877551020408
-7.855056431799539,0.00035306991482722023,-4.0392039155314485,0.9994300956494032,0.00035306991482722023,-7.855056431799539,0.9994300956494032,-4.0392039155314485,1.5959183673469388
-8.019801771400491,0.0003494154802671218,-4.098916030194376,0.9994200519632305,0.0003494154802671218,-8.019801771400491,0.9994200519632305,-4.098916030194376,1.5979591836734695
-8.188515988626765,0.00034634395111446127,-4.15849607031954,0.9994096349510411,0.00034634395111446127,-8.188515988626765,0.9994096349510411,-4.15849607031954,1.6
