wavelengths,s11a,s12a,s13a,s14a,s21a,s22a,s23a,s24a,s31a,s32a,s33a,s34a,s41a,s42a,s43a,s44a,s11m,s12m,s13m,s14m,s21m,s22m,s23m,s24m,s31m,s32m,s33m,s34m,s41m,s42m,s43m,s44m
1.2183112919633774,19.092273208589994,151.1154418888724,94.57183796464946,72.64479462776389,60.73751536644724,102.1555959009322,110.21469248868384,91.42930259035975,94.57171407299673,110.21468560168097,83.07950360600259,57.28478130750801,72.64478680492644,91.42932229304313,160.51520278452938,19.094383390034892,0.00039128530054994594,0.00013691465100188103,0.053666567037053636,0.9985535723225331,3.227118650037177e-05,0.0010847179665722409,0.9978409451307505,0.05363360558617253,0.053632451567897504,0.9978373155634592,0.0011873830266687891,2.319839181946712e-05,0.9985500339197448,0.053668162817159845,0.00012888241712147568,0.00038890818478047573
1.217691916624301,19.089666573696135,151.47672607231826,94.7670950533724,72.80339046877788,60.95856538354209,101.83703095324351,110.44657020152468,91.6245395990489,94.76695157211891,110.44656318073292,82.62989236176288,57.46207167800817,72.80338279043895,91.62457943624489,160.88180580979594,19.0916279460136,0.00040039788621347975,0.00013041965779493945,0.053469957899715564,0.9985642502715876,3.0312404991363454e-05,0.0003041601911145542,0.9978316256422644,0.053437971928674305,0.05343677753738602,0.9978292153018061,0.0005477984742631209,2.1789131194321304e-05,0.9985610948654473,0.05347175307885083,0.00012170626600637165,0.00039767146149370864
1.217073170731707,19.092214967855334,151.84056386070245,94.9623387622838,72.96197925923975,61.185944905723154,99.99494411146506,110.67843522293643,91.81976738922955,94.96217987748352,110.67842835843597,81.54126475074433,57.63997952132697,72.96197178611507,91.81982327913252,161.25263940236619,19.09388716005044,0.0004095023424662301,0.0001242611033177349,0.05327408221840718,0.9985749090327815,2.824943185333386e-05,0.0006143754777229899,0.9978236524661054,0.05324314354381983,0.05324190846437874,0.997822424082915,0.0007349197565419231,2.025948870168391e-05,0.9985721230775596,0.053276071260714916,0.0001149290418156102,0.00040644042052809097
1.2164550533265617,19.099432606360672,152.20598392669146,95.1575687848304,73.12056103301184,61.42139787231291,100.0375063373367,110.91028807205005,92.0149859925154,95.1573990189695,110.91028161615785,81.4046736799843,57.818522552143214,73.120553822846,92.01505346231832,161.62680845953918,19.10070331942605,0.0004180906116369879,0.00011849970840773546,0.05307900155137757,0.9985855430935694,2.610956727366197e-05,0.001344654762433718,0.9978174715123882,0.05304911689778841,0.05304784036666105,0.9978173171587854,0.0013792834709853005,1.8618665738090103e-05,0.9985831014345897,0.05308117804411893,0.00010863706693535583,0.0004147218084405833
1.2158375634517766,19.11062211422542,152.57169805416592,95.35278515305286,73.27913582204432,61.66727329676125,100.21647716760947,111.14212940987626,92.21019543912868,95.35260902272839,111.14212356187592,81.51690171431514,57.99774760110125,73.27912892706928,92.21026996256025,162.0029605581513,19.111406075589112,0.0004257116945496132,0.00011314762048536194,0.052884780885962816,0.9985961439533216,2.3926265006534313e-05,0.002013326240352116,0.9978134085020348,0.0528558883444567,0.05285456920277074,0.9978141712295683,0.0020132688067918242,1.6876448200991057e-05,0.998594010791054,0.05288713884275531,0.00010286249711813913,0.0004220766592475359
1.2152207001522068,19.12495270752057,152.93619921569453,95.5479882572245,73.43770365566898,61.92673640914754,100.42491673698312,111.37396000892093,92.40539575722873,95.54780991082929,111.37395491028008,81.69340884757463,58.177747179409,73.4376971203914,92.40547312334004,162.37938160907,19.12518864810283,0.00043198991776509523,0.00010816484866595076,0.052691483294589746,0.9986067006856876,2.1741768327659017e-05,0.0025922267722925385,0.9978116215902956,0.05266345415617297,0.05266209093189515,0.9978131188277978,0.002568747127252847,1.5043149309853282e-05,0.9986048311322384,0.05269401837354701,9.75758643148736e-05,0.00042813862436196594
1.214604462474645,19.14151699578862,153.29790546817657,95.7431788345906,73.5962645600591,62.20398657366942,100.64555126701403,111.60578070587432,92.60058697240457,95.74300170120479,111.60577644503117,81.8959592155591,58.358692518130795,73.59625841951522,92.60066365295359,162.75418148137283,19.14116415502112,0.00043663683493082496,0.0001034623637846651,0.052499164558278535,0.9986172006667439,1.961109725047911e-05,0.0030659796435264916,0.9978120632531433,0.05247181056244206,0.05247040157562339,0.9978141073266649,0.003022460662629896,1.3129552863717993e-05,0.9986155427911853,0.05250187494978439,9.268663156854251e-05,0.0004326260588560046
1.2139888494678155,19.159368657556684,153.65531595487582,95.93835792802419,73.75481855789232,62.504327192502096,100.87339936842804,111.83759234112412,92.79576910736938,95.93818440790493,111.8375889649963,82.1125047807428,58.5409047528861,73.75481283647773,92.79584258899988,163.12552875470726,19.15840375208907,0.0004394586315566848,9.891183391957741e-05,0.05230786828347617,0.9986276304217396,1.7607673249479786e-05,0.0034244046727385374,0.9978144576717695,0.05228095379393078,0.05227949727745085,0.9978168698319044,0.0033619425638598053,1.1146859753281141e-05,0.9986261276488341,0.05231075509031797,8.805271701795708e-05,0.0004353496229750644
1.2133738601823707,19.17754615046007,154.00713908612272,96.13352681873887,73.91336566824134,62.833648760849755,101.10677898167528,112.06939569114489,92.99094218188127,96.13335804164508,112.06939321927204,82.33836693160546,58.72502643024666,73.91336037918529,92.9910112322021,163.49187079522886,19.175961302458845,0.00044036046029034885,9.436033259182543e-05,0.05211762196465518,0.9986379765350536,1.5829859549102417e-05,0.0036619904494440978,0.9978182980396932,0.05209088012871308,0.0520893743559563,0.997820914149704,0.0035810214219746572,9.106645536673933e-06,0.9986365702389892,0.05212068900202313,8.349744948139728e-05,0.00043621676733734813
1.212759493670886,19.195088456821136,154.3523629481996,96.3286869397566,74.07190590670189,63.19642691055822,101.34530242653064,112.3011914011933,93.18610621289828,96.32852261061365,112.30118983813254,82.57166932535435,58.91250695494881,74.07190105221257,93.18617105603336,163.85208324538175,19.19289029439213,0.0004393485983323656,8.964728201284002e-05,0.051928434317389395,0.9986482265631761,1.4404317982225586e-05,0.003777935488493056,0.9978228655969887,0.0519015859375475,0.05190002934801771,0.9978255337566245,0.003678891658991588,7.020855482350406e-06,0.9986468586854036,0.05193168737987723,7.883039671953384e-05,0.0004352339677935508
