s11a,s11m,s21a,s21m,s31a,s31m,s12a,s12m,s22a,s22m,s32a,s32m,s13a,s13m,s23a,s23m,s33a,s33m,wavelengths,freqs
-1.4195281110260567,0.04460752638157069,-0.48749296503900835,0.834023590993036,-0.4874929324165136,0.8340236540651508,-0.49213813245467586,0.8340994362199508,-0.5320071239023065,0.10536528464804308,2.2191071628537378,0.137347417200362,-0.4919069345451423,0.8345968467352451,2.218527586808322,0.13630365699375188,-0.5326960837876619,0.10433916683878809,1.5,0.6666666666666666
-2.1774237970568655,0.04345624174312493,-0.9967264240843401,0.827997401854935,-0.9967263967850267,0.8279974410890291,-1.0020174930796173,0.8280536055806401,-1.226526083965202,0.09222801815010682,1.6990292064134276,0.11973080752226956,-1.0018267212085588,0.8283726330316127,1.6973493590403659,0.11871164796886394,-1.2304571677369198,0.09127068524905127,1.5020408163265306,0.6657608695652174
-2.90706580393428,0.038001434146876206,-1.5027847840283008,0.8232036412032764,-1.502784744877618,0.823203660534503,-1.5084857784992614,0.8229493468958996,-1.8575762893309533,0.08139165341438931,1.2329089941779445,0.09603024830430383,-1.5082146263271798,0.8230987968326109,1.2303290348457658,0.09514823016547107,-1.8638896073936395,0.08064884556275664,1.5040816326530613,0.6648575305291723
-3.6218027291490476,0.027708127106881832,-2.0062055965652257,0.8192240832492076,-2.006205534909468,0.8192240941369341,-2.01198660137983,0.8185293707606501,-2.4278032215053127,0.07303301183996795,0.7836659225055208,0.07130979063837109,-2.0115272534109927,0.8186126579725274,0.7818111670043068,0.07061110076289416,-2.4335307950144935,0.07246703884289078,1.506122448979592,0.6639566395663956
-4.330862225120405,0.013646398889985232,-2.5068628746488892,0.8160455171978994,-2.506862790741054,0.8160455336030813,-2.5123708307893815,0.815012255783311,-2.941379189461643,0.06698719497844408,0.2902980452336897,0.04925312807746404,-2.5117471341680497,0.815132351820212,0.29054192472503243,0.04886600368536115,-2.9438129032944533,0.06663531777562444,1.5081632653061225,0.6630581867388362
-1.8695709786082841,0.0018208340721802567,-3.004811689713977,0.8141518053888983,-3.0048115942015152,0.8141518375388279,-3.0099419523610456,0.8129975160969253,-3.410551290355212,0.06387290196314674,-0.3830864733867468,0.034176433160735716,-3.0092119039230636,0.81323467881022,-0.3774292251251135,0.034029194572185596,-3.4083301712623806,0.06366964355402677,1.510204081632653,0.6621621621621622
-2.6062133862391708,0.01603986505292327,-3.500749502528885,0.8139449266708447,-3.5007494112372677,0.8139449768146743,-3.505559534415449,0.8128209696626633,-3.8692293858837283,0.06458196240712806,-1.2967101070928313,0.033175960626519445,-3.5048648831943816,0.813203664137038,-1.2839314352072928,0.03302720076479129,-3.8625493183434996,0.06449350017079691,1.5122448979591836,0.6612685560053981
-3.3441641953322274,0.02706566656217248,-3.9954392624918795,0.8154240543097906,-3.9954391888063996,0.8154241155867914,-4.000044115490835,0.8143834735717375,-4.363622629042567,0.06914531761420806,-2.0599617228320737,0.04844225356176893,-3.9994803443176887,0.8148478611562325,-2.0486065887519023,0.04806425564854773,-4.354394284603635,0.06902085194906439,1.5142857142857142,0.6603773584905661
-4.120295490033108,0.034342416708102265,-4.489502321196566,0.8184190172630067,-4.489502267956161,0.8184190775120671,-4.493933083449262,0.8174546936045158,-4.919244646188671,0.07650023424696428,-2.6218102596007307,0.07290659478881473,-4.493531512094351,0.8179220211456143,-2.6138374002291815,0.07227337509096277,-4.909170544405655,0.07616462933476857,1.5163265306122449,0.6594885598923285
-4.952932344303741,0.03883380824877873,-4.983385541178578,0.822646338564316,-4.983385499740669,0.8226463891949177,-4.987658914209357,0.8218185202701684,-5.531574923472142,0.0854729477602002,-3.1201377562734343,0.09984614075632355,-4.987360121484029,0.8221992921666105,-3.1147727061962316,0.09894339751411728,-5.522575275624858,0.08478638231241775,1.5183673469387755,0.6586021505376344
-5.8392768396058,0.04261022587165903,-5.477437439948935,0.8278253977612584,-5.477437399583425,0.8278254387367614,-5.48164442874931,0.8271758214800906,-6.180588024338659,0.09518066538157552,-3.610964154196498,0.12304493804957599,-5.481344812658546,0.8274821535847214,-3.607103216420503,0.12188859272367368,-6.1739525496707195,0.09412399363362535,1.5204081632653061,0.6577181208053691
-6.7417332561864,0.04762505657166454,-5.971927984099222,0.8335644243303154,-5.9719279399714855,0.833564460035198,-5.976188558772097,0.8331293715208602,-6.844975326246221,0.1048305512667771,-4.113213525979031,0.13721520433719914,-5.975869620453099,0.8333854525918653,-4.109877186812382,0.13590895601733535,-6.840824480368871,0.1035353221201627,1.5224489795918368,0.6568364611260054
-7.614225866987602,0.05397364491394957,-6.466967847661834,0.8395096867486421,-6.466967799472612,0.8395097204054836,-6.471506110115938,0.8392151454208107,-7.5095651545826145,0.11339524591508314,-4.639044700997923,0.13930582643434458,-6.471134292722498,0.8394519602100731,-4.635544854709313,0.13804433925597123,-7.507026093671295,0.11208758716455507,1.5244897959183674,0.6559571619812583
