wavelength_nm,S11a,S12a,S13a,S14a,S21a,S22a,S23a,S24a,S31a,S32a,S33a,S34a,S41a,S42a,S43a,S44a,S11m,S12m,S13m,S14m,S21m,S22m,S23m,S24m,S31m,S32m,S33m,S34m,S41m,S42m,S43m,S44m
2000.0,-3.1098485163460885,0.7243566599861239,0.11769203222198107,1.2518028131707184,0.5276755755526248,-3.109480489188837,-1.8916697237414468,2.3593061004878955,0.11391444242401799,-1.8903409060132053,3.091815567013817,-2.468039072192266,1.246407406264219,2.358980432766411,-2.6289567776985994,-3.1329463206856154,0.03232154310588085,0.0076904531987595625,0.2634296309213661,0.8131219240716095,0.007736234076946017,0.04693935162107699,0.8128928500130299,0.25890650226325934,0.26127143285627263,0.8128981435412213,0.04178660453724516,0.007755112464253659,0.8060137457089351,0.25878590228239845,0.00779355415469935,0.046510363873208296
1996.0,-3.152616014565959,0.8164719471710857,0.42597766759248573,1.672884742017616,0.6264613855323365,-3.0900592059607215,-1.4705943079304629,2.894894486064107,0.4222392008673036,-1.4692550801402413,3.0606252884091982,-2.376918119604557,1.6675182778280866,2.894568593645696,-2.5314233164317215,-3.115092709692653,0.03363671614738684,0.00771220096237017,0.25424005169882474,0.8184768724207593,0.007759106694977758,0.04499235465133846,0.8182507093510586,0.2503784077669579,0.2521707597552955,0.8182537159057125,0.04314847668083817,0.007774924881150972,0.8113732352453413,0.25026432374350743,0.007829389446271292,0.04469183541596941
1992.0159680638724,-3.1521627190411783,0.9286232813450086,0.7317506707157041,2.0946393543968314,0.7345866139678267,-3.090891471708954,-1.048853299530511,3.434078820296354,0.7280504898971698,-1.0474950080389307,3.0644277123910313,-2.2665509697106088,2.0892953200431084,3.4337537041537196,-2.424329039248376,-3.1170473615095293,0.035686411408733534,0.007603540062044683,0.24551384115122854,0.8236285391802414,0.007674089865390445,0.042636900718513,0.8234029194351374,0.24245937647777435,0.24352835286899152,0.8234058996736674,0.04514970932364818,0.007661966035128083,0.8165280302648134,0.2423513110348845,0.007756182098658754,0.042481919320841666
1988.0478087649403,-3.109009287662224,1.042800790254992,1.034869272036571,2.51700665442373,0.8460521054197145,-3.1164912182295845,-0.6264999205845321,3.9766397841409695,1.031206594025566,-0.6251208479088504,3.1023919327784393,-2.1552894190360328,2.5116856187995658,3.976316314528185,-2.313776341119287,-3.142735075587938,0.03750130719814265,0.007270475286182476,0.23731661036639218,0.828588369713411,0.007472719774553343,0.040741202441534015,0.8283684682657099,0.23516567792187668,0.2354093900899412,0.8283661108754251,0.04680696672825092,0.0073282635646887305,0.8214972435932932,0.23506311431445098,0.0075651239126361,0.04073352053292091
1984.0954274353878,-3.036741019084259,1.1330512387121385,1.3352400174278336,2.9399346527065195,0.9554235616020734,-3.1518253675777865,-0.20357983304386182,4.522386500027038,1.3316141944902753,-0.20218484497803857,3.1632557191581547,-2.0685268333090914,2.9346437400576626,4.522065335857625,-2.2052304473794453,-3.176924828147974,0.038296215724894556,0.006774151870884995,0.22971585516308943,0.833362344993618,0.0071677685530817,0.03988481421442148,0.8331575268201667,0.22849606663270738,0.2278809675861709,0.833140318787674,0.047331679940399836,0.006843186854661857,0.826291422418747,0.22839848422414535,0.007269090604995866,0.03999719110706297
1980.1587301587308,-2.9528041936766223,1.1822686479139668,1.6328328790539357,3.3633808508673106,1.0581886830622276,-3.175663353439889,0.21986960859275623,5.0711843537853705,1.6292435192752908,0.2212701632257212,3.2317492355538135,-2.021267383944197,3.3581324988086205,5.070865869125698,-2.103169533157874,-3.1991042615729794,0.0376422999169037,0.0063295347825879375,0.22277908048144332,0.8379446758581208,0.006785905840806472,0.039805576043467496,0.8377676372574379,0.22243951505497836,0.22101021491466094,0.8377227705015848,0.046318690948286535,0.006424767693870261,0.8309086688160005,0.2223464089016152,0.0068949886831361105,0.03999320888414166
1976.2376237623757,-2.876136893576436,1.2080389262593483,1.927695541958899,3.7873079017022513,1.1509227031188933,-3.182949275252309,0.6438175988359459,5.622959354996704,1.9241426006621263,0.6452064658065073,3.290830238509868,-1.993507674370051,3.782121168981605,5.622643624238322,-2.010935886385857,-3.2050816686454198,0.03550856666161895,0.006170021462473882,0.21657212830077593,0.8423162957027461,0.006360108650784115,0.039721453295127974,0.8421821868729138,0.21698553820891084,0.21486261444147908,0.8420945130984012,0.043805672415728004,0.006294941947250578,0.8353330155685158,0.21689644079493162,0.006475940688719108,0.03995015481547394
1972.3320158102767,-2.828227219933155,1.261774502252851,2.2199666815777483,4.211680417861844,1.2313697679124833,-3.187431511351235,1.0682371028887645,6.177680779301573,2.2164504718929163,1.0695883783859388,3.3220280329493486,-1.9351555332101575,4.206582637305998,6.177367655465745,-1.9306827798065633,-3.2088183795966123,0.032275580122401254,0.0063137144095059125,0.2111577145734975,0.8464498724863739,0.005923159908813262,0.03915495474470854,0.8463720281776822,0.2121351451145267,0.20950053939888313,0.8462283929623158,0.04028608603973447,0.006451442697459854,0.839535952314041,0.2120496391570044,0.006044681787411502,0.0394158477654259
1968.4418145956606,-2.8325932306332553,1.377772949683018,2.509887445576768,4.636467828585397,1.2984486700449798,-3.206184137032407,1.4931028465776346,6.735326701239059,2.5064085573933284,1.4943851654665872,3.3083358508633207,-1.8157965997275658,4.631491329541322,6.735015962180723,-1.8634092928524228,-3.2270030967281023,0.028746952137638837,0.006505142234669471,0.20659398412781096,0.8503171262525755,0.005503233982240262,0.03839121317369175,0.8503000556205068,0.20790911012076294,0.20498182321667832,0.8500963066189021,0.03668147294182357,0.006630237559339104,0.8434809384417319,0.20782682161362617,0.005629191776095713,0.0386950498461918
1964.5669291338584,-2.9030514846502653,1.5484708478725815,2.7978092190921395,5.061651344610707,1.352207444737238,-3.241014093996298,1.9183913995175281,7.295835858402786,2.7943683805443285,1.919577997934229,3.2457505483151015,-1.6450645042227177,5.056823276807606,7.295527346395865,-1.8090478751121548,-3.2608977387685045,0.026074911168369998,0.006420029693281217,0.20293282620375774,0.8538926043266231,0.005122047680482351,0.03821833566035423,0.8539275249842873,0.20435064222468374,0.20135810040903263,0.8536728929735183,0.03416192110739756,0.006513402262547674,0.8471296955359158,0.20427121439720572,0.005251025536883333,0.03857849729617166
