wavelength_nm,S11a,S12a,S13a,S14a,S21a,S22a,S23a,S24a,S31a,S32a,S33a,S34a,S41a,S42a,S43a,S44a,S11m,S12m,S13m,S14m,S21m,S22m,S23m,S24m,S31m,S32m,S33m,S34m,S41m,S42m,S43m,S44m
2000.0,-3.1306723486756036,-2.846814835300062,-2.5395526632632284,-0.9884515396676228,-2.1697578465011915,3.099589704264321,2.151128480001309,0.5607526238593844,-2.5433009343495963,2.151694943996999,3.080599105628741,0.2507302782539971,-0.9931192815886576,0.5604052742681898,1.0841251275722517,3.084987385837664,0.034295473784645744,0.002877390906836553,0.6258514546246868,0.5974835358866115,0.0024330602354842128,0.04367811919654913,0.5969500297649313,0.6243921741624914,0.620680259208003,0.596920044899461,0.04402279023569404,0.0025767811886992825,0.5922997375198151,0.6240975414656525,0.0020902287530340184,0.043530542370854707
1996.0,-3.1361113358532497,-2.3174876220796228,-2.0391975253169456,-0.33953404128173065,-2.061816612745486,3.071609604155918,2.800049009469395,1.3559246083199816,-2.042901561370607,2.8006440564510844,3.079883288749652,0.8326952996187468,-0.3441856492424431,1.3555907005556163,1.176896713957089,3.0547520607964116,0.03586579224972151,0.00444235761555256,0.6329708274856517,0.5931781142422409,0.0027900129068344124,0.042272577176083743,0.5926108943166969,0.6321088731750969,0.627773834607363,0.5925985224356364,0.0454959181307506,0.004092693464943688,0.5880295922614773,0.6318192566218866,0.0024369364492937973,0.04234286033324368
1992.015968063872,-3.0955983566444054,-1.7850255239458093,-1.5379127323032618,0.3101301137780043,-1.8843574427857697,3.0079080752973755,3.449703034546559,2.151871891282786,-1.5415726801741956,3.4503243321975976,3.1144926010962135,1.3903403477088312,0.3054878377538414,2.1515494564758866,1.3516991488451382,2.9945388420651597,0.03680912476320353,0.005319500366884771,0.6400461843314389,0.5889858222657554,0.0030229073770115236,0.04235729154381629,0.5884186120484872,0.6393795270951593,0.6348239144213027,0.5884055936910803,0.046213747580894644,0.004984104466275429,0.5839025753848366,0.639095188974652,0.00267228304426757,0.04260260897196531
1988.0478087649403,-3.0416395262861977,-1.2207172734516423,-1.035725988268659,0.9603607719649381,-1.6927533921839872,2.9642753119742897,4.0999665111193515,2.948885546442093,-1.0393420874481465,4.100597937247249,3.157421309763979,1.9765495765436547,0.9557766742023157,2.9485899139260776,1.5437667638154995,2.9543529425042205,0.03622878022547127,0.005255845639179634,0.6470936568794442,0.5848427952628563,0.003078857952990811,0.04531745545035725,0.5843160433213267,0.6461894600667345,0.6418469809646534,0.5842703660270804,0.04535113744244668,0.005003352914654008,0.5798642900094726,0.64590235157347,0.002735152759661511,0.045551832080348006
1984.0954274353878,-3.010061406834978,-0.6095361283442959,-0.5326584558473114,1.611073926694416,-1.521958711554472,2.997982049749452,4.750781927519703,3.7472288538092084,-0.5362307755871158,4.751360125378224,3.179568173866297,2.620249883893343,1.6066218371549843,3.7469404156833663,1.7120765572991645,2.9892776848328015,0.03439189688534454,0.004057444141377877,0.6541080885732761,0.5806760576444273,0.0030115051068263193,0.04929742888738279,0.5802091510664741,0.6526431391251314,0.6488383918188988,0.5800965166451609,0.04329364661878054,0.003950901501176606,0.5758234491885831,0.6523323914555148,0.0026753094206896553,0.04951181072373174
1980.1587301587304,-3.0230234817410233,0.11033677740677124,-0.028744321069298466,2.2622781990461274,-1.3813763672578043,3.0867507140642263,5.402147901850405,4.54702330914208,-0.03227269374768986,5.402584369743141,3.1656525854386586,3.4337806709093135,2.2580194951715247,4.546696793845831,1.8440355788606078,3.0798201211511342,0.0324974944400761,0.0018043973777695092,0.6610665697981828,0.5764073238719883,0.0029309424143143395,0.050550680793070804,0.5759889375451741,0.6589220733751726,0.6557756815726017,0.5758212786859541,0.04133006250026972,0.0019027765551768978,0.5716731573682332,0.6585993101720128,0.0026063363954742093,0.05072627070895396
1976.2376237623757,-3.067074102198987,-2.8246636142636907,0.47596319046220414,2.9140832991271304,-1.2464614320965686,3.1480644119510757,6.054109167581265,5.348229174803649,0.4724789378086409,6.054412302860766,3.1302390794637382,6.319046635533842,2.910011199217603,5.347875811888718,1.9680615399927919,3.14190759552432,0.03187751552525159,0.0011604653151906464,0.6679423536265715,0.5719679808690532,0.002918783421103483,0.04793881395585166,0.5715618344970663,0.6652306696397732,0.6626323388017299,0.5713913521895749,0.040738209155087086,0.0011390625975964542,0.567320866546178,0.6649296836240749,0.0026193272245598935,0.04795857813299458
1972.3320158102767,-3.0952756814057096,-1.9575204869415945,0.9814046149685373,3.566662612617052,-1.0775769642658568,3.115329793679427,6.706753174369172,6.150667911087606,0.9779642999805599,6.707036242401277,3.1105134021732708,7.4202370323309035,3.5626809514645217,6.150335604418412,2.132522654922837,3.1059335097686933,0.0328157299628933,0.00392534084973778,0.674718519950391,0.5672809676359178,0.0029466881357312394,0.04572674360105246,0.5668753263700663,0.671692873783695,0.6693915034747749,0.5667082685550112,0.04165797362237731,0.0037058442204190847,0.5627138950127237,0.6714125398178821,0.002690246778327101,0.045654174035825376
1968.441814595661,-3.07572294828485,-1.2290915406571252,1.487536024390035,4.220116044636523,-0.8577421996972823,3.0779226426947295,7.360206524999577,6.954001702876659,1.4841389008837633,7.360516984973415,3.1293911651139372,8.194466964329258,4.21615237803643,6.9536946146574845,2.358540841440904,3.0666218703498185,0.0342645171489504,0.005831853290407874,0.6813915076325345,0.5622868342612837,0.0028910923064075426,0.04897984620866766,0.561928171664136,0.6783108281715715,0.6760496336113899,0.5617068901360797,0.042965065270030925,0.005588340049329519,0.557849817200587,0.6780272078199286,0.0026912355695709383,0.04904221629016857
1964.566929133858,-3.0161912885196296,-0.48378737608815287,1.9943430300519411,4.874459865270369,-0.6023251494558337,3.170140270509691,8.014618963018217,7.75784983520737,1.9909878793152465,8.014870682678135,3.1791083881635873,8.963712422368946,4.8705734905985505,7.757549415494285,2.631698113756746,3.160956698522594,0.03486175526095737,0.006310823830736856,0.6879630251865002,0.557038410386487,0.00262248452547036,0.054150271676764165,0.5567636690550677,0.6850498001844176,0.6826085101791275,0.556462838036592,0.04329901608437656,0.006145657341697848,0.552770033250706,0.6847598201639181,0.002485264366507937,0.054294408396411024
