s22a,s22m,s32a,s32m,s12a,s12m,s23a,s23m,s33a,s33m,s13a,s13m,s21a,s21m,s31a,s31m,s11a,s11m,wavelengths,freqs
2.3485543985969284,0.1485238636170493,1.4732517470986515,0.07870129763531981,0.16228495666876303,0.616186603649922,1.473251746887732,0.07870129760719408,2.3485543981778445,0.1485238635967545,0.16228495659904218,0.616186603656194,0.16230803096253468,0.6182386241172348,0.1623080309813858,0.6182386241275298,1.4555929934976999,0.025269067527560654,1.5,0.6666666666666666
1.8260654074075564,0.14097082149566037,0.8915802207710252,0.08515749427002355,-0.15496831486967963,0.6190699164739358,0.8915802205532358,0.08515749425205173,1.826065407079752,0.14097082148272502,-0.15496831495813929,0.6190699164304913,-0.15645404261939655,0.6204938158784766,-0.15645404259805448,0.6204938158888539,0.8452870073907447,0.027416259319890213,1.5020408163265306,0.6657608695652174
1.2476777060103896,0.12704235395314828,0.288551055395412,0.0894519454490211,-0.4736287033330838,0.6222643750005856,0.2885510552005569,0.08945194544128678,1.2476777057950441,0.1270423539433269,-0.47362870338618257,0.6222643750020865,-0.4757039138029155,0.6227020018150115,-0.4757039137791989,0.6227020018262073,0.2209251292668838,0.03189212243829586,1.5040816326530613,0.6648575305291723
0.6066938665173166,0.11207678082870601,-0.3142031901911546,0.09131843645649718,-0.7935241982530125,0.6248330189579471,-0.31420319034020083,0.09131843645682736,0.6066938664257367,0.1120767808146297,-0.7935241982969531,0.6248330189563089,-0.7952466165802854,0.6243797590098699,-0.7952466165550597,0.6243797590225496,-0.3328455144494129,0.03870866237057836,1.506122448979592,0.6639566395663956
-0.08971785128314753,0.10260339732514492,-0.9035051885932451,0.0916446899512577,-1.1136590848009353,0.6261638825183193,-0.9035051886866061,0.09164468995619189,-0.08971785129733588,0.10260339729905818,-1.1136590848356116,0.6261638825137253,-1.1144802596087797,0.6251863041833042,-1.1144802595833139,0.6251863041977225,-0.7894438379920852,0.046468905042099946,1.5081632653061225,0.6630581867388362
-0.7952860485594787,0.10248447310119542,-1.4772092550375486,0.09166350572165566,-1.4328514440080808,0.6261060990174375,-1.477209255079471,0.09166350572773825,-0.7952860486068437,0.1024844730604706,-1.4328514440342541,0.6261060990102184,-1.4326351180621482,0.6250434336086197,-1.4326351180376613,0.6250434336245894,-1.1598653449340064,0.05381708429433199,1.510204081632653,0.6621621621621622
-1.4514215106969097,0.11040247600356944,-2.0407128571196704,0.09221071594458148,-1.7500535672826847,0.6248437216901032,-2.0407128571262803,0.09221071594919941,-1.451421510849139,0.1104024759524529,-1.750053567301787,0.624843721680404,-1.74903990523685,0.6241169317810641,-1.7490399052141932,0.6241169317980975,-1.4622752465522761,0.060160498726101255,1.5122448979591836,0.6612685560053981
-2.041611064866344,0.12191280005085398,-2.601007846917402,0.0936120094623697,-2.0644430620459713,0.6228196661929993,-2.6010078469122666,0.09361200946408482,-2.0416110651170114,0.12191279999600073,-2.0644430620597287,0.6228196661806588,-2.0632544317520005,0.6227147703115871,-2.0632544317315737,0.6227147703290845,-1.7147400900738659,0.06551858292080778,1.5142857142857142,0.6603773584905661
-2.5849134039353614,0.13278943085600778,-3.1642545049018236,0.09591934533717558,-2.3755726317719272,0.6206848996863401,-3.164254504910024,0.09591934533580124,-2.584913404250452,0.1327894308031734,-2.375572631782069,0.6206848996708894,-2.375073015287801,0.6211999834261757,-2.3750730152695914,0.6211999834435512,-1.9343951398138344,0.07002933337282542,1.5163265306122449,0.6594885598923285
-3.1079596122404793,0.14007964060990633,-3.735844898738708,0.0989540303244601,-2.683534182050512,0.6191852543474625,-3.735844898780834,0.09895403032101834,-3.1079596125879814,0.14007964056329814,-2.6835341820585628,0.619185254328161,-2.6844993709685787,0.6199521573192426,-2.6844993709522336,0.6199521573360002,-2.135303221619667,0.07355289936788437,1.5183673469387755,0.6586021505376344
-3.6333060977428238,0.14201044680305744,-4.3187760589767015,0.10222748980617816,-2.9890555906963217,0.618989135175995,-4.3187760590638415,0.10222748980267873,-3.633306098095426,0.14201044676528418,-2.98905559070339,0.6189891351518698,-2.9917611228557686,0.6193488192759015,-2.9917611228406242,0.61934881929179,-2.325644052356053,0.07557499489947796,1.5204081632653061,0.6577181208053691
-4.1780063062124455,0.1382302993293991,-4.911504210023033,0.10509952930214779,-3.2934195152024928,0.6204547933817495,-4.911504210156876,0.10509952930124267,-4.178006306542341,0.13823029930089592,-3.293419515208995,0.6204547933516465,-3.297358482428489,0.6197211790273234,-3.297358482413798,0.6197211790419972,-2.505765130936824,0.07540532232078004,1.5224489795918368,0.6568364611260054
-4.755214743177229,0.1302941184266742,-5.508506167615436,0.10714174596143765,-3.5980601501107246,0.6234456423368896,-5.508506167785129,0.10714174596554943,-4.755214743455449,0.1302941184053469,-3.5980601501162313,0.6234456422998325,-3.602071218553017,0.6212582493754519,-3.602071218537892,0.6212582493890989,-2.667150459408303,0.072587455205683,1.5244897959183674,0.6559571619812583
-5.373341927307808,0.12158639014699293,-6.103309241448335,0.10838069753863219,-3.904013334793699,0.627370961465927,-6.103309241635565,0.10838069754939267,-5.373341927512241,0.12158639012786324,-3.904013334797121,0.6273709614214255,-3.9068247151079047,0.6238899113654258,-3.9068247150916444,0.6238899113783567,-2.792057327065138,0.06741348907118352,1.526530612244898,0.6550802139037433
-6.027712539928732,0.1161921732278333,-6.6916229592628,0.10923538851626621,-4.2116090873194345,0.6314303261824926,-6.691622959445687,0.10923538853414629,-6.027712540068152,0.11619217320439726,-4.211609087319603,0.6314303261308043,-4.212403763870029,0.6272354431400176,-4.212403763852247,0.6272354431526858,-2.856632682279619,0.061380009981153096,1.5285714285714287,0.6542056074766355
-6.692036157899118,0.1168736698727505,-7.272789589345003,0.11024274566023326,-4.520507460836151,0.6348710122226373,-7.272789589502953,0.1102427456846015,-6.6920361580261405,0.11687366984045444,-4.520507460832473,0.634871012164697,-4.5191511284795585,0.6306890722150905,-4.519151128460249,0.6306890722279755,-2.848355733631149,0.05718079625753619,1.530612244897959,0.6533333333333333
-7.332124418898935,0.12347100211925185,-7.849325443961355,0.11179063280366197,-4.829891140114914,0.63715889291784,-7.849325444078575,0.11179063283301317,-7.332124419073903,0.12347100207857968,-4.829891140107705,0.6371588928549472,-4.8268406243160085,0.6336212282309264,-4.826840624295436,0.6336212282444875,-2.800062607113938,0.057395032983147576,1.5326530612244897,0.6524633821571239
-7.932533929166741,0.13336538557818456,-8.42547663470612,0.1139629137939294,-5.138693570981072,0.6380842799988098,-8.425476634775379,0.11396291382648999,-7.932533929418841,0.13336538553356397,-5.138693570971588,0.6380842799321471,-5.134800226522001,0.6355843787354842,-5.134800226500764,0.6355843787497957,-2.780051667792877,0.062236847232025785,1.5346938775510204,0.6515957446808511
-8.500168078249843,0.14319017440648177,-9.005394902961422,0.11646718668167845,-5.445870210676993,0.6378102889307716,-9.005394902982145,0.11646718671528881,-8.500168078575019,0.14319017436448486,-5.445870210666954,0.6378102888612035,-5.442182885002548,0.636412639488405,-5.442182884981149,0.6364126395035878,-2.8238471352373433,0.06952652118563252,1.536734693877551,0.650730411686587
-9.050500002240021,0.15006703097052235,-9.591111854583291,0.11866963819684853,-5.750709330255911,0.6368207372962961,-9.59111185456188,0.11866963822946484,-9.050500002617895,0.15006703093753537,-5.750709330247128,0.6368207372241372,-5.748206778075268,0.6361961882051925,-5.748206778054204,0.6361961882211501,-2.92301298073486,0.07683181315909801,1.5387755102040817,0.649867374005305
-9.597600434313525,0.15230442003000436,-10.181171271620958,0.11981053601160385,-6.0530686448585715,0.6357291815089461,-10.181171271568118,0.1198105360414696,-9.597600434713003,0.15230442001096142,-6.053068644852439,0.6357291814340118,-6.052271330432814,0.6352023612234342,-6.052271330412466,0.63520236123996,-3.058175756339545,0.08261492172189783,1.5408163265306123,0.6490066225165563
-10.151245589591815,0.14990045153747955,-10.77084151747371,0.11934361428998616,-6.35334662970425,0.6350160738669459,-10.770841517401742,0.11934361431586518,-10.151245589969951,0.1499004515344721,-6.353346629701368,0.6350160737887812,-6.3539973573441415,0.6338155377553476,-6.353997357324719,0.633815537772161,-3.2153508103178092,0.08614199523174784,1.542857142857143,0.6481481481481481
-10.716578726455545,0.14462763937508566,-11.353784354231383,0.11721495371133635,-6.652166650348768,0.6348752873551832,-11.353784354151882,0.11721495373264869,-10.716578726757895,0.14462763938606604,-6.652166650348863,0.6348752872734414,-6.653283183694188,0.6324925027438915,-6.653283183675669,0.6324925027606945,-3.387307243056216,0.0870754369529338,1.5448979591836736,0.6472919418758256
-11.292767269123527,0.13938807830380248,-11.924473384275702,0.11391555800088153,-6.950045846871071,0.6352674180051202,-11.924473384198247,0.11391555801765425,-11.29276726929694,0.13938807832208036,-6.95004584687331,0.6352674179198865,-6.950374352357025,0.6316815321191319,-6.950374352339144,0.6316815321356888,-3.570789345454312,0.08515492776851899,1.5469387755102042,0.646437994722955
-11.870731247125907,0.1369368430548525,-12.480477362330443,0.11025834186238657,-7.247297365078254,0.6360609417460132,-12.480477362262324,0.11025834187503897,-11.870731247148074,0.13693684307043813,-7.247297365081775,0.6360609416578984,-7.24584320032011,0.6316971590920779,-7.245843200302435,0.6316971591082963,-3.763170761234431,0.08010449997901158,1.5489795918367348,0.6455862977602107
-12.434676423292204,0.13859797471000265,-13.023326919152522,0.10701046522945205,-7.544090118981451,0.6371031016129416,-13.023326919099222,0.10701046523854037,-12.434676423194233,0.13859797471311994,-7.544090118985803,0.637103101522947,-7.540413929218348,0.6326205945822162,-7.540413929200434,0.6326205945981652,-3.9595469030778814,0.07176725918204183,1.5510204081632653,0.6447368421052632
-12.970211682634915,0.1438037288740446,-13.557239154303106,0.1046410734546705,-7.840469005651069,0.6382286084015942,-13.557239154269137,0.10464107346072338,-12.97021168248519,0.1438037288587006,-7.84046900565638,0.6382286083108752,-7.834714493475209,0.6343006420818527,-7.83471449345673,0.6343006420977263,-4.1499529517623674,0.060327658448172686,1.5530612244897959,0.6438896189224704
-13.471966017990274,0.15066892531742349,-14.086940745066086,0.1033247198108559,-8.136331429802256,0.6392951547204128,-14.086940745055749,0.10332471981435419,-13.471966017857227,0.15066892528252102,-8.136331429809184,0.6392951546300601,-8.129108042757233,0.6364508403822344,-8.129108042738043,0.6364508403982799,-4.313339558508773,0.0464669871473735,1.5551020408163265,0.6430446194225722
-13.943986903890531,0.15690732950731764,-14.616524482869204,0.10307202950857464,-8.43146837753865,0.6402464175375431,-14.616524482887003,0.10307202951002904,-13.943986903822674,0.15690732945559366,-8.431468377548223,0.6402464174484285,-8.423677285228905,0.6387705844380113,-8.423677285209028,0.6387705844544721,-4.394053451329462,0.03150857311787133,1.5571428571428572,0.6422018348623854
-14.395853754446566,0.1604012526054652,-15.149421335560817,0.10379161869927028,-8.72568146117055,0.641142245789348,-15.149421335611201,0.10379161869933079,-14.39585375447394,0.16040125254204074,-8.725681461183969,0.6411422457020278,-8.718317946784282,0.6410236917686402,-8.71831794676387,0.6410236917857243,-4.194907832852409,0.018395692569355405,1.5591836734693878,0.6413612565445026
-14.839246288069196,0.1593979834304625,-15.688217072055085,0.1052610989654949,-9.018908457413705,0.6421294771198445,-15.688217072141425,0.10526109896503127,-14.839246288211898,0.159397983361969,-9.018908457432147,0.6421294770345166,-9.012852402428816,0.6430540574814738,-9.01285240240813,0.6430540574993402,-3.4534164885048266,0.015894889444210435,1.5612244897959184,0.6405228758169934
-15.28654813821607,0.152665245303907,-16.23393842857386,0.10711312825903302,-9.311296555179132,0.643361399491234,-16.23393842869686,0.10711312825914232,-15.28654813849146,0.15266524523815492,-9.311296555203553,0.6433613994077352,-9.30709284424087,0.6447582185889151,-9.307092844220254,0.6447582186076541,-3.1221086139926557,0.025397816743195693,1.563265306122449,0.639686684073107
-15.751756877462308,0.13981428705319215,-16.785535712058582,0.1088972602265056,-9.603170730127779,0.6448928242161344,-16.785535712214696,0.10889726022840918,-15.751756877888557,0.1398142869990316,-9.603170730158668,0.6448928241340033,-9.600832471581516,0.6460587259134427,-9.60083247156138,0.6460587259330461,-3.168176009706142,0.036307601971241076,1.5653061224489797,0.6388526727509778
-16.254067296527534,0.12177638594238085,-17.340062655003994,0.11019092396994454,-9.894878178258784,0.6466089620680711,-17.340062655184582,0.11019092397476919,-16.25406729711865,0.12177638590941614,-9.894878178295953,0.6466089619867292,-9.893810429195105,0.6469168493747706,-9.893810429175844,0.6469168493950995,-3.327234641593072,0.04514702587588373,1.5673469387755103,0.6380208333333333
-16.824008404943772,0.10138465536537235,-17.893406039658004,0.11071188231148235,-10.186583124337906,0.6482493978810706,-17.893406039849715,0.1107118823199762,-16.824008405674206,0.10138465536289569,-10.186583124380473,0.6482493978000883,-10.185729486654555,0.647377214855164,-10.185729486636427,0.6473772148759579,-3.5272063222990577,0.051059883616580884,1.569387755102041,0.6371911573472041
