wavelength_nm,S11a,S12a,S21a,S22a,S11m,S12m,S21m,S22m
2000.0,-0.8412274758328919,-2.352679247748484,-2.7756159436137224,3.1272088771661695,0.8934194773686056,0.012312797684535942,0.33216920156563423,0.04533951102189183
1996.0,-0.8340673782413617,-2.2151944828622363,-2.6347454943261455,3.134782277962211,0.9008823101037315,0.012178777731210438,0.336288876008925,0.04474957338763546
1992.0159680638724,-0.8268761905838863,-2.0776822806962834,-2.4936548704430326,3.1423302808007874,0.9083647598708816,0.012044020233937008,0.3404182392995573,0.04416360520637229
1988.0478087649403,-0.8196543482535935,-1.9401464184360184,-2.3523405315759454,3.1498483693350776,0.9158686034736683,0.011908415793116233,0.3445530669619162,0.043581694127594515
1984.0954274353878,-0.8124017061198245,-1.8025894810002472,-2.210798403783252,3.1573323252681886,0.9233953733746214,0.011771864810008905,0.3486890728985807,0.04300397233504905
1980.1587301587308,-0.8051176552954455,-1.665012893770925,-2.0690240811065124,3.1647785039759735,0.9309462214032421,0.011634278521014962,0.35282196890211026,0.04243060874344311
1976.2376237623757,-0.7978012692149365,-1.527416961750947,-1.92701300747583,3.1721840737657407,0.9385218085207904,0.011495579906116297,0.35694753628844683,0.0418617989054708
1972.3320158102767,-0.7904514693765663,-1.389800914289324,-1.7847606313479008,3.179547203618726,0.9461222283019755,0.011355704468481735,0.3610617077843372,0.04129775334434225
1968.4418145956606,-0.7830671998136696,-1.2521629545177067,-1.6422625273408578,3.186867187488607,0.9537469696857144,0.011214600883657042,0.36516065693291094,0.04073868510730449
1964.5669291338584,-0.7756475987816551,-1.1145003126973942,-1.4995144814236387,3.19414449721492,0.961394922018579,0.011072231517696035,0.3692408915329568,0.04018479736378763
1960.7072691552062,-0.7681921563336581,-0.9768093027216388,-1.356512538765663,3.2013807606425,0.9690644226238024,0.010928572814799654,0.37329934706279055,0.03963627184720949
1956.862745098039,-0.7607008474109702,-0.8390853810891633,-1.213253015995847,3.208578666339078,0.9767533442612351,0.010783615555668934,0.3773334757141287,0.03909325886457018
1953.033268101761,-0.753174231739166,-0.7013232077663253,-1.069732482181238,3.2157418010725327,0.9844592171017055,0.010637364988674817,0.38134132661538617,0.03855586947815171
1949.21875,-0.7456135140856746,-0.5635167084287394,-0.9259477151359762,3.2228744306247434,0.9921793774245896,0.010489840836508144,0.38532161307826124,0.038024170307408234
1945.4191033138404,-0.7380205611383821,-0.425659137698943,-0.7818956415428789,3.229981238279954,0.9999111333442373,0.01034107718167597,0.3892737632532621,0.037498181217230114
1941.6342412451365,-0.730397874211139,-0.2877431430783728,-0.6375732706692854,3.23706703815389,1.0076519366279222,0.010191122234661294,0.39319795140180386,0.036977875963604356
1937.8640776699028,-0.7227485199542125,-0.14976082939817897,-0.4929776320774362,3.24413648221459,1.0153995491836973,0.010040037989273267,0.397095108033394,0.03646318567248495
1934.108527131783,-0.7150760240319589,-0.011703823701377453,-0.3481057276098642,3.251193780262807,1.0231521931098904,0.009887899769994386,0.4009669083453329,0.035954004845730504
1930.3675048355904,-0.7073842351300822,0.12643665942740348,-0.2029545070606775,3.2582424512467476,1.0309086742844156,0.009734795676954957,0.40481573965473683,0.03545019943095085
1926.6409266409264,-0.6996771685129837,0.26466975198756,-0.05752087537580005,3.2652851221548955,1.0386684712477923,0.009580825934417553,0.4086446497373644,0.034951616370327905
1922.9287090558767,-0.6919588395551869,0.40300486597701557,0.08819826295059313,3.2723233875182305,1.046431783464388,0.009426102149271762,0.41245727909566277,0.03445809396389598
1919.2307692307693,-0.6842330981611185,0.5414516258617583,0.2342059192552062,3.2793577384929353,1.0541995357615757,0.009270746486501464,0.4162577810896043,0.033969472349656714
1915.5470249520156,-0.6765034747570873,0.6800197998358466,0.38050489576593743,3.2863875658803274,1.0619733386553156,0.009114890768953225,0.4200507345139282,0.03348560341672754
1911.8773946360152,-0.6687730476285141,0.8187192295834005,0.5270976232872965,3.293411236588612,1.0697554071776512,0.008958675509170785,0.42384105354956436,0.033006359526011816
1908.221797323136,-0.6610443398636296,0.9575597582548633,0.673985967398451,3.300426238272342,1.0775484435403677,0.008802248881332025,0.42763390003318974,0.03253164051017391
1904.580152671756,-0.6533192521615038,1.0965511563951584,0.8211710117121754,3.307429382508018,1.0853554913324488,0.00864576564155901,0.43143460267604683,0.03206137855295721
1900.952380952381,-0.64559903539825,1.2357030455918772,0.9686528289441778,3.314417053133482,1.0931797708170365,0.008489386005160117,0.43524858724289406,0.03159554069810313
1897.3384030418254,-0.6378843042653488,1.375024819701777,1.1164302521372038,3.321385483520944,1.1010245061563846,0.00833327448922682,0.4390813208129903,0.031134128899304503
1893.7381404174575,-0.6301750906507212,1.5145255635796122,1.264500659258271,3.328331044722167,1.1088927559754316,0.00817759872927947,0.44293827214304904,0.03067717768476502
1890.151515151515,-0.6224709328813411,1.654213969355041,1.4128597844628945,3.335250525725045,1.1167872585350607,0.008022528278436518,0.44682488890517597,0.030224749662361917
1886.5784499054819,-0.6147709946385348,1.794098250430804,1.5615015685688092,3.3421413875300914,1.1247103019217268,0.00786823339761719,0.450746591258333,0.029776929225100238
1883.0188679245282,-0.6070742054373194,1.934186053522056,1.7104180597178134,3.349001974374418,1.1326636281074929,0.007714883845039974,0.4547087799146122,0.02933381492357383
1879.472693032015,-0.5993794131574944,2.0744843692233808,1.8595993728934566,3.355831668118583,1.1406483775718474,0.007562647673260478,0.4587168556669683,0.028895511046517816
1875.93984962406,-0.5916855383287372,2.214999441758795,2.0090337140227668,3.36263097541613,1.1486650785249957,0.007411690041718897,0.46277624633840575,0.028462118988265627
